author,likes,downloads,repo_count,date
Ai2,37,97054,4,2025-10-15
Hugging Face,161,862270,58,2025-10-15
IPEC-COMMUNITY,24,4925662,8,2025-10-15
InternRobotics,205,196280,7,2025-10-15
NVIDIA,287,5777590,10,2025-10-15
agibot-world,238,354412,2,2025-10-15
behavior-1k,18,228382,1,2025-10-15
physical-intelligence,46,75442,2,2025-10-15
yaak-ai,46,172293,3,2025-10-15
Ai2,38,100679,4,2025-10-22
Hugging Face,168,893815,60,2025-10-22
IPEC-COMMUNITY,24,4984445,8,2025-10-22
InternRobotics,209,221119,7,2025-10-22
NVIDIA,301,6563574,10,2025-10-22
agibot-world,238,362099,2,2025-10-22
behavior-1k,18,314192,1,2025-10-22
physical-intelligence,46,80474,2,2025-10-22
yaak-ai,46,173642,3,2025-10-22
Ai2,40,106643,4,2025-10-29
Hugging Face,173,914356,60,2025-10-29
IPEC-COMMUNITY,24,5048448,8,2025-10-29
InternRobotics,212,236768,7,2025-10-29
NVIDIA,310,7203296,10,2025-10-29
agibot-world,242,369181,2,2025-10-29
behavior-1k,19,395103,1,2025-10-29
physical-intelligence,47,84262,2,2025-10-29
yaak-ai,47,179437,3,2025-10-29
Ai2,40,107585,4,2025-11-05
Hugging Face,174,1039263,61,2025-11-05
IPEC-COMMUNITY,24,5082523,8,2025-11-05
InternRobotics,214,245768,7,2025-11-05
NVIDIA,316,7422621,10,2025-11-05
agibot-world,244,374705,2,2025-11-05
behavior-1k,20,428647,1,2025-11-05
physical-intelligence,48,86262,2,2025-11-05
yaak-ai,47,179845,3,2025-11-05
Ai2,40,107585,4,2025-11-12
Hugging Face,174,1039263,61,2025-11-12
IPEC-COMMUNITY,24,5082523,8,2025-11-12
InternRobotics,214,245768,7,2025-11-12
NVIDIA,316,7422621,10,2025-11-12
agibot-world,244,374705,2,2025-11-12
behavior-1k,20,428647,1,2025-11-12
physical-intelligence,48,86262,2,2025-11-12
yaak-ai,47,179845,3,2025-11-12
Ai2,40,107585,4,2025-11-19
Hugging Face,174,1039263,61,2025-11-19
IPEC-COMMUNITY,24,5082523,8,2025-11-19
InternRobotics,214,245768,7,2025-11-19
NVIDIA,316,7422621,10,2025-11-19
agibot-world,244,374705,2,2025-11-19
behavior-1k,20,428647,1,2025-11-19
physical-intelligence,48,86262,2,2025-11-19
yaak-ai,47,179845,3,2025-11-19
Ai2,41,131452,4,2025-11-26
Hugging Face,194,1104403,61,2025-11-26
IPEC-COMMUNITY,26,6282219,9,2025-11-26
InternRobotics,241,323360,7,2025-11-26
NVIDIA,303,8312226,9,2025-11-26
agibot-world,250,397065,2,2025-11-26
behavior-1k,21,601349,1,2025-11-26
physical-intelligence,55,104390,2,2025-11-26
yaak-ai,48,194208,3,2025-11-26
Ai2,42,139812,4,2025-12-03
Hugging Face,210,1243174,63,2025-12-03
IPEC-COMMUNITY,39,6395368,10,2025-12-03
InternRobotics,260,363890,7,2025-12-03
NVIDIA,315,8426114,9,2025-12-03
agibot-world,251,409357,2,2025-12-03
behavior-1k,21,622112,1,2025-12-03
physical-intelligence,58,113862,2,2025-12-03
yaak-ai,48,201248,3,2025-12-03
Ai2,42,146276,4,2025-12-10
Hugging Face,228,1293878,64,2025-12-10
IPEC-COMMUNITY,42,6889812,10,2025-12-10
InternRobotics,267,413700,7,2025-12-10
