"geo","domain","count"
"United States (US)","Human Resources",NA
"United States (US)","Enterprise Resource Planning (ERP)",NA
"United States (US)","Software",NA
"United States (US)","Financial Services",NA
"United Kingdom (GB)","Health Care",NA
"United Kingdom (GB)","Medical Device",NA
"Canada (CA)","Advice",839000
"Canada (CA)","Outsourcing",839000
"Canada (CA)","Consulting",839000
"United States (US)","Telecommunications",NA
"United States (US)","Communications Infrastructure",NA
"United States (US)","Internet",NA
"Germany (DE)","Information Technology",NA
"Germany (DE)","Manufacturing",NA
"France (FR)","3D Technology",NA
"France (FR)","Aerospace",NA
"France (FR)","Digital Media",NA
"France (FR)","Manufacturing",NA
"France (FR)","Media and Entertainment",NA
"France (FR)","Military",NA
"France (FR)","Electronics",NA
"United States (US)","Content",NA
"United States (US)","Content Delivery Network",NA
"United States (US)","GPS",37600000
"United States (US)","Security",NA
"United States (US)","Physical Security",13000000
"United States (US)","Retail",NA
"United States (US)","Developer Platform",NA
"United States (US)","Application Performance Management",140294000
"China (CN)","Human Resources",13880000
"China (CN)","Professional Services",10105004
"China (CN)","Internet",NA
"China (CN)","Information Services",9380000
"China (CN)","Information Technology",NA
"United States (US)","Semiconductor",NA
"United States (US)","Manufacturing",NA
"United States (US)","Electronics",NA
"United States (US)","Agriculture",NA
"United States (US)","Life Science",NA
"Belgium (BE)","Pharmaceutical",4888192
"Belgium (BE)","Biopharma",4888192
"Belgium (BE)","Biotechnology",13446192
"United States (US)","Enterprise Software",NA
"United States (US)","Consumer Software",41500000
"United States (US)","Computer",NA
"United States (US)","Information Technology",NA
"United States (US)","Service Industry",NA
"United States (US)","Events",72000000
"United States (US)","VoIP",NA
"United States (US)","Productivity Tools",10000000
"United States (US)","Medical Device",NA
"United States (US)","Project Management",46013500
"United States (US)","Management Information Systems",124903500
"United States (US)","Internet of Things",NA
"United States (US)","Energy Management",NA
"United States (US)","SaaS",NA
"United States (US)","Facilities Support Services",10000000
"India (IN)","Outsourcing",NA
"India (IN)","Software",NA
"India (IN)","Information Technology",NA
"United States (US)","Therapeutics",NA
"United States (US)","Pharmaceutical",NA
"United States (US)","Biotechnology",NA
"United States (US)","Health Care",NA
"United States (US)","Virtualization",NA
"United States (US)","Data Storage",NA
"United States (US)","Ediscovery",NA
"United States (US)","Social Media",NA
"Israel (IL)","Software",20300000
"Israel (IL)","Risk Management",10000000
"Israel (IL)","Financial Services",15400000
"Israel (IL)","Enterprise Software",10000000
"Israel (IL)","Fraud Detection",13000000
"United States (US)","Web Hosting",755637000
"United States (US)","Web Development",NA
"United States (US)","Apps",NA
"United States (US)","Mobile",NA
"United States (US)","UX Design",5000000
"United States (US)","Web Design",NA
"United States (US)","Consulting",NA
"United States (US)","Medical",NA
"United States (US)","Digital Marketing",39271000
"United States (US)","Cloud Computing",NA
"United States (US)","Business Development",NA
"United States (US)","E-Commerce",NA
"United Kingdom (GB)","Intellectual Property",8000000
"United States (US)","Embedded Software",20771000
"United States (US)","Artificial Intelligence",91010000
"United States (US)","Publishing",NA
"United States (US)","News",NA
"United States (US)","Intelligent Systems",NA
"United States (US)","Database",127570000
"United States (US)","Asset Management",NA
"South Korea (KR)","Livestock",NA
"South Korea (KR)","Biotechnology",NA
"South Korea (KR)","Life Science",NA
"France (FR)","Financial Services",NA
"France (FR)","Venture Capital",NA
"United States (US)","Data Integration",NA
"United States (US)","Industrial",NA
"United States (US)","Commercial",NA
"United States (US)","Waste Management",NA
"United States (US)","Recycling",NA
"United States (US)","Environmental Consulting",NA
"United States (US)","Pet",3600000
"Canada (CA)","Health Care",NA
"Canada (CA)","Pharmaceutical",NA
"Canada (CA)","Biotechnology",NA
"United States (US)","Advanced Materials",96800000
"United States (US)","Hardware",NA
"United States (US)","Network Hardware",NA
"United States (US)","Enterprise",223224000
"United States (US)","Ad Network",28250000
"United States (US)","Mobile Advertising",25000000
