geo,count,domain
Canada (CA),81885767.0,Artificial Intelligence
Chile (CL),6000000.0,Artificial Intelligence
China (CN),2054410.0,Artificial Intelligence
Czech Republic (CZ),12000000.0,Artificial Intelligence
France (FR),6637289.0,Artificial Intelligence
Germany (DE),94761.0,Artificial Intelligence
New Zealand (NZ),8400000.0,Artificial Intelligence
Taiwan (TW),3242014.0,Artificial Intelligence
United Kingdom (GB),9501283.0,Artificial Intelligence
United States (US),249070000.0,Artificial Intelligence
