geo,count,domain
Canada (CA),15641025.0,Artificial Intelligence
China (CN),363727.0,Artificial Intelligence
France (FR),15897241.0,Artificial Intelligence
Germany (DE),4213857.0,Artificial Intelligence
Israel (IL),2500000.0,Artificial Intelligence
Japan (JP),779886.0,Artificial Intelligence
New Zealand (NZ),8600000.0,Artificial Intelligence
Singapore (SG),4500000.0,Artificial Intelligence
Switzerland (CH),11000000.0,Artificial Intelligence
Taiwan (TW),149677.0,Artificial Intelligence
United Kingdom (GB),10961195.0,Artificial Intelligence
United States (US),250857000.0,Artificial Intelligence
