geo,count,domain
Canada (CA),11190629.0,Artificial Intelligence
France (FR),8330000.0,Artificial Intelligence
Germany (DE),3630000.0,Artificial Intelligence
India (IN),1850000.0,Artificial Intelligence
Ireland (IE),605000.0,Artificial Intelligence
Israel (IL),15000000.0,Artificial Intelligence
Japan (JP),606219.0,Artificial Intelligence
Russian Federation (RU),3000000.0,Artificial Intelligence
Sweden (SE),5439430.0,Artificial Intelligence
Taiwan (TW),250147.0,Artificial Intelligence
United Kingdom (GB),2700430.0,Artificial Intelligence
United States (US),350135719.0,Artificial Intelligence
