geo,count,domain
Argentina (AR),5000.0,Artificial Intelligence
Canada (CA),26000000.0,Artificial Intelligence
China (CN),5271035.0,Artificial Intelligence
France (FR),9000000.0,Artificial Intelligence
Greece (GR),178773.0,Artificial Intelligence
Israel (IL),12000000.0,Artificial Intelligence
New Zealand (NZ),14300000.0,Artificial Intelligence
Taiwan (TW),1177079.0,Artificial Intelligence
United Kingdom (GB),1170975.0,Artificial Intelligence
United States (US),252002217.0,Artificial Intelligence
