author,likes,downloads,repo_count,date
IPEC-COMMUNITY,12,1878,2,2025-10-29
InternRobotics,184,1617,10,2025-10-29
NVIDIA,477,44566,2,2025-10-29
physical-intelligence,148,0,1,2025-10-29
Ai2,69,17440,5,2025-11-05
Hugging Face,391,173133,10,2025-11-05
IPEC-COMMUNITY,12,1916,2,2025-11-05
InternRobotics,184,2124,10,2025-11-05
NVIDIA,483,47592,2,2025-11-05
physical-intelligence,149,0,1,2025-11-05
Ai2,70,18940,5,2025-11-12
Hugging Face,396,179685,10,2025-11-12
IPEC-COMMUNITY,13,1949,2,2025-11-12
InternRobotics,185,2947,10,2025-11-12
NVIDIA,489,49671,2,2025-11-12
physical-intelligence,149,0,1,2025-11-12
Ai2,71,20021,5,2025-11-19
Hugging Face,410,186252,10,2025-11-19
IPEC-COMMUNITY,13,2009,2,2025-11-19
InternRobotics,185,3365,10,2025-11-19
NVIDIA,497,52555,2,2025-11-19
physical-intelligence,152,0,1,2025-11-19
Ai2,73,20823,5,2025-11-26
Hugging Face,413,193514,10,2025-11-26
IPEC-COMMUNITY,13,2034,2,2025-11-26
InternRobotics,188,3808,10,2025-11-26
NVIDIA,499,55476,2,2025-11-26
physical-intelligence,153,0,1,2025-11-26
Ai2,73,21182,5,2025-12-03
Hugging Face,737,299933,17,2025-12-03
IPEC-COMMUNITY,13,2048,2,2025-12-03
InternRobotics,191,4018,10,2025-12-03
NVIDIA,502,57546,2,2025-12-03
physical-intelligence,153,0,1,2025-12-03
Ai2,73,22024,5,2025-12-10
Hugging Face,751,312238,17,2025-12-10
IPEC-COMMUNITY,13,2063,2,2025-12-10
InternRobotics,193,4792,10,2025-12-10
NVIDIA,508,60254,2,2025-12-10
physical-intelligence,155,0,1,2025-12-10
Ai2,74,22434,5,2025-12-17
Hugging Face,758,324316,17,2025-12-17
IPEC-COMMUNITY,13,2065,2,2025-12-17
InternRobotics,193,5094,10,2025-12-17
NVIDIA,517,66240,4,2025-12-17
physical-intelligence,155,0,1,2025-12-17
Ai2,75,22759,5,2025-12-24
Hugging Face,760,330123,17,2025-12-24
IPEC-COMMUNITY,14,2090,2,2025-12-24
InternRobotics,202,5281,10,2025-12-24
NVIDIA,525,71525,4,2025-12-24
physical-intelligence,161,0,1,2025-12-24
