industry,year,ai,all
Financial Services,2011,485,3171
Government,2011,13,277
Healthcare and Life Sciences,2011,377,33418
Higher Education and Research,2011,66,940
Industrial,2011,52,4812
Manufacturing,2011,453,59208
Media and Entertainment,2011,661,7907
Restaurants and Quick-Service,2011,0,88
Retail and Consumer Packaged Goods,2011,186,4547
Robotics,2011,1059,4186
Semiconductor,2011,9761,35654
Telecommunications,2011,3735,24183
"Architecture, Engineering, Construction, and Operations",2012,103,9703
Automotive,2012,102,12703
Energy,2012,151,21304
Financial Services,2012,606,3979
Government,2012,9,308
Healthcare and Life Sciences,2012,487,35040
Higher Education and Research,2012,52,979
Industrial,2012,48,5593
Manufacturing,2012,563,64551
Media and Entertainment,2012,705,9191
Restaurants and Quick-Service,2012,2,103
Retail and Consumer Packaged Goods,2012,236,5124
Robotics,2012,1139,4565
Semiconductor,2012,11575,40105
Telecommunications,2012,4498,25653
"Architecture, Engineering, Construction, and Operations",2013,174,10323
Automotive,2013,175,13828
Energy,2013,155,23412
Financial Services,2013,800,5127
Government,2013,10,316
Healthcare and Life Sciences,2013,596,36635
Higher Education and Research,2013,83,1005
Industrial,2013,65,6054
Manufacturing,2013,670,69051
Media and Entertainment,2013,909,10289
Restaurants and Quick-Service,2013,5,112
Retail and Consumer Packaged Goods,2013,314,5926
Robotics,2013,1386,5286
Semiconductor,2013,13862,45133
Telecommunications,2013,5098,28266
"Architecture, Engineering, Construction, and Operations",2014,178,11171
Automotive,2014,218,14773
Energy,2014,197,24953
Financial Services,2014,849,5735
Government,2014,12,387
Healthcare and Life Sciences,2014,704,40585
Higher Education and Research,2014,92,1147
Industrial,2014,76,6829
Manufacturing,2014,809,75050
Media and Entertainment,2014,963,10538
Restaurants and Quick-Service,2014,5,131
Retail and Consumer Packaged Goods,2014,352,6669
Robotics,2014,1458,5988
Semiconductor,2014,16734,48483
Telecommunications,2014,6319,32103
"Architecture, Engineering, Construction, and Operations",2015,131,10842
Automotive,2015,267,14781
Energy,2015,203,23431
Financial Services,2015,822,5566
Government,2015,21,349
Healthcare and Life Sciences,2015,701,37177
Higher Education and Research,2015,72,993
Industrial,2015,80,6811
Manufacturing,2015,844,73794
Media and Entertainment,2015,908,10266
Restaurants and Quick-Service,2015,3,142
Retail and Consumer Packaged Goods,2015,334,6998
Robotics,2015,1248,5617
Semiconductor,2015,15354,44932
Telecommunications,2015,5955,31235
"Architecture, Engineering, Construction, and Operations",2016,130,11550
Automotive,2016,309,15272
Energy,2016,317,23096
Financial Services,2016,1084,6385
Government,2016,18,408
Healthcare and Life Sciences,2016,988,41171
Higher Education and Research,2016,106,1068
Industrial,2016,124,7112
Manufacturing,2016,1051,77741
Media and Entertainment,2016,1057,10986
Restaurants and Quick-Service,2016,3,274
Retail and Consumer Packaged Goods,2016,417,7844
Robotics,2016,1222,6344
Semiconductor,2016,16591,48549
Telecommunications,2016,6551,34498
"Architecture, Engineering, Construction, and Operations",2017,190,12765
Automotive,2017,455,17366
Energy,2017,337,24488
Financial Services,2017,1501,7278
Government,2017,26,480
Healthcare and Life Sciences,2017,1246,44504
Higher Education and Research,2017,121,1222
Industrial,2017,181,7814
Manufacturing,2017,1327,83346
Media and Entertainment,2017,1430,12830
Restaurants and Quick-Service,2017,20,403
Retail and Consumer Packaged Goods,2017,606,8824
Robotics,2017,1578,8294
Semiconductor,2017,18713,52816
Telecommunications,2017,7607,37197
"Architecture, Engineering, Construction, and Operations",2018,222,13644
Automotive,2018,608,18904
Energy,2018,287,26144
Financial Services,2018,1506,7518
Government,2018,34,606
Healthcare and Life Sciences,2018,1178,45756
Higher Education and Research,2018,137,1240
Industrial,2018,220,8557
Manufacturing,2018,1417,88288
Media and Entertainment,2018,1720,13972
Restaurants and Quick-Service,2018,17,414
Retail and Consumer Packaged Goods,2018,653,9082
Robotics,2018,2077,10607
Semiconductor,2018,17973,55041
Telecommunications,2018,7833,40868
"Architecture, Engineering, Construction, and Operations",2019,218,14206
Automotive,2019,617,19387
Energy,2019,315,27531
Financial Services,2019,1509,8607
Government,2019,44,595
Healthcare and Life Sciences,2019,1021,49004
Higher Education and Research,2019,123,1373
Industrial,2019,229,8914
Manufacturing,2019,1540,91395
Media and Entertainment,2019,1974,15416
Restaurants and Quick-Service,2019,20,423
Retail and Consumer Packaged Goods,2019,568,9740
Robotics,2019,3004,12795
Semiconductor,2019,18272,58605
Telecommunications,2019,8704,41193
"Architecture, Engineering, Construction, and Operations",2020,254,14470
Automotive,2020,703,19787
Energy,2020,382,28517
Financial Services,2020,1526,8806
Government,2020,50,633
Healthcare and Life Sciences,2020,1126,52402
Higher Education and Research,2020,128,1368
Industrial,2020,323,9722
Manufacturing,2020,2032,95534
Media and Entertainment,2020,2534,18803
Restaurants and Quick-Service,2020,19,518
Retail and Consumer Packaged Goods,2020,574,10444
Robotics,2020,4691,16077
Semiconductor,2020,19169,63643
Telecommunications,2020,10054,48079
"Architecture, Engineering, Construction, and Operations",2021,303,14020
Automotive,2021,687,17300
Energy,2021,458,29228
Financial Services,2021,1680,8177
Government,2021,40,564
Healthcare and Life Sciences,2021,1451,56149
Higher Education and Research,2021,146,1276
Industrial,2021,342,9186
Manufacturing,2021,2614,92117
Media and Entertainment,2021,2913,18955
