language,2024,2025,percent_change
English,94832,146255,54.225366964737646
Chinese,5447,9548,75.28914999082063
French,5184,8284,59.79938271604939
Spanish,4981,6928,39.08853643846617
German,4945,6349,28.39231547017189
Japanese,4259,5878,38.01361822023949
Portuguese,4219,5669,34.36833372837165
Korean,4396,5564,26.56960873521383
Italian,4388,5412,23.336371923427528
Russian,2977,4391,47.49748068525361
Arabic,2221,4195,88.87888338586222
Hindi,2680,3633,35.559701492537314
Thai,2539,3291,29.617959826703427
Vietnamese,1743,2979,70.91222030981066
Turkish,1342,2438,81.66915052160954
Indonesian,1581,2230,41.04996837444656
Polish,1453,2212,52.2367515485203
Dutch,1254,2018,60.92503987240829
Romanian,986,1712,73.63083164300203
Ukrainian,762,1688,121.52230971128608
Swedish,713,1549,117.25105189340815
