geo,count,domain
Austin (1680),7659000.0,Artificial Intelligence
Bangalore (780),8200000.0,Artificial Intelligence
Barcelona (1514),1000000.0,Artificial Intelligence
Bombay (882),2000000.0,Artificial Intelligence
Boston (1687),40320000.0,Artificial Intelligence
Charlotte (1692),1500000.0,Artificial Intelligence
Concord (1700),40250000.0,Artificial Intelligence
Cordoba (25),300000.0,Artificial Intelligence
Denton (1706),300000.0,Artificial Intelligence
Denver (1707),6500000.0,Artificial Intelligence
Gaoxiong (612),301674.0,Artificial Intelligence
Goteborg (1536),619788.0,Artificial Intelligence
Herat (NA) (NA),8661196.0,Artificial Intelligence
Jerusalem (1024),100000000.0,Artificial Intelligence
Liege (78),197331.0,Artificial Intelligence
London (1649),14494274.0,Artificial Intelligence
Los Angeles (1742),375000.0,Artificial Intelligence
Miami (1747),49000000.0,Artificial Intelligence
Mission Viejo (1750),100000.0,Artificial Intelligence
New York (1758),82710000.0,Artificial Intelligence
Paris (715),3688600.0,Artificial Intelligence
Portland (1770),3750000.0,Artificial Intelligence
Providence (1772),1750000.0,Artificial Intelligence
San Diego (1784),6250000.0,Artificial Intelligence
San Francisco (1785),73095000.0,Artificial Intelligence
San Jose (1786),389010000.0,Artificial Intelligence
Sevilla (1522),668000.0,Artificial Intelligence
Shanghai (449),2585567.0,Artificial Intelligence
Taipei (614),449775.0,Artificial Intelligence
Taizhong (616),450357.0,Artificial Intelligence
Tel Aviv-Jaffa (1025),12500000.0,Artificial Intelligence
Tokyo (1088),858723.0,Artificial Intelligence
"Washington, D.C. (1810)",7000000.0,Artificial Intelligence
Worcester (1813),2180000.0,Artificial Intelligence
nan (NA) (NA),16000000.0,Artificial Intelligence
