geo,count,domain
Atlanta (1678),15500000.0,Artificial Intelligence
Austin (1680),10000000.0,Artificial Intelligence
Baltimore (1682),2774000.0,Artificial Intelligence
Bangalore (780),700000.0,Artificial Intelligence
Bonita Springs (1686),1100000.0,Artificial Intelligence
Boston (1687),4931707.0,Artificial Intelligence
Concord (1700),15000000.0,Artificial Intelligence
Hefei (302),1812598.0,Artificial Intelligence
Mission Viejo (1750),915000.0,Artificial Intelligence
Munich (745),5580000.0,Artificial Intelligence
New York (1758),6500000.0,Artificial Intelligence
Portland (1770),11790000.0,Artificial Intelligence
Providence (1772),8900000.0,Artificial Intelligence
Round Lake Beach (1780),23000000.0,Artificial Intelligence
San Diego (1784),12000000.0,Artificial Intelligence
San Francisco (1785),1130000.0,Artificial Intelligence
San Jose (1786),31950000.0,Artificial Intelligence
Seattle (1792),14000000.0,Artificial Intelligence
Taizhong (616),786405.0,Artificial Intelligence
Tokyo (1088),1462390.0,Artificial Intelligence
