geo,count,domain
Atlanta (1678),32200285.0,Artificial Intelligence
Austin (1680),500000.0,Artificial Intelligence
Bangalore (780),10000000.0,Artificial Intelligence
Be'er Sheva (1022),600000.0,Artificial Intelligence
Beijing (204),23818268.0,Artificial Intelligence
Berlin (727),410000.0,Artificial Intelligence
Bologna (1029),697532.0,Artificial Intelligence
Bonita Springs (1686),1200000.0,Artificial Intelligence
Boston (1687),35350002.0,Artificial Intelligence
Bruxelles (75),2862578.0,Artificial Intelligence
Calgary (161),800000.0,Artificial Intelligence
Chicago (1694),1350000.0,Artificial Intelligence
Cologne (741),2100000.0,Artificial Intelligence
Denton (1706),3500000.0,Artificial Intelligence
Denver (1707),95852543.0,Artificial Intelligence
Detroit (1709),500000.0,Artificial Intelligence
Durham (1710),1300000.0,Artificial Intelligence
Fort Collins (1715),5975000.0,Artificial Intelligence
Geneve (1541),20000000.0,Artificial Intelligence
Goteborg (1536),299000.0,Artificial Intelligence
Grenoble (708),1350000.0,Artificial Intelligence
Hangzhou (298),2929093.0,Artificial Intelligence
Herat (NA) (NA),7617594.0,Artificial Intelligence
"Ji'nan, Shandong (334)",454460.0,Artificial Intelligence
KyotoOsakaKobe (1067),150000.0,Artificial Intelligence
Las Vegas (1739),2899980.0,Artificial Intelligence
Liege (78),3056635.0,Artificial Intelligence
Lisbon (1364),328387.0,Artificial Intelligence
Little Rock (1741),12000.0,Artificial Intelligence
London (1649),18472610.0,Artificial Intelligence
Munich (745),1124322.0,Artificial Intelligence
New York (1758),64454998.0,Artificial Intelligence
Oxnard (1763),1968783.0,Artificial Intelligence
Padova (1044),926607.0,Artificial Intelligence
Paris (715),1809072.0,Artificial Intelligence
Philadelphia (1766),1731500.0,Artificial Intelligence
Pittsburgh (1768),1850000.0,Artificial Intelligence
Providence (1772),6250000.0,Artificial Intelligence
Round Lake Beach (1780),2000000.0,Artificial Intelligence
Salt Lake City (1782),5000000.0,Artificial Intelligence
San Diego (1784),3350000.0,Artificial Intelligence
San Francisco (1785),88332751.0,Artificial Intelligence
San Jose (1786),104360888.0,Artificial Intelligence
Santiago (183),40000.0,Artificial Intelligence
Seattle (1792),33368902.0,Artificial Intelligence
Shanghai (449),452793.0,Artificial Intelligence
Singapore (1490),500000.0,Artificial Intelligence
Sofia (148),50000.0,Artificial Intelligence
Taipei (614),5118616.0,Artificial Intelligence
Tel Aviv-Jaffa (1025),25456000.0,Artificial Intelligence
Toronto (173),650505.0,Artificial Intelligence
Vienna (52),257201.0,Artificial Intelligence
"Washington, D.C. (1810)",15251100.0,Artificial Intelligence
West Midlands (1638),4636196.0,Artificial Intelligence
Zurich (1543),333569.0,Artificial Intelligence
