geo,count,domain
Athens (753),178773.0,Artificial Intelligence
Atlanta (1678),11000000.0,Artificial Intelligence
Bonita Springs (1686),1100000.0,Artificial Intelligence
Boston (1687),62930097.0,Artificial Intelligence
Chicago (1694),12100000.0,Artificial Intelligence
Cordoba (25),5000.0,Artificial Intelligence
Denton (1706),28000000.0,Artificial Intelligence
Edmonton (162),26000000.0,Artificial Intelligence
Hefei (302),3825643.0,Artificial Intelligence
Miami (1747),7000000.0,Artificial Intelligence
Paris (715),9000000.0,Artificial Intelligence
Raleigh (1774),2700000.0,Artificial Intelligence
San Francisco (1785),46910000.0,Artificial Intelligence
San Jose (1786),13400000.0,Artificial Intelligence
Shanghai (449),1086423.0,Artificial Intelligence
Shenzhen (461),358969.0,Artificial Intelligence
Tainan (615),151597.0,Artificial Intelligence
Taipei (614),300505.0,Artificial Intelligence
Tel Aviv-Jaffa (1025),12000000.0,Artificial Intelligence
Wellington (1228),14300000.0,Artificial Intelligence
