geo,count,domain
Berlin (727.0),4213857.0,Artificial Intelligence
Boston (1687.0),105500000.0,Artificial Intelligence
Dongguan (251.0),363727.0,Artificial Intelligence
Edmonton (162.0),15641025.0,Artificial Intelligence
Hartford (1722.0),5000000.0,Artificial Intelligence
Herat (NA) (NA),4453000.0,Artificial Intelligence
London (1649.0),7161195.0,Artificial Intelligence
Los Angeles (1742.0),4000000.0,Artificial Intelligence
Paris (715.0),15897241.0,Artificial Intelligence
Portland (1770.0),2000000.0,Artificial Intelligence
Raleigh (1774.0),1000000.0,Artificial Intelligence
Rochester (1778.0),30000000.0,Artificial Intelligence
San Francisco (1785.0),10204000.0,Artificial Intelligence
San Jose (1786.0),55500000.0,Artificial Intelligence
Seattle (1792.0),25000000.0,Artificial Intelligence
Singapore (1490.0),4500000.0,Artificial Intelligence
Tainan (615.0),149677.0,Artificial Intelligence
Taipei (614.0),842010.0,Artificial Intelligence
Tel Aviv-Jaffa (1025.0),2500000.0,Artificial Intelligence
Tokyo (1088.0),779886.0,Artificial Intelligence
"Washington, D.C. (1810.0)",12000000.0,Artificial Intelligence
Wellington (1228.0),8600000.0,Artificial Intelligence
Zurich (1543.0),11000000.0,Artificial Intelligence
