geo,count,domain
Albuquerque (1673),1920000.0,Artificial Intelligence
Amsterdam (1221),455900.0,Artificial Intelligence
Athens (753),3744637.0,Artificial Intelligence
Austin (1680),4500000.0,Artificial Intelligence
Bangalore (780),229040000.0,Artificial Intelligence
Barcelona (1514),1126333.0,Artificial Intelligence
Beijing (204),23251044.0,Artificial Intelligence
Berlin (727),20000000.0,Artificial Intelligence
Bologna (1029),3547438.0,Artificial Intelligence
Boston (1687),7425000.0,Artificial Intelligence
Bucharest (1397),3000000.0,Artificial Intelligence
Buffalo (1689),1200000.0,Artificial Intelligence
Casablanca (1198),350000.0,Artificial Intelligence
Charlotte (1692),500000.0,Artificial Intelligence
Chicago (1694),6000000.0,Artificial Intelligence
Cologne (741),500000.0,Artificial Intelligence
Concord (1700),88000000.0,Artificial Intelligence
Dallas (1703),5734631.0,Artificial Intelligence
Denton (1706),300000.0,Artificial Intelligence
Denver (1707),124082570.0,Artificial Intelligence
Detroit (1709),966667.0,Artificial Intelligence
Dublin (1021),500000.0,Artificial Intelligence
Durham (1710),4000000.0,Artificial Intelligence
Gda?sk (1356),268899.0,Artificial Intelligence
Geneve (1541),34492.0,Artificial Intelligence
Grenoble (708),16349768.0,Artificial Intelligence
Hangzhou (298),10873301.0,Artificial Intelligence
Herat (NA) (NA),23404689.0,Artificial Intelligence
Hong Kong (610),400000.0,Artificial Intelligence
Hyderabad (835),330000.0,Artificial Intelligence
Istanbul (1600),266666.0,Artificial Intelligence
"Jacksonville, Florida (1729)",1500000.0,Artificial Intelligence
Jerusalem (1024),5200000.0,Artificial Intelligence
Kitchener (165),24546.0,Artificial Intelligence
London (1649),9358848.0,Artificial Intelligence
Los Angeles (1742),18250000.0,Artificial Intelligence
Madrid (1518),218405.0,Artificial Intelligence
Mission Viejo (1750),5600000.0,Artificial Intelligence
Montreal (167),651807.0,Artificial Intelligence
Munich (745),200000.0,Artificial Intelligence
Nashville (1755),4209965.0,Artificial Intelligence
New York (1758),128888167.0,Artificial Intelligence
Oxnard (1763),1966802.0,Artificial Intelligence
Paris (715),2811498.0,Artificial Intelligence
Philadelphia (1766),2520000.0,Artificial Intelligence
Portland (1770),1025000.0,Artificial Intelligence
Prague (650),1400000.0,Artificial Intelligence
Providence (1772),22450000.0,Artificial Intelligence
Rio de Janeiro (134),5000000.0,Artificial Intelligence
Round Lake Beach (1780),7000000.0,Artificial Intelligence
Salt Lake City (1782),21000000.0,Artificial Intelligence
San Diego (1784),2300000.0,Artificial Intelligence
San Francisco (1785),211205432.0,Artificial Intelligence
San Jose (1786),167628430.0,Artificial Intelligence
Seattle (1792),68000.0,Artificial Intelligence
Shanghai (449),10000000.0,Artificial Intelligence
Sheffield (1656),2402268.0,Artificial Intelligence
Shenzhen (461),2441360.0,Artificial Intelligence
Singapore (1490),1100000.0,Artificial Intelligence
Sofia (148),70908.0,Artificial Intelligence
South Hampshire (1657),90113.0,Artificial Intelligence
"Springfield, Massachusett, Connecticut (1795)",180000.0,Artificial Intelligence
Sydney (50),9948174.0,Artificial Intelligence
Taipei (614),2022797.0,Artificial Intelligence
Tel Aviv-Jaffa (1025),31800000.0,Artificial Intelligence
Tokyo (1088),8053632.0,Artificial Intelligence
Trenton (1804),200000.0,Artificial Intelligence
Victoria (175),1180000.0,Artificial Intelligence
Vienna (52),387710.0,Artificial Intelligence
Vilnius (1122),213130.0,Artificial Intelligence
"Washington, D.C. (1810)",2750000.0,Artificial Intelligence
Zurich (1543),3110000.0,Artificial Intelligence
