geo,count,domain
Adelaide (41),2720482.0,Artificial Intelligence
Amsterdam (1221),2982647.0,Artificial Intelligence
Antwerpen (74),500000.0,Artificial Intelligence
Atlanta (1678),18528582.0,Artificial Intelligence
Auckland (1226),3335087.0,Artificial Intelligence
Austin (1680),116305000.0,Artificial Intelligence
Baltimore (1682),21900000.0,Artificial Intelligence
Bangalore (780),27826078.0,Artificial Intelligence
Barcelona (1514),5324836.0,Artificial Intelligence
Beijing (204),991856315.0,Artificial Intelligence
Beirut (1117),50000.0,Artificial Intelligence
Berlin (727),4911710.0,Artificial Intelligence
Bogota (622),270000.0,Artificial Intelligence
Bologna (1029),7563880.0,Artificial Intelligence
Bombay (882),1692418.0,Artificial Intelligence
Boston (1687),247077770.0,Artificial Intelligence
Budapest (761),560000.0,Artificial Intelligence
Buffalo (1689),5000000.0,Artificial Intelligence
Calgary (161),5373372.0,Artificial Intelligence
Cape Town (1498),225000.0,Artificial Intelligence
Charleston (1691),500000.0,Artificial Intelligence
Charlotte (1692),2600000.0,Artificial Intelligence
Chicago (1694),14317500.0,Artificial Intelligence
Chongqing (231),2136535.0,Artificial Intelligence
Cincinnati (1695),125000.0,Artificial Intelligence
Cleveland (1696),175000.0,Artificial Intelligence
Cologne (741),1510966.0,Artificial Intelligence
Concord (1700),7900000.0,Artificial Intelligence
Cracow (1357),1906718.0,Artificial Intelligence
Delhi (808),1320000.0,Artificial Intelligence
Denton (1706),13465000.0,Artificial Intelligence
Denver (1707),627693099.0,Artificial Intelligence
Detroit (1709),3624595.0,Artificial Intelligence
Dubai (1635),2050350.0,Artificial Intelligence
Dublin (1021),82182589.0,Artificial Intelligence
Durham (1710),8079500.0,Artificial Intelligence
Edmonton (162),375775.0,Artificial Intelligence
Eindhoven (1222),18980.0,Artificial Intelligence
Fort Collins (1715),12513333.0,Artificial Intelligence
Frankfurt am Main (737),623651.0,Artificial Intelligence
"Fuzhou, Fujian (271)",488344.0,Artificial Intelligence
Gaoxiong (612),101336.0,Artificial Intelligence
Gda?sk (1356),9801.0,Artificial Intelligence
Geneve (1541),800000.0,Artificial Intelligence
Gent (77),2582523.0,Artificial Intelligence
Glasgow (1645),134411.0,Artificial Intelligence
Goteborg (1536),630999.0,Artificial Intelligence
Guangzhou (283),563655.0,Artificial Intelligence
Haifa (1023),8300000.0,Artificial Intelligence
Hamburg (738),40130000.0,Artificial Intelligence
Hangzhou (298),16261239.0,Artificial Intelligence
Hartford (1722),850000.0,Artificial Intelligence
Helsinki (702),500000.0,Artificial Intelligence
Herat (NA) (NA),110287919.0,Artificial Intelligence
Hermosillo (1160),2850000.0,Artificial Intelligence
Hong Kong (610),2182500.0,Artificial Intelligence
Houston (1724),3975000.0,Artificial Intelligence
Hyderabad (835),3542000.0,Artificial Intelligence
