geo,count,domain
Atlanta (1678),7500000.0,Artificial Intelligence
Austin (1680),9240000.0,Artificial Intelligence
Boston (1687),23973000.0,Artificial Intelligence
Geneve (1541),7000000.0,Artificial Intelligence
Herat (1),1350000.0,Artificial Intelligence
London (1649),400000.0,Artificial Intelligence
Los Angeles (1742),750000.0,Artificial Intelligence
New York (1758),4500000.0,Artificial Intelligence
Raleigh (1774),5000000.0,Artificial Intelligence
San Francisco (1785),6500000.0,Artificial Intelligence
San Jose (1786),24500000.0,Artificial Intelligence
Singapore (1490),431428.0,Artificial Intelligence
Tel Aviv-Jaffa (1025),7500000.0,Artificial Intelligence
Tokyo (1088),1829346.0,Artificial Intelligence
Toronto (173),5100000.0,Artificial Intelligence
Wellington (1228),5000000.0,Artificial Intelligence
