geo,count,domain
Albuquerque (1673),875000.0,Artificial Intelligence
Atlanta (1678),23200000.0,Artificial Intelligence
Austin (1680),15062000.0,Artificial Intelligence
Bangalore (780),38100000.0,Artificial Intelligence
Barcelona (1514),804333.0,Artificial Intelligence
Beijing (204),600000.0,Artificial Intelligence
Boston (1687),64900000.0,Artificial Intelligence
Bristol (1641),3950000.0,Artificial Intelligence
Buffalo (1689),3000000.0,Artificial Intelligence
Charleston (1691),1400000.0,Artificial Intelligence
Charlotte (1692),6500000.0,Artificial Intelligence
Concord (1700),200000.0,Artificial Intelligence
Denton (1706),5350000.0,Artificial Intelligence
Denver (1707),36752410.0,Artificial Intelligence
Dublin (1021),4000000.0,Artificial Intelligence
Hangzhou (298),1459954.0,Artificial Intelligence
Herat (NA) (NA),9258353.0,Artificial Intelligence
Liege (78),683098.0,Artificial Intelligence
London (1649),11679450.0,Artificial Intelligence
Los Angeles (1742),3700000.0,Artificial Intelligence
Montreal (167),2000000.0,Artificial Intelligence
Moscow (1427),1000000.0,Artificial Intelligence
New York (1758),71885000.0,Artificial Intelligence
Omaha (1761),15798.0,Artificial Intelligence
Oxnard (1763),675000.0,Artificial Intelligence
Paris (715),365606.0,Artificial Intelligence
Portland (1770),550000.0,Artificial Intelligence
Providence (1772),12000000.0,Artificial Intelligence
Raleigh (1774),199000.0,Artificial Intelligence
Round Lake Beach (1780),8000000.0,Artificial Intelligence
Salt Lake City (1782),1000000.0,Artificial Intelligence
San Diego (1784),42000000.0,Artificial Intelligence
San Francisco (1785),80207867.0,Artificial Intelligence
San Jose (1786),224742997.0,Artificial Intelligence
Shenzhen (461),131672.0,Artificial Intelligence
Stockholm (1538),9342235.0,Artificial Intelligence
Taipei (614),6241564.0,Artificial Intelligence
Tel Aviv-Jaffa (1025),5000000.0,Artificial Intelligence
Tokyo (1088),6179225.0,Artificial Intelligence
Toronto (173),22327073.0,Artificial Intelligence
Trenton (1804),50000000.0,Artificial Intelligence
Vienna (52),630021.0,Artificial Intelligence
Warsaw (1362),2000000.0,Artificial Intelligence
"Washington, D.C. (1810)",35000000.0,Artificial Intelligence
Worcester (1813),2600000.0,Artificial Intelligence
Zurich (1543),17785.0,Artificial Intelligence
