geo,count,domain
Kitchener (165),2500000.0,Artificial Intelligence
Kuala Lumpur (1133),15000.0,Artificial Intelligence
Las Vegas (1739),40000.0,Artificial Intelligence
Lexington (1740),7000000.0,Artificial Intelligence
Lisbon (1364),718722.0,Artificial Intelligence
Little Rock (1741),2800000.0,Artificial Intelligence
Liverpool (1648),842476.0,Artificial Intelligence
London (1649),63232767.0,Artificial Intelligence
Los Angeles (1742),75177268.0,Artificial Intelligence
Louisville (1743),30000.0,Artificial Intelligence
Madison (1744),50000.0,Artificial Intelligence
Madrid (1518),145281.0,Artificial Intelligence
Mannheim (743),500000.0,Artificial Intelligence
Melbourne (46),150000.0,Artificial Intelligence
Mexico City (1147),621601.0,Artificial Intelligence
Miami (1747),500000.0,Artificial Intelligence
Minneapolis (1749),1145000.0,Artificial Intelligence
Mission Viejo (1750),47550000.0,Artificial Intelligence
Monterrey (1171),80000.0,Artificial Intelligence
Montreal (167),3594645.0,Artificial Intelligence
Moscow (1427),500000.0,Artificial Intelligence
Munich (745),125000.0,Artificial Intelligence
Nantes (713),170000.0,Artificial Intelligence
Naples (1042),2200000.0,Artificial Intelligence
New York (1758),278501739.0,Artificial Intelligence
Orlando (1762),587500.0,Artificial Intelligence
Ottawa (169),4100000.0,Artificial Intelligence
Oxnard (1763),3284704.0,Artificial Intelligence
Paris (715),12641062.0,Artificial Intelligence
Perth (48),220000.0,Artificial Intelligence
Philadelphia (1766),10183924.0,Artificial Intelligence
Phoenix (1767),1000000.0,Artificial Intelligence
Pittsburgh (1768),1046073.0,Artificial Intelligence
Port St. Lucie (1769),325000.0,Artificial Intelligence
Providence (1772),40005495.0,Artificial Intelligence
Raleigh (1774),1000000.0,Artificial Intelligence
Rennes (716),600000.0,Artificial Intelligence
Rio de Janeiro (134),12000000.0,Artificial Intelligence
Rome (1049),555517.0,Artificial Intelligence
Salt Lake City (1782),29850000.0,Artificial Intelligence
San Diego (1784),42575000.0,Artificial Intelligence
San Francisco (1785),409550956.0,Artificial Intelligence
San Jose (1786),434540112.0,Artificial Intelligence
San Juan (1367),300000.0,Artificial Intelligence
Santa Clarita (1787),100000.0,Artificial Intelligence
Santiago (183),1370565.0,Artificial Intelligence
Sao Jose dos Campos (137),143951.0,Artificial Intelligence
Sarasota (1789),250000.0,Artificial Intelligence
Seattle (1792),19888013.0,Artificial Intelligence
Seoul (1390),877585.0,Artificial Intelligence
Shanghai (449),8917022.0,Artificial Intelligence
Sheffield (1656),47141.0,Artificial Intelligence
Shenzhen (461),718864.0,Artificial Intelligence
Singapore (1490),13712818.0,Artificial Intelligence
Sofia (148),435153.0,Artificial Intelligence
South Hampshire (1657),194809.0,Artificial Intelligence
Southend (1658),15138.0,Artificial Intelligence
Spokane (1794),2540000.0,Artificial Intelligence
St. Louis (1797),7143311.0,Artificial Intelligence
Stockholm (1538),9500000.0,Artificial Intelligence
Sydney (50),8443957.0,Artificial Intelligence
Taipei (614),14003696.0,Artificial Intelligence
Tallinn (696),70000.0,Artificial Intelligence
Tampa (1800),1000000.0,Artificial Intelligence
Tel Aviv-Jaffa (1025),74120641.0,Artificial Intelligence
Temecula (1801),5600000.0,Artificial Intelligence
The Hague (1224),450000.0,Artificial Intelligence
Tokyo (1088),27679014.0,Artificial Intelligence
Toronto (173),9926236.0,Artificial Intelligence
Toulouse (721),3500000.0,Artificial Intelligence
Trenton (1804),1000000.0,Artificial Intelligence
Utrecht (1225),66839.0,Artificial Intelligence
Valencia (1523),220100.0,Artificial Intelligence
Vancouver (174),3302059.0,Artificial Intelligence
Vienna (52),4771927.0,Artificial Intelligence
Warsaw (1362),70000.0,Artificial Intelligence
"Washington, D.C. (1810)",20412036.0,Artificial Intelligence
Wellington (1228),29428.0,Artificial Intelligence
West Yorkshire (1663),250000.0,Artificial Intelligence
Xiamen (516),6608169.0,Artificial Intelligence
Xian (517),489472.0,Artificial Intelligence
Zhengzhou (592),491070.0,Artificial Intelligence
Zhuhai (600),5147000.0,Artificial Intelligence
Zurich (1543),1193480.0,Artificial Intelligence
nan (NA) (NA),19104390.0,Artificial Intelligence
