geo,count,domain
Ahmadabad (764),100000.0,Artificial Intelligence
Albany (1672),300000.0,Artificial Intelligence
Amsterdam (1221),13600000.0,Artificial Intelligence
Antwerpen (74),500000.0,Artificial Intelligence
Athens (753),118890.0,Artificial Intelligence
Atlanta (1678),13800000.0,Artificial Intelligence
Auckland (1226),671613.0,Artificial Intelligence
Austin (1680),69163043.0,Artificial Intelligence
Baltimore (1682),1000000.0,Artificial Intelligence
Bangalore (780),56660966.0,Artificial Intelligence
Barcelona (1514),1152964.0,Artificial Intelligence
Beijing (204),79009969.0,Artificial Intelligence
Belfast (1636),962157.0,Artificial Intelligence
Berlin (727),15600000.0,Artificial Intelligence
Bilbao (1515),1600000.0,Artificial Intelligence
Bombay (882),1500000.0,Artificial Intelligence
Boston (1687),103095079.0,Artificial Intelligence
Bridgeport (1688),5000000.0,Artificial Intelligence
Bristol (1641),4000000.0,Artificial Intelligence
Bucharest (1397),2000000.0,Artificial Intelligence
Budapest (761),47000.0,Artificial Intelligence
Buffalo (1689),1100000.0,Artificial Intelligence
Calgary (161),500000.0,Artificial Intelligence
Chicago (1694),17103000.0,Artificial Intelligence
Cincinnati (1695),525999.0,Artificial Intelligence
Cleveland (1696),220000.0,Artificial Intelligence
Cologne (741),150000.0,Artificial Intelligence
Colorado Springs (1697),300000.0,Artificial Intelligence
"Columbus, Ohio (1699)",5000000.0,Artificial Intelligence
Concord (1700),375000.0,Artificial Intelligence
Cordoba (25),350000.0,Artificial Intelligence
Coventry (1643),326165.0,Artificial Intelligence
Cracow (1357),77500.0,Artificial Intelligence
Dallas (1703),16000000.0,Artificial Intelligence
Delhi (808),350000.0,Artificial Intelligence
Denton (1706),8154485.0,Artificial Intelligence
Denver (1707),210065001.0,Artificial Intelligence
Detroit (1709),3200000.0,Artificial Intelligence
Dublin (1021),826713.0,Artificial Intelligence
Durham (1710),100000.0,Artificial Intelligence
Edmonton (162),1500000.0,Artificial Intelligence
Fort Collins (1715),2050002.0,Artificial Intelligence
Gda?sk (1356),300000.0,Artificial Intelligence
Geneve (1541),25350000.0,Artificial Intelligence
Gent (77),3543341.0,Artificial Intelligence
Goteborg (1536),500000.0,Artificial Intelligence
Grenoble (708),15700000.0,Artificial Intelligence
Guangzhou (283),1292784.0,Artificial Intelligence
Halifax (163),376052.0,Artificial Intelligence
Hamburg (738),3500000.0,Artificial Intelligence
Hangzhou (298),1633837.0,Artificial Intelligence
Herat (1),35929509.0,Artificial Intelligence
Hong Kong (610),13000.0,Artificial Intelligence
Houston (1724),150000.0,Artificial Intelligence
Hyderabad (835),270000.0,Artificial Intelligence
Istanbul (1600),392485.0,Artificial Intelligence
Jakarta (955),50000.0,Artificial Intelligence
Jerusalem (1024),6500000.0,Artificial Intelligence
Kansas City (1730),1745000.0,Artificial Intelligence
Kiev (1620),55000.0,Artificial Intelligence
