geo,count,domain
Albuquerque (1673),400000.0,Artificial Intelligence
Athens (753),6790546.0,Artificial Intelligence
Atlanta (1678),15001477.0,Artificial Intelligence
Austin (1680),4200000.0,Artificial Intelligence
Baltimore (1682),196965.0,Artificial Intelligence
Bangalore (780),15000000.0,Artificial Intelligence
Beijing (204),3658964.0,Artificial Intelligence
Boston (1687),7151076.0,Artificial Intelligence
Bruxelles (75),1673390.0,Artificial Intelligence
Charleston (1691),2086023.0,Artificial Intelligence
Concord (1700),75000000.0,Artificial Intelligence
Denton (1706),1600000.0,Artificial Intelligence
Denver (1707),1725000.0,Artificial Intelligence
Grenoble (708),3000000.0,Artificial Intelligence
Herat (NA) (NA),8111533.0,Artificial Intelligence
Hong Kong (610),2000000.0,Artificial Intelligence
Jerusalem (1024),2600000.0,Artificial Intelligence
KyotoOsakaKobe (1067),100871.0,Artificial Intelligence
London (1649),3120643.0,Artificial Intelligence
Los Angeles (1742),12600000.0,Artificial Intelligence
Manchester (1650),4088287.0,Artificial Intelligence
Nashville (1755),1302515.0,Artificial Intelligence
New York (1758),52000000.0,Artificial Intelligence
Oxnard (1763),1718783.0,Artificial Intelligence
Paris (715),3566563.0,Artificial Intelligence
Philadelphia (1766),50000.0,Artificial Intelligence
Pittsburgh (1768),50000.0,Artificial Intelligence
Providence (1772),100000.0,Artificial Intelligence
Quebec (170),8199999.0,Artificial Intelligence
Round Lake Beach (1780),3641919.0,Artificial Intelligence
Salt Lake City (1782),5400000.0,Artificial Intelligence
San Diego (1784),4000000.0,Artificial Intelligence
San Francisco (1785),77424076.0,Artificial Intelligence
San Jose (1786),283444999.0,Artificial Intelligence
Seattle (1792),8267208.0,Artificial Intelligence
Shenzhen (461),1904431.0,Artificial Intelligence
Stockholm (1538),10000000.0,Artificial Intelligence
Tel Aviv-Jaffa (1025),3000000.0,Artificial Intelligence
Tokyo (1088),2325849.0,Artificial Intelligence
Trenton (1804),1500000.0,Artificial Intelligence
Zurich (1543),660000.0,Artificial Intelligence
