geo,count,domain
Albany (1672),250000.0,Artificial Intelligence
Albuquerque (1673),1914000.0,Artificial Intelligence
Amsterdam (1221),1916145.0,Artificial Intelligence
Antwerpen (74),4350547.0,Artificial Intelligence
Atlanta (1678),15856049.0,Artificial Intelligence
Auckland (1226),2000000.0,Artificial Intelligence
Austin (1680),20489717.0,Artificial Intelligence
Baltimore (1682),175000.0,Artificial Intelligence
Bangalore (780),24510000.0,Artificial Intelligence
Barcelona (1514),8071775.0,Artificial Intelligence
Beijing (204),14359121.0,Artificial Intelligence
Berlin (727),3979106.0,Artificial Intelligence
Bern (1540),767743.0,Artificial Intelligence
Bombay (882),150000.0,Artificial Intelligence
Boston (1687),87054645.0,Artificial Intelligence
Bristol (1641),1100000.0,Artificial Intelligence
Bruxelles (75),1312743.0,Artificial Intelligence
Bucharest (1397),2000000.0,Artificial Intelligence
Buffalo (1689),300000.0,Artificial Intelligence
Calgary (161),16113777.0,Artificial Intelligence
Charlotte (1692),750000.0,Artificial Intelligence
Chicago (1694),725000.0,Artificial Intelligence
Cologne (741),6280710.0,Artificial Intelligence
"Columbus, Ohio (1699)",11575000.0,Artificial Intelligence
Concord (1700),15000000.0,Artificial Intelligence
Dallas (1703),603271.0,Artificial Intelligence
Denton (1706),8861026.0,Artificial Intelligence
Denver (1707),63737320.0,Artificial Intelligence
Dublin (1021),16141172.0,Artificial Intelligence
Durham (1710),357000.0,Artificial Intelligence
Fort Collins (1715),23300000.0,Artificial Intelligence
Gent (77),3121454.0,Artificial Intelligence
Goteborg (1536),200000.0,Artificial Intelligence
Guadalajara (1159),49238.0,Artificial Intelligence
Hamburg (738),5263294.0,Artificial Intelligence
Hangzhou (298),7995768.0,Artificial Intelligence
Helsinki (702),1300000.0,Artificial Intelligence
Herat (NA) (NA),40678022.0,Artificial Intelligence
Hong Kong (610),1000000.0,Artificial Intelligence
Hyderabad (835),260000.0,Artificial Intelligence
Istanbul (1600),230000.0,Artificial Intelligence
Kitakyushu (1068),349049.0,Artificial Intelligence
Kitchener (165),8400000.0,Artificial Intelligence
Lausanne (1542),1166679.0,Artificial Intelligence
Lisbon (1364),3047190.0,Artificial Intelligence
Little Rock (1741),1000000.0,Artificial Intelligence
London (1649),33880165.0,Artificial Intelligence
Los Angeles (1742),70590000.0,Artificial Intelligence
Louisville (1743),1365000.0,Artificial Intelligence
Maceio (120),100000.0,Artificial Intelligence
Madison (1744),18000.0,Artificial Intelligence
Madras (801),1200000.0,Artificial Intelligence
Madrid (1518),772672.0,Artificial Intelligence
Mexico City (1147),50084.0,Artificial Intelligence
Miami (1747),960000.0,Artificial Intelligence
Minneapolis (1749),8030233.0,Artificial Intelligence
Mission Viejo (1750),2309632.0,Artificial Intelligence
Montreal (167),3005233.0,Artificial Intelligence
Moscow (1427),616000.0,Artificial Intelligence
Munich (745),2362892.0,Artificial Intelligence
New York (1758),116494360.0,Artificial Intelligence
Ottawa (169),2500000.0,Artificial Intelligence
Oxnard (1763),2992665.0,Artificial Intelligence
Paris (715),10351955.0,Artificial Intelligence
Philadelphia (1766),1500000.0,Artificial Intelligence
Pittsburgh (1768),5676639.0,Artificial Intelligence
Portland (1770),1920000.0,Artificial Intelligence
Poughkeepsie (1771),45000.0,Artificial Intelligence
Providence (1772),5000000.0,Artificial Intelligence
Provo (1773),4000000.0,Artificial Intelligence
Quebec (170),18000000.0,Artificial Intelligence
Raleigh (1774),50000.0,Artificial Intelligence
Reading (1655),700000.0,Artificial Intelligence
Rio de Janeiro (134),8500000.0,Artificial Intelligence
Riyadh (1470),700000.0,Artificial Intelligence
Round Lake Beach (1780),10385708.0,Artificial Intelligence
Sacramento (1781),3500000.0,Artificial Intelligence
Salt Lake City (1782),21051108.0,Artificial Intelligence
San Diego (1784),14999996.0,Artificial Intelligence
San Francisco (1785),310868149.0,Artificial Intelligence
San Jose (1786),359973520.0,Artificial Intelligence
Santa Clarita (1787),650000.0,Artificial Intelligence
Santiago (183),122675.0,Artificial Intelligence
Seattle (1792),11396999.0,Artificial Intelligence
Seoul (1390),705119.0,Artificial Intelligence
Sevilla (1522),5779188.0,Artificial Intelligence
Shanghai (449),13334009.0,Artificial Intelligence
Sheffield (1656),122000.0,Artificial Intelligence
Shenzhen (461),792869.0,Artificial Intelligence
Singapore (1490),3000000.0,Artificial Intelligence
Sofia (148),260461.0,Artificial Intelligence
South Hampshire (1657),315992.0,Artificial Intelligence
St. Louis (1797),2143000.0,Artificial Intelligence
Stockholm (1538),1060000.0,Artificial Intelligence
"Suzhou, Jiangsu (479)",480856.0,Artificial Intelligence
Sydney (50),1977679.0,Artificial Intelligence
Syracuse (1799),23600000.0,Artificial Intelligence
Taipei (614),9659811.0,Artificial Intelligence
Taizhong (616),287691.0,Artificial Intelligence
Tallinn (696),13043.0,Artificial Intelligence
Tel Aviv-Jaffa (1025),53250000.0,Artificial Intelligence
Tianjin (489),480562.0,Artificial Intelligence
Tokyo (1088),1949450.0,Artificial Intelligence
Toronto (173),5586761.0,Artificial Intelligence
Valencia (1523),149058.0,Artificial Intelligence
Vancouver (174),12966000.0,Artificial Intelligence
Victoria (175),3000000.0,Artificial Intelligence
Vienna (52),474497.0,Artificial Intelligence
Vilnius (1122),500412.0,Artificial Intelligence
Warsaw (1362),2500000.0,Artificial Intelligence
"Washington, D.C. (1810)",15000000.0,Artificial Intelligence
Winnipeg (177),25000.0,Artificial Intelligence
Zurich (1543),3802268.0,Artificial Intelligence
nan (NA) (NA),3291212.0,Artificial Intelligence
