week,agent_prs,all_prs,agent_share
2025-05-01,236,43490,0.00542653483559439
2025-06-01,609,55994,0.010876165303425367
2025-07-01,572,46354,0.012339819648789748
2025-08-01,718,43804,0.01639119715094512
2025-09-01,811,54358,0.014919607049560323
2025-10-01,1013,45801,0.02211742101700836
2025-11-01,1337,43927,0.030436861156008833
2025-12-01,2142,48398,0.04425802719120625
2026-01-01,2420,49198,0.04918899142241555
2026-02-01,3927,55699,0.07050395877843409
2026-03-01,6223,75617,0.08229630903103799
