granularity,period,sector,n_agent,openalex_ai
month,2024-01,"Business, Management and Accounting",50,112679
month,2024-01,Neuroscience,12,112679
month,2024-02,All,157,25294
month,2024-02,Computer Science,109,25294
month,2024-02,Social Sciences,26,25294
month,2024-02,Engineering,23,25294
month,2024-02,Decision Sciences,13,25294
month,2024-02,Medicine,5,25294
month,2024-02,Psychology,8,25294
month,2024-02,"Business, Management and Accounting",14,25294
month,2024-02,Neuroscience,5,25294
month,2024-03,All,160,34524
month,2024-03,Computer Science,120,34524
month,2024-03,Social Sciences,29,34524
month,2024-03,Engineering,31,34524
month,2024-03,Decision Sciences,15,34524
month,2024-03,Medicine,6,34524
month,2024-03,Psychology,6,34524
month,2024-03,"Business, Management and Accounting",13,34524
month,2024-03,Neuroscience,4,34524
month,2024-04,All,162,30283
month,2024-04,Computer Science,118,30283
month,2024-04,Social Sciences,20,30283
month,2024-04,Engineering,33,30283
month,2024-04,Decision Sciences,15,30283
month,2024-04,Medicine,9,30283
month,2024-04,Psychology,9,30283
month,2024-04,"Business, Management and Accounting",12,30283
month,2024-04,Neuroscience,5,30283
month,2024-05,All,240,36355
month,2024-05,Computer Science,178,36355
month,2024-05,Social Sciences,36,36355
month,2024-05,Engineering,55,36355
month,2024-05,Decision Sciences,19,36355
month,2024-05,Medicine,14,36355
month,2024-05,Psychology,26,36355
month,2024-05,"Business, Management and Accounting",16,36355
month,2024-05,Neuroscience,6,36355
month,2024-06,All,245,37751
month,2024-06,Computer Science,186,37751
month,2024-06,Social Sciences,37,37751
month,2024-06,Engineering,50,37751
month,2024-06,Decision Sciences,26,37751
month,2024-06,Medicine,11,37751
month,2024-06,Psychology,21,37751
month,2024-06,"Business, Management and Accounting",16,37751
month,2024-06,Neuroscience,5,37751
month,2024-07,All,213,35123
month,2024-07,Computer Science,159,35123
month,2024-07,Social Sciences,30,35123
month,2024-07,Engineering,44,35123
month,2024-07,Decision Sciences,24,35123
month,2024-07,Medicine,13,35123
month,2024-07,Psychology,18,35123
month,2024-07,"Business, Management and Accounting",22,35123
month,2024-07,Neuroscience,5,35123
month,2024-08,All,201,30981
month,2024-08,Computer Science,148,30981
month,2024-08,Social Sciences,31,30981
month,2024-08,Engineering,43,30981
month,2024-08,Decision Sciences,18,30981
month,2024-08,Medicine,13,30981
month,2024-08,Psychology,15,30981
month,2024-08,"Business, Management and Accounting",17,30981
month,2024-08,Neuroscience,6,30981
month,2024-09,All,237,34424
month,2024-09,Computer Science,172,34424
month,2024-09,Social Sciences,40,34424
month,2024-09,Engineering,54,34424
month,2024-09,Decision Sciences,31,34424
month,2024-09,Medicine,8,34424
month,2024-09,Psychology,18,34424
month,2024-09,"Business, Management and Accounting",21,34424
month,2024-09,Neuroscience,8,34424
month,2024-10,All,410,38267
month,2024-10,Computer Science,312,38267
month,2024-10,Social Sciences,57,38267
month,2024-10,Engineering,73,38267
month,2024-10,Decision Sciences,52,38267
month,2024-10,Medicine,13,38267
month,2024-10,Psychology,21,38267
month,2024-10,"Business, Management and Accounting",46,38267
month,2024-10,Neuroscience,12,38267
month,2024-11,All,295,36029
month,2024-11,Computer Science,209,36029
month,2024-11,Social Sciences,40,36029
month,2024-11,Engineering,55,36029
month,2024-11,Decision Sciences,37,36029
month,2024-11,Medicine,17,36029
month,2024-11,Psychology,28,36029
month,2024-11,"Business, Management and Accounting",24,36029
month,2024-11,Neuroscience,6,36029
month,2024-12,All,395,45489
month,2024-12,Computer Science,286,45489
month,2024-12,Social Sciences,64,45489
month,2024-12,Engineering,72,45489
month,2024-12,Decision Sciences,40,45489
month,2024-12,Medicine,22,45489
month,2024-12,Psychology,18,45489
month,2024-12,"Business, Management and Accounting",50,45489
month,2024-12,Neuroscience,9,45489
month,2025-01,All,1972,137908
month,2025-01,Computer Science,1346,137908
month,2025-01,Social Sciences,404,137908
month,2025-01,Engineering,332,137908
month,2025-01,Decision Sciences,239,137908
month,2025-01,Medicine,139,137908
month,2025-01,Psychology,138,137908
month,2025-01,"Business, Management and Accounting",220,137908
month,2025-01,Neuroscience,81,137908
month,2025-02,All,552,31192
month,2025-02,Computer Science,388,31192
month,2025-02,Social Sciences,95,31192
month,2025-02,Engineering,94,31192
month,2025-02,Decision Sciences,67,31192
month,2025-02,Medicine,50,31192
month,2025-02,Psychology,36,31192
month,2025-02,"Business, Management and Accounting",58,31192
month,2025-02,Neuroscience,10,31192
month,2025-03,All,676,36146
month,2025-03,Computer Science,494,36146
month,2025-03,Social Sciences,118,36146
month,2025-03,Engineering,116,36146
month,2025-03,Decision Sciences,71,36146
month,2025-03,Medicine,73,36146
month,2025-03,Psychology,46,36146
month,2025-03,"Business, Management and Accounting",59,36146
month,2025-03,Neuroscience,21,36146
month,2025-04,All,802,36672
month,2025-04,Computer Science,576,36672
month,2025-04,Social Sciences,138,36672
month,2025-04,Engineering,115,36672
month,2025-04,Decision Sciences,83,36672
month,2025-04,Medicine,87,36672
month,2025-04,Psychology,82,36672
month,2025-04,"Business, Management and Accounting",56,36672
month,2025-04,Neuroscience,51,36672
month,2025-05,All,1194,40594
month,2025-05,Computer Science,930,40594
month,2025-05,Social Sciences,194,40594
month,2025-05,Engineering,185,40594
month,2025-05,Decision Sciences,128,40594
month,2025-05,Medicine,102,40594
month,2025-05,Psychology,78,40594
month,2025-05,"Business, Management and Accounting",96,40594
month,2025-05,Neuroscience,47,40594
month,2025-06,All,1125,44150
month,2025-06,Computer Science,837,44150
month,2025-06,Social Sciences,183,44150
month,2025-06,Engineering,212,44150
month,2025-06,Decision Sciences,96,44150
month,2025-06,Medicine,104,44150
month,2025-06,Psychology,92,44150
month,2025-06,"Business, Management and Accounting",122,44150
month,2025-06,Neuroscience,63,44150
month,2025-07,All,1195,39420
month,2025-07,Computer Science,843,39420
month,2025-07,Social Sciences,212,39420
month,2025-07,Engineering,184,39420
month,2025-07,Decision Sciences,171,39420
month,2025-07,Medicine,114,39420
month,2025-07,Psychology,101,39420
month,2025-07,"Business, Management and Accounting",140,39420
month,2025-07,Neuroscience,58,39420
month,2025-08,All,1344,36256
month,2025-08,Computer Science,1028,36256
month,2025-08,Social Sciences,179,36256
month,2025-08,Engineering,192,36256
month,2025-08,Decision Sciences,133,36256
month,2025-08,Medicine,120,36256
month,2025-08,Psychology,86,36256
month,2025-08,"Business, Management and Accounting",90,36256
month,2025-08,Neuroscience,41,36256
month,2025-09,All,1442,41862
month,2025-09,Computer Science,1027,41862
month,2025-09,Social Sciences,198,41862
month,2025-09,Engineering,227,41862
month,2025-09,Decision Sciences,125,41862
month,2025-09,Medicine,124,41862
month,2025-09,Psychology,65,41862
month,2025-09,"Business, Management and Accounting",79,41862
month,2025-09,Neuroscience,18,41862
month,2025-10,All,1958,50601
month,2025-10,Computer Science,1470,50601
month,2025-10,Social Sciences,392,50601
month,2025-10,Engineering,299,50601
month,2025-10,Decision Sciences,213,50601
month,2025-10,Medicine,221,50601
month,2025-10,Psychology,153,50601
month,2025-10,"Business, Management and Accounting",114,50601
month,2025-10,Neuroscience,64,50601
month,2025-11,All,1919,64126
month,2025-11,Computer Science,1568,64126
month,2025-11,Social Sciences,403,64126
month,2025-11,Engineering,318,64126
month,2025-11,Decision Sciences,244,64126
month,2025-11,Medicine,214,64126
month,2025-11,Psychology,167,64126
month,2025-11,"Business, Management and Accounting",128,64126
month,2025-11,Neuroscience,91,64126
month,2025-12,All,2362,76275
month,2025-12,Computer Science,1965,76275
month,2025-12,Social Sciences,585,76275
month,2025-12,Engineering,357,76275
month,2025-12,Decision Sciences,345,76275
month,2025-12,Medicine,278,76275
month,2025-12,Psychology,226,76275
month,2025-12,"Business, Management and Accounting",192,76275
month,2025-12,Neuroscience,157,76275
month,2026-01,All,3482,114083
month,2026-01,Computer Science,2940,114083
month,2026-01,Social Sciences,910,114083
month,2026-01,Engineering,454,114083
month,2026-01,Decision Sciences,400,114083
month,2026-01,Medicine,353,114083
month,2026-01,Psychology,325,114083
month,2026-01,"Business, Management and Accounting",199,114083
month,2026-01,Neuroscience,196,114083
month,2026-02,All,3254,61957
month,2026-02,Computer Science,2774,61957
month,2026-02,Social Sciences,885,61957
month,2026-02,Engineering,376,61957
month,2026-02,Decision Sciences,387,61957
month,2026-02,Medicine,335,61957
month,2026-02,Psychology,263,61957
month,2026-02,"Business, Management and Accounting",166,61957
month,2026-02,Neuroscience,175,61957
month,2026-03,All,3660,83369
month,2026-03,Computer Science,3116,83369
month,2026-03,Social Sciences,977,83369
month,2026-03,Engineering,492,83369
month,2026-03,Decision Sciences,457,83369
month,2026-03,Medicine,326,83369
month,2026-03,Psychology,342,83369
month,2026-03,"Business, Management and Accounting",144,83369
month,2026-03,Neuroscience,227,83369
