granularity,period,sector,n_agent,openalex_ai
quarter,2022Q2,All,129,84983
quarter,2022Q2,Computer Science,96,84983
quarter,2022Q2,Social Sciences,31,84983
quarter,2022Q2,Engineering,30,84983
quarter,2022Q2,Decision Sciences,17,84983
quarter,2022Q2,Medicine,8,84983
quarter,2022Q2,Psychology,19,84983
quarter,2022Q2,"Business, Management and Accounting",4,84983
quarter,2022Q2,Neuroscience,12,84983
quarter,2022Q3,All,111,82733
quarter,2022Q3,Computer Science,74,82733
quarter,2022Q3,Social Sciences,19,82733
quarter,2022Q3,Engineering,21,82733
quarter,2022Q3,Decision Sciences,8,82733
quarter,2022Q3,Medicine,7,82733
quarter,2022Q3,Psychology,15,82733
quarter,2022Q3,"Business, Management and Accounting",8,82733
quarter,2022Q3,Neuroscience,14,82733
quarter,2022Q4,All,135,98027
quarter,2022Q4,Computer Science,103,98027
quarter,2022Q4,Social Sciences,23,98027
quarter,2022Q4,Engineering,32,98027
quarter,2022Q4,Decision Sciences,14,98027
quarter,2022Q4,Medicine,5,98027
quarter,2022Q4,Psychology,16,98027
quarter,2022Q4,"Business, Management and Accounting",8,98027
quarter,2022Q4,Neuroscience,5,98027
quarter,2023Q1,All,192,180381
quarter,2023Q1,Computer Science,130,180381
quarter,2023Q1,Social Sciences,35,180381
quarter,2023Q1,Engineering,41,180381
quarter,2023Q1,Decision Sciences,19,180381
quarter,2023Q1,Medicine,7,180381
quarter,2023Q1,Psychology,29,180381
quarter,2023Q1,"Business, Management and Accounting",7,180381
quarter,2023Q1,Neuroscience,17,180381
quarter,2023Q2,All,213,96134
quarter,2023Q2,Computer Science,160,96134
quarter,2023Q2,Social Sciences,46,96134
quarter,2023Q2,Engineering,38,96134
quarter,2023Q2,Decision Sciences,14,96134
quarter,2023Q2,Medicine,12,96134
quarter,2023Q2,Psychology,36,96134
quarter,2023Q2,"Business, Management and Accounting",10,96134
quarter,2023Q2,Neuroscience,13,96134
quarter,2023Q3,All,234,97712
quarter,2023Q3,Computer Science,171,97712
quarter,2023Q3,Social Sciences,51,97712
quarter,2023Q3,Engineering,43,97712
quarter,2023Q3,Decision Sciences,24,97712
quarter,2023Q3,Medicine,15,97712
quarter,2023Q3,Psychology,32,97712
quarter,2023Q3,"Business, Management and Accounting",13,97712
quarter,2023Q3,Neuroscience,9,97712
quarter,2023Q4,All,302,111715
quarter,2023Q4,Computer Science,240,111715
quarter,2023Q4,Social Sciences,46,111715
quarter,2023Q4,Engineering,38,111715
quarter,2023Q4,Decision Sciences,34,111715
quarter,2023Q4,Medicine,13,111715
quarter,2023Q4,Psychology,33,111715
quarter,2023Q4,"Business, Management and Accounting",20,111715
quarter,2023Q4,Neuroscience,12,111715
quarter,2024Q1,All,758,172497
quarter,2024Q1,Computer Science,553,172497
quarter,2024Q1,Social Sciences,146,172497
quarter,2024Q1,Engineering,122,172497
quarter,2024Q1,Decision Sciences,67,172497
quarter,2024Q1,Medicine,45,172497
quarter,2024Q1,Psychology,57,172497
quarter,2024Q1,"Business, Management and Accounting",77,172497
quarter,2024Q1,Neuroscience,21,172497
quarter,2024Q2,All,647,104389
quarter,2024Q2,Computer Science,482,104389
quarter,2024Q2,Social Sciences,93,104389
quarter,2024Q2,Engineering,138,104389
quarter,2024Q2,Decision Sciences,60,104389
quarter,2024Q2,Medicine,34,104389
quarter,2024Q2,Psychology,56,104389
quarter,2024Q2,"Business, Management and Accounting",44,104389
quarter,2024Q2,Neuroscience,16,104389
quarter,2024Q3,All,651,100528
quarter,2024Q3,Computer Science,479,100528
quarter,2024Q3,Social Sciences,101,100528
quarter,2024Q3,Engineering,141,100528
quarter,2024Q3,Decision Sciences,73,100528
quarter,2024Q3,Medicine,34,100528
quarter,2024Q3,Psychology,51,100528
quarter,2024Q3,"Business, Management and Accounting",60,100528
quarter,2024Q3,Neuroscience,19,100528
quarter,2024Q4,All,1100,119785
quarter,2024Q4,Computer Science,807,119785
quarter,2024Q4,Social Sciences,161,119785
quarter,2024Q4,Engineering,200,119785
quarter,2024Q4,Decision Sciences,129,119785
quarter,2024Q4,Medicine,52,119785
quarter,2024Q4,Psychology,67,119785
quarter,2024Q4,"Business, Management and Accounting",120,119785
quarter,2024Q4,Neuroscience,27,119785
quarter,2025Q1,All,3200,205246
quarter,2025Q1,Computer Science,2228,205246
quarter,2025Q1,Social Sciences,617,205246
quarter,2025Q1,Engineering,542,205246
quarter,2025Q1,Decision Sciences,377,205246
quarter,2025Q1,Medicine,262,205246
quarter,2025Q1,Psychology,220,205246
quarter,2025Q1,"Business, Management and Accounting",337,205246
quarter,2025Q1,Neuroscience,112,205246
quarter,2025Q2,All,3121,121416
quarter,2025Q2,Computer Science,2343,121416
quarter,2025Q2,Social Sciences,515,121416
quarter,2025Q2,Engineering,512,121416
quarter,2025Q2,Decision Sciences,307,121416
quarter,2025Q2,Medicine,293,121416
quarter,2025Q2,Psychology,252,121416
