from,to,round,deals,value
Australia (Else),California (US),Series A,1,10000000
Australia (Else),Australia (Else),Series A,1,7500000
Connecticut (US),South Africa (Else),Series Unknown,1,7493333
Connecticut (US),The Netherlands (EU),Series Unknown,1,7493333
South Africa (Else),The Netherlands (EU),Series Unknown,1,7493333
Illinois (US),Massachusetts (US),Series Unknown,4,30000000
Belgium (EU),France (EU),Series A,1,3258795
Belgium (EU),The Netherlands (EU),Series A,1,3258795
France (EU),The Netherlands (EU),Series A,1,3258795
California (US),District of Columbia (US),Series C,1,10440000
California (US),France (EU),Series C,2,21940000
California (US),New York (US),Series C,30,415165651
California (US),United Kingdom (EU),Series C,10,89748333
District of Columbia (US),France (EU),Series C,1,10440000
District of Columbia (US),New York (US),Series C,1,10440000
District of Columbia (US),United Kingdom (EU),Series C,1,10440000
France (EU),New York (US),Series C,2,12790000
France (EU),United Kingdom (EU),Series C,1,10440000
New York (US),United Kingdom (EU),Series C,9,116873333
Canada (Else),Canada (Else),Seed,2,8900000
Canada (Else),Canada (Else),Series A,7,47104224
France (EU),France (EU),Series A,2,7252148
Canada (Else),Texas (US),Series A,2,14350000
Canada (Else),Massachusetts (US),Series A,4,22484447
Massachusetts (US),New York (US),Series A,9,87428571
California (US),California (US),Series A,50,373005071
Canada (Else),Canada (Else),Series B,6,50840000
Canada (Else),Massachusetts (US),Series B,5,81740000
California (US),Canada (Else),Series C,7,198371994
Canada (Else),Canada (Else),Series C,2,15552758
Italy (EU),New York (US),Series C,1,5000000
Canada (Else),Maryland (US),Series D,1,6666667
Canada (Else),Massachusetts (US),Series D,1,10000000
Canada (Else),Pennsylvania (US),Series D,1,6666667
Canada (Else),United Kingdom (EU),Series D,1,6666667
Maryland (US),Massachusetts (US),Series D,1,10000000
Maryland (US),Pennsylvania (US),Series D,1,6666667
Maryland (US),United Kingdom (EU),Series D,1,6666667
Massachusetts (US),Pennsylvania (US),Series D,2,13332667
Massachusetts (US),United Kingdom (EU),Series D,2,17434375
Pennsylvania (US),United Kingdom (EU),Series D,2,15333333
Massachusetts (US),Massachusetts (US),Series D,8,41839583
Canada (Else),Canada (Else),Series D,1,20000000
Canada (Else),Canada (Else),Series E,1,9750000
Canada (Else),New Hampshire (US),Series Unknown,1,2900000
Canada (Else),Canada (Else),Series Unknown,4,35820000
China (Else),China (Else),Angel,8,2900178
China (Else),United Kingdom (EU),Series A,1,13000000
California (US),China (Else),Series B,4,59833333
California (US),Hong Kong (Else),Series B,2,29708333
China (Else),Hong Kong (Else),Series B,1,4250000
California (US),California (US),Series B,90,1204773520
California (US),Denmark (EU),Series B,3,24904358
California (US),New York (US),Series B,29,378378929
Denmark (EU),New York (US),Series B,1,11250000
Denmark (EU),Denmark (EU),Series B,1,7500000
Germany (EU),Illinois (US),Series B,2,10466667
Germany (EU),New York (US),Series B,1,4866667
Illinois (US),New York (US),Series B,4,67136667
Belgium (EU),France (EU),Series B,1,14805405
Belgium (EU),The Netherlands (EU),Series B,1,5922162
France (EU),The Netherlands (EU),Series B,4,36555405
France (EU),France (EU),Series B,7,41397075
France (EU),Germany (EU),Series B,1,3046838
France (EU),Japan (Else),Series B,1,3046838
France (EU),Vietnam (Else),Series B,1,3046838
Germany (EU),Japan (Else),Series B,1,3046838
Germany (EU),Vietnam (Else),Series B,1,3046838
