from,to,round,deals,value
California (US),Uruguay (Else),Angel,1,400000
Argentina (Else),California (US),Pre Seed,13,9911654
Argentina (Else),Chile (Else),Pre Seed,2,661905
California (US),Chile (Else),Pre Seed,7,2564762
Argentina (Else),New York (US),Pre Seed,3,1432449
Argentina (Else),Argentina (Else),Pre Seed,6,1751961
Argentina (Else),Florida (US),Pre Seed,3,1140033
Argentina (Else),Hong Kong (Else),Pre Seed,2,456667
Argentina (Else),Ireland (EU),Pre Seed,1,1125000
California (US),Ireland (EU),Pre Seed,5,2009306
Argentina (Else),Argentina (Else),Seed,10,12661234
Costa Rica (Else),Mexico (Else),Seed,2,1875000
Costa Rica (Else),Oregon (US),Seed,1,750000
Costa Rica (Else),United Kingdom (EU),Seed,1,750000
Mexico (Else),Oregon (US),Seed,1,750000
Mexico (Else),United Kingdom (EU),Seed,7,15454739
Oregon (US),United Kingdom (EU),Seed,6,7583017
Argentina (Else),Arizona (US),Seed,1,4545455
Argentina (Else),Brazil (Else),Seed,12,22663064
Argentina (Else),California (US),Seed,21,51422669
Argentina (Else),Chile (Else),Seed,7,10597940
Argentina (Else),Georgia (US),Seed,3,6321244
Argentina (Else),Missouri (US),Seed,1,4545455
Argentina (Else),New York (US),Seed,12,17913375
Arizona (US),Brazil (Else),Seed,1,3409091
Arizona (US),California (US),Seed,17,33159163
Arizona (US),Chile (Else),Seed,1,2272727
Arizona (US),Georgia (US),Seed,3,6777727
Arizona (US),Missouri (US),Seed,2,2844156
Arizona (US),New York (US),Seed,12,17163658
Brazil (Else),California (US),Seed,39,127446745
Brazil (Else),Chile (Else),Seed,8,17280758
Brazil (Else),Georgia (US),Seed,1,3409091
Brazil (Else),Missouri (US),Seed,1,3409091
Brazil (Else),New York (US),Seed,22,72230253
California (US),Chile (Else),Seed,17,33452163
California (US),Georgia (US),Seed,59,154135892
California (US),Missouri (US),Seed,15,29807742
California (US),New York (US),Seed,817,3112491023
Chile (Else),Georgia (US),Seed,1,2272727
Chile (Else),Missouri (US),Seed,1,2272727
Chile (Else),New York (US),Seed,11,19042448
Georgia (US),Missouri (US),Seed,1,2272727
Georgia (US),New York (US),Seed,45,85823435
Missouri (US),New York (US),Seed,11,18720418
Brazil (Else),Brazil (Else),Seed,66,101420862
Argentina (Else),Florida (US),Seed,4,4226970
Mexico (Else),Spain (EU),Seed,9,13950374
Argentina (Else),Japan (Else),Series A,1,2500000
Argentina (Else),New York (US),Series A,4,24250000
Argentina (Else),Spain (EU),Series A,1,2500000
Argentina (Else),United Kingdom (EU),Series A,3,9750000
Japan (Else),New York (US),Series A,32,350682939
Japan (Else),Spain (EU),Series A,2,7015404
Japan (Else),United Kingdom (EU),Series A,16,185160058
New York (US),Spain (EU),Series A,14,111115647
New York (US),United Kingdom (EU),Series A,113,1070288193
Spain (EU),United Kingdom (EU),Series A,15,84829056
Argentina (Else),Argentina (Else),Series A,2,3166667
Brazil (Else),California (US),Series A,17,170408223
Brazil (Else),New York (US),Series A,20,187779795
California (US),New York (US),Series A,433,6274015136
Australia (Else),Germany (EU),Angel,1,57934
Australia (Else),Australia (Else),Corporate Round,1,34832040
Australia (Else),Australia (Else),Equity Crowdfunding,1,799863
Australia (Else),Singapore (Else),Pre Seed,8,4075714
Australia (Else),Australia (Else),Pre Seed,24,19837691
Australia (Else),Germany (EU),Pre Seed,6,7234488
Australia (Else),New York (US),Pre Seed,13,11132196
Germany (EU),New York (US),Pre Seed,33,29348842
Australia (Else),California (US),Pre Seed,14,13777742
Australia (Else),New Zealand (Else),Pre Seed,2,2966667
Australia (Else),United Kingdom (EU),Pre Seed,11,8395913
California (US),New Zealand (Else),Pre Seed,4,2685877
California (US),United Kingdom (EU),Pre Seed,115,144384155
New Zealand (Else),United Kingdom (EU),Pre Seed,1,500000
Australia (Else),Colorado (US),Pre Seed,1,1285714
Australia (Else),Italy (EU),Pre Seed,3,1464515
Colorado (US),Italy (EU),Pre Seed,1,857143
Colorado (US),New York (US),Pre Seed,17,9367421
Colorado (US),United Kingdom (EU),Pre Seed,6,4566270
Italy (EU),New York (US),Pre Seed,6,22196606
Italy (EU),United Kingdom (EU),Pre Seed,12,40170507
New York (US),United Kingdom (EU),Pre Seed,68,73070650
United Kingdom (EU),United Kingdom (EU),Pre Seed,116,114613535
California (US),Cayman Islands (Else),Pre Seed,7,6692908
California (US),Singapore (Else),Pre Seed,70,48793093
Cayman Islands (Else),Singapore (Else),Pre Seed,2,1500000
California (US),California (US),Pre Seed,337,318911946
Australia (Else),Australia (Else),Seed,67,151630700
Australia (Else),Maryland (US),Seed,1,1500000
Australia (Else),New York (US),Seed,37,107614253
Australia (Else),United Kingdom (EU),Seed,25,58266825
Australia (Else),California (US),Seed,61,181635223
Australia (Else),Colorado (US),Seed,7,19904120
Australia (Else),France (EU),Seed,7,25887565
Australia (Else),Oregon (US),Seed,1,8000000
California (US),Colorado (US),Seed,93,295518725
California (US),France (EU),Seed,107,489114624
California (US),Oregon (US),Seed,25,54227634
Colorado (US),France (EU),Seed,7,12076849
Colorado (US),Oregon (US),Seed,3,3283318
France (EU),Oregon (US),Seed,1,2000000
California (US),California (US),Seed,1131,3752331689
