from,to,round,deals,value
Argentina (Else),Brazil (Else),Pre Seed,3,5220000
Brazil (Else),Brazil (Else),Pre Seed,20,18415998
Argentina (Else),California (US),Pre Seed,11,7863197
Argentina (Else),Georgia (US),Pre Seed,1,1290000
Argentina (Else),United Kingdom (EU),Pre Seed,6,1814242
Brazil (Else),California (US),Pre Seed,22,25342265
Brazil (Else),Georgia (US),Pre Seed,1,1290000
Brazil (Else),United Kingdom (EU),Pre Seed,5,5538016
California (US),Georgia (US),Pre Seed,12,14890000
California (US),United Kingdom (EU),Pre Seed,127,163509759
Georgia (US),United Kingdom (EU),Pre Seed,9,7543333
Argentina (Else),Argentina (Else),Pre Seed,3,1026667
California (US),California (US),Pre Seed,366,373289728
Argentina (Else),New Jersey (US),Pre Seed,1,800000
California (US),New Jersey (US),Pre Seed,11,20290846
Argentina (Else),Australia (Else),Seed,1,1500000
Argentina (Else),Argentina (Else),Seed,10,8270833
California (US),Cayman Islands (Else),Seed,66,131718230
California (US),Israel (Else),Seed,76,409317745
California (US),United Kingdom (EU),Seed,316,1005997152
California (US),United States (US),Seed,89,543373749
California (US),Washington (US),Seed,130,725450839
California (US),Wyoming (US),Seed,29,94035399
Cayman Islands (Else),Israel (Else),Seed,6,6211048
Cayman Islands (Else),United Kingdom (EU),Seed,43,51894136
Cayman Islands (Else),United States (US),Seed,11,11371567
Cayman Islands (Else),Washington (US),Seed,7,6602308
Cayman Islands (Else),Wyoming (US),Seed,10,13399345
Israel (Else),United Kingdom (EU),Seed,29,86076229
Israel (Else),United States (US),Seed,7,9481881
Israel (Else),Washington (US),Seed,10,23617011
Israel (Else),Wyoming (US),Seed,3,3988791
United Kingdom (EU),United States (US),Seed,39,56408727
United Kingdom (EU),Washington (US),Seed,36,57115626
United Kingdom (EU),Wyoming (US),Seed,11,18256287
United States (US),Washington (US),Seed,13,61351310
United States (US),Wyoming (US),Seed,5,3852315
Washington (US),Wyoming (US),Seed,1,520000
Israel (Else),Israel (Else),Seed,42,153949411
United Kingdom (EU),United Kingdom (EU),Seed,256,599478175
United States (US),United States (US),Seed,18,20014343
Mexico (Else),New York (US),Seed,11,16420957
Mexico (Else),United Kingdom (EU),Seed,7,9689242
New York (US),United Kingdom (EU),Seed,228,534145305
Mexico (Else),Mexico (Else),Seed,11,12659500
Argentina (Else),Brazil (Else),Seed,9,14708445
Argentina (Else),California (US),Seed,14,32699444
Brazil (Else),California (US),Seed,32,133239359
Argentina (Else),Belgium (EU),Seed,1,700000
Argentina (Else),Chile (Else),Seed,4,5159524
Argentina (Else),New Jersey (US),Seed,2,2125000
Argentina (Else),Oklahoma (US),Seed,2,1750000
Belgium (EU),California (US),Seed,17,80494284
Belgium (EU),Chile (Else),Seed,1,700000
Belgium (EU),New Jersey (US),Seed,1,700000
Belgium (EU),Oklahoma (US),Seed,1,700000
California (US),Chile (Else),Seed,10,13998564
California (US),New Jersey (US),Seed,24,63919152
California (US),Oklahoma (US),Seed,12,33344168
Chile (Else),New Jersey (US),Seed,1,700000
Chile (Else),Oklahoma (US),Seed,2,1400000
New Jersey (US),Oklahoma (US),Seed,2,1900000
Brazil (Else),Brazil (Else),Seed,37,54998381
California (US),Illinois (US),Seed,125,401259879
Chile (Else),Illinois (US),Seed,1,1975588
Chile (Else),Chile (Else),Seed,6,7154559
Argentina (Else),India (Else),Seed,3,1826190
Argentina (Else),Florida (US),Seed,3,3633333
Brazil (Else),California (US),Series A,25,272726952
California (US),California (US),Series A,628,11725038821
California (US),Canada (Else),Series A,78,959425337
California (US),Florida (US),Series A,64,1197908685
California (US),Hong Kong (Else),Series A,43,437232263
California (US),Japan (Else),Series A,51,994149699
California (US),Michigan (US),Series A,16,238029012
California (US),New York (US),Series A,442,9921891183
California (US),The Netherlands (EU),Series A,46,526456395
California (US),Utah (US),Series A,33,312349234
Canada (Else),Florida (US),Series A,9,73243207
Canada (Else),Hong Kong (Else),Series A,2,20333333
Canada (Else),Japan (Else),Series A,5,28916554
Canada (Else),Michigan (US),Series A,4,22434964
Canada (Else),New York (US),Series A,40,287182408
Canada (Else),The Netherlands (EU),Series A,6,21991030
Canada (Else),Utah (US),Series A,4,26375000
Florida (US),Hong Kong (Else),Series A,9,60496716
Florida (US),Japan (Else),Series A,5,29493038
Florida (US),Michigan (US),Series A,3,10147619
Florida (US),New York (US),Series A,50,606108106
Florida (US),The Netherlands (EU),Series A,8,43187161
Florida (US),Utah (US),Series A,8,28724379
Hong Kong (Else),Japan (Else),Series A,6,11953095
Hong Kong (Else),Michigan (US),Series A,2,5349597
Hong Kong (Else),New York (US),Series A,40,305540337
Hong Kong (Else),The Netherlands (EU),Series A,12,51799434
Hong Kong (Else),Utah (US),Series A,6,13950919
Japan (Else),Michigan (US),Series A,3,10293194
Japan (Else),New York (US),Series A,20,472637670
Japan (Else),The Netherlands (EU),Series A,4,14512255
Japan (Else),Utah (US),Series A,3,33210603
Michigan (US),New York (US),Series A,13,148033819
Michigan (US),The Netherlands (EU),Series A,2,5100000
Michigan (US),Utah (US),Series A,4,12407619
New York (US),The Netherlands (EU),Series A,27,189713265
New York (US),Utah (US),Series A,23,127689468
The Netherlands (EU),Utah (US),Series A,4,9103935
New York (US),New York (US),Series A,226,2619951192
Argentina (Else),Paraguay (Else),Series A,1,4500000
Argentina (Else),Peru (Else),Series A,1,4500000
Argentina (Else),Switzerland (EU),Series A,1,4500000
Paraguay (Else),Peru (Else),Series A,1,3000000
Paraguay (Else),Switzerland (EU),Series A,1,3000000
Peru (Else),Switzerland (EU),Series A,1,3000000
Argentina (Else),Argentina (Else),Series A,1,3000000
