from,to,round,deals,value
Brazil (Else),California (US),Series A,117,1589868956
Brazil (Else),China (Else),Series A,8,48865470
Brazil (Else),Japan (Else),Series A,7,93766294
Brazil (Else),Kentucky (US),Series A,3,6473106
Brazil (Else),New Hampshire (US),Series A,12,41630573
Brazil (Else),New York (US),Series A,112,1175837281
Brazil (Else),Russian Federation (Else),Series A,1,2307692
Brazil (Else),Texas (US),Series A,11,32746506
Brazil (Else),United Arab Emirates (Else),Series A,8,90218590
Brazil (Else),United Kingdom (EU),Series A,31,306462753
Brazil (Else),United States (US),Series A,7,19021821
California (US),China (Else),Series A,106,2801975867
California (US),Japan (Else),Series A,90,835954725
California (US),Kentucky (US),Series A,15,112666341
California (US),New Hampshire (US),Series A,61,631386469
California (US),New York (US),Series A,940,16389876619
California (US),Russian Federation (Else),Series A,6,43255128
California (US),Texas (US),Series A,161,1652041178
California (US),United Arab Emirates (Else),Series A,53,550010603
California (US),United Kingdom (EU),Series A,351,5022087291
California (US),United States (US),Series A,61,574828589
China (Else),Japan (Else),Series A,14,277906394
China (Else),Kentucky (US),Series A,2,22307692
China (Else),New Hampshire (US),Series A,4,12491026
China (Else),New York (US),Series A,58,1831892966
China (Else),Russian Federation (Else),Series A,2,202307692
China (Else),Texas (US),Series A,7,30547378
China (Else),United Arab Emirates (Else),Series A,13,177531384
China (Else),United Kingdom (EU),Series A,29,302283553
China (Else),United States (US),Series A,3,4269415
Japan (Else),Kentucky (US),Series A,3,18491026
Japan (Else),New Hampshire (US),Series A,3,9834965
Japan (Else),New York (US),Series A,39,257942644
Japan (Else),Russian Federation (Else),Series A,1,2307692
Japan (Else),Texas (US),Series A,8,28157783
Japan (Else),United Arab Emirates (Else),Series A,8,17832487
Japan (Else),United Kingdom (EU),Series A,24,159996999
Japan (Else),United States (US),Series A,1,2307692
Kentucky (US),New Hampshire (US),Series A,3,16711201
Kentucky (US),New York (US),Series A,13,49337787
Kentucky (US),Russian Federation (Else),Series A,1,2307692
Kentucky (US),Texas (US),Series A,6,9727868
Kentucky (US),United Arab Emirates (Else),Series A,2,3641026
Kentucky (US),United Kingdom (EU),Series A,6,25013998
