from,to,round,deals,value
California (US),New York (US),Series A,13,137908333
California (US),Connecticut (US),Series A,8,282216667
California (US),United Kingdom (EU),Series A,12,263872142
Connecticut (US),United Kingdom (EU),Series A,3,97000000
California (US),California (US),Series A,89,729851928
Belgium (EU),France (EU),Series B,2,25666667
Belgium (EU),Mississippi (US),Series B,4,53914286
Belgium (EU),The Netherlands (EU),Series B,1,15000000
Belgium (EU),United Kingdom (EU),Series B,1,15000000
France (EU),Mississippi (US),Series B,1,10000000
France (EU),The Netherlands (EU),Series B,1,10000000
France (EU),United Kingdom (EU),Series B,2,16000000
Mississippi (US),The Netherlands (EU),Series B,1,10000000
Mississippi (US),United Kingdom (EU),Series B,3,20233333
The Netherlands (EU),United Kingdom (EU),Series B,2,12050000
Belgium (EU),Belgium (EU),Series B,1,10000000
Canada (Else),Massachusetts (US),Seed,1,1000000
Canada (Else),Canada (Else),Seed,2,3800000
Canada (Else),Florida (US),Seed,1,250000
California (US),Canada (Else),Series A,3,25592857
California (US),Minnesota (US),Series A,3,18238000
Canada (Else),Minnesota (US),Series A,1,7250000
Canada (Else),Canada (Else),Series A,8,40043490
Canada (Else),Massachusetts (US),Series A,2,19000000
Massachusetts (US),Massachusetts (US),Series A,16,83533332
California (US),Switzerland (EU),Series A,5,59713553
Connecticut (US),New York (US),Series A,1,22800000
Connecticut (US),Switzerland (EU),Series A,1,22800000
New York (US),Switzerland (EU),Series A,1,22800000
Canada (Else),New York (US),Series A,1,1635181
Canada (Else),Illinois (US),Series A,1,13900000
Canada (Else),Texas (US),Series A,1,2000000
Canada (Else),Florida (US),Series A,1,1408375
Canada (Else),Virginia (US),Series A,2,7965518
Florida (US),Virginia (US),Series A,1,938916
Canada (Else),United Kingdom (EU),Series B,2,14400000
Canada (Else),Canada (Else),Series B,5,35257838
Canada (Else),Massachusetts (US),Series B,7,77096072
Denmark (EU),Finland (EU),Series B,1,4521569
Denmark (EU),Sweden (EU),Series B,3,14521569
Denmark (EU),Switzerland (EU),Series B,1,4521569
Finland (EU),Sweden (EU),Series B,1,4521569
Finland (EU),Switzerland (EU),Series B,1,4521569
Sweden (EU),Switzerland (EU),Series B,2,17721569
France (EU),France (EU),Series B,5,41497000
California (US),New York (US),Series B,37,611414895
Canada (Else),Illinois (US),Series B,3,30666667
Canada (Else),India (Else),Series C,1,11000000
Canada (Else),New York (US),Series C,3,10889324
Canada (Else),Canada (Else),Series C,2,7111459
California (US),Germany (EU),Series C,7,78982792
California (US),California (US),Series C,92,1033509330
California (US),Canada (Else),Series D,3,38476667
California (US),France (EU),Series D,5,59010855
California (US),Massachusetts (US),Series D,30,323197254
California (US),New York (US),Series D,24,321377278
California (US),Philippines (Else),Series D,1,11000000
Canada (Else),France (EU),Series D,1,11000000
Canada (Else),Massachusetts (US),Series D,3,22916667
Canada (Else),New York (US),Series D,2,19916667
Canada (Else),Philippines (Else),Series D,1,11000000
France (EU),Massachusetts (US),Series D,1,7333333
France (EU),New York (US),Series D,2,19485500
France (EU),Philippines (Else),Series D,1,7333333
Massachusetts (US),New York (US),Series D,12,141115476
Massachusetts (US),Philippines (Else),Series D,1,7333333
New York (US),Philippines (Else),Series D,1,11000000
California (US),California (US),Series D,57,760229444
