from,to,round,deals,value
Argentina (Else),Argentina (Else),Angel,2,903571
Argentina (Else),New York (US),Seed,2,145000
Spain (EU),Spain (EU),Seed,7,6524020
Brazil (Else),California (US),Series A,4,8323333
Australia (Else),Australia (Else),Post IPO Equity,1,8762764
Australia (Else),New York (US),Private Equity,1,80000000
Australia (Else),Australia (Else),Private Equity,1,60000000
Australia (Else),California (US),Seed,4,1683374
Australia (Else),Australia (Else),Seed,7,658820
Massachusetts (US),Massachusetts (US),Seed,28,17583419
Australia (Else),Massachusetts (US),Series A,1,16237228
Australia (Else),Australia (Else),Series A,5,28571026
Australia (Else),Singapore (Else),Series A,2,15840953
Australia (Else),United Kingdom (EU),Series A,3,10160000
Australia (Else),Australia (Else),Series B,1,19181713
California (US),California (US),Series C,135,2261176033
Australia (Else),Australia (Else),Series Unknown,3,14925481
Austria (EU),Austria (EU),Seed,1,693784
The Netherlands (EU),United Kingdom (EU),Seed,8,1562464
France (EU),France (EU),Series A,12,38793429
Massachusetts (US),New York (US),Series A,36,110840945
Massachusetts (US),Massachusetts (US),Series A,29,210037461
Belgium (EU),Belgium (EU),Seed,2,3390103
Belgium (EU),France (EU),Series A,1,12613239
Belgium (EU),Luxembourg (EU),Series A,1,12613239
Belgium (EU),The Netherlands (EU),Series A,1,12613239
France (EU),Luxembourg (EU),Series A,1,12613239
France (EU),The Netherlands (EU),Series A,3,34692971
Luxembourg (EU),The Netherlands (EU),Series A,1,12613239
Belgium (EU),Belgium (EU),Series A,2,7496391
Austria (EU),Germany (EU),Series B,1,7500000
Austria (EU),Ireland (EU),Series B,1,5000000
Germany (EU),Ireland (EU),Series B,1,7500000
Germany (EU),Germany (EU),Series B,8,46310434
Belgium (EU),Belgium (EU),Series B,1,5736028
Belgium (EU),Belgium (EU),Series Unknown,3,9669078
Belgium (EU),Germany (EU),Series Unknown,1,5664808
Argentina (Else),California (US),Angel,2,714286
Argentina (Else),New York (US),Angel,2,1171429
Argentina (Else),Spain (EU),Angel,2,671429
California (US),New York (US),Angel,20,23688939
California (US),Spain (EU),Angel,2,628571
New York (US),Spain (EU),Angel,2,1085714
California (US),California (US),Angel,35,35475225
Russian Federation (Else),United Arab Emirates (Else),Grant,1,25000
Brazil (Else),Brazil (Else),Private Equity,1,1425582
California (US),New York (US),Seed,171,155240115
California (US),Spain (EU),Seed,8,6027338
New York (US),Spain (EU),Seed,10,6047674
California (US),California (US),Seed,255,212443489
Brazil (Else),Brazil (Else),Seed,1,700000
Brazil (Else),New York (US),Series A,4,10565000
Brazil (Else),Spain (EU),Series A,2,2243333
California (US),New York (US),Series A,89,462006157
California (US),Spain (EU),Series A,2,2990000
New York (US),Spain (EU),Series A,3,3665000
California (US),California (US),Series A,228,1396398943
New York (US),New York (US),Series A,62,149284584
Germany (EU),New York (US),Series A,6,63666832
Germany (EU),Germany (EU),Series A,9,65777705
Brazil (Else),Brazil (Else),Series A,3,5261300
Brazil (Else),Brazil (Else),Series Unknown,1,1500000
Canada (Else),Canada (Else),Angel,1,1665000
Canada (Else),Canada (Else),Corporate Round,1,2575495
California (US),New York (US),Debt Financing,7,426643301
California (US),Washington (US),Debt Financing,2,1800000
New York (US),Washington (US),Debt Financing,1,2250000
New York (US),New York (US),Debt Financing,6,86846364
Canada (Else),New York (US),Debt Financing,2,88240039
Canada (Else),Canada (Else),Debt Financing,4,238858698
Australia (Else),Canada (Else),Debt Financing,1,125000000
Canada (Else),Canada (Else),Grant,1,1000000
Canada (Else),Canada (Else),Post IPO Equity,10,348619489
Canada (Else),Georgia (US),Post IPO Equity,2,56003727
California (US),New York (US),Post IPO Equity,1,20000000
California (US),California (US),Pre Seed,3,378000
California (US),Canada (Else),Private Equity,2,53510670
California (US),Colorado (US),Private Equity,1,7981472
California (US),New York (US),Private Equity,12,764523973
California (US),Texas (US),Private Equity,2,29972209
Canada (Else),Colorado (US),Private Equity,2,50305542
Canada (Else),New York (US),Private Equity,6,750392432
Canada (Else),Texas (US),Private Equity,2,51962945
Colorado (US),New York (US),Private Equity,2,50305542
Colorado (US),Texas (US),Private Equity,1,11972209
New York (US),Texas (US),Private Equity,2,63962945
Canada (Else),Canada (Else),Private Equity,1,7981472
New York (US),New York (US),Private Equity,9,632632548
Texas (US),Texas (US),Private Equity,2,31981472
Arizona (US),California (US),Seed,7,3542284
Arizona (US),Canada (Else),Seed,3,1013788
Arizona (US),Germany (EU),Seed,2,224111
Arizona (US),Massachusetts (US),Seed,3,532444
Arizona (US),New York (US),Seed,5,1667589
Arizona (US),Washington (US),Seed,1,154545
California (US),Canada (Else),Seed,18,12385299
California (US),Germany (EU),Seed,6,2112266
California (US),Massachusetts (US),Seed,81,74022959
California (US),Washington (US),Seed,14,12740002
Canada (Else),Germany (EU),Seed,2,490711
Canada (Else),Massachusetts (US),Seed,8,4171601
Canada (Else),New York (US),Seed,16,9309913
Canada (Else),Washington (US),Seed,2,686364
Germany (EU),Massachusetts (US),Seed,2,224111
Germany (EU),New York (US),Seed,6,2333852
Germany (EU),Washington (US),Seed,1,154545
Massachusetts (US),New York (US),Seed,69,46917439
Massachusetts (US),Washington (US),Seed,7,3067641
New York (US),Washington (US),Seed,12,8293318
Canada (Else),Canada (Else),Seed,16,16727516
Canada (Else),United Kingdom (EU),Seed,4,1710673
New York (US),United Kingdom (EU),Seed,14,6542063
New York (US),New York (US),Seed,114,56414428
Arizona (US),Florida (US),Seed,3,639437
Arizona (US),Wyoming (US),Seed,1,261538
California (US),Florida (US),Seed,22,14171807
California (US),Wyoming (US),Seed,6,5567654
Canada (Else),Florida (US),Seed,2,627425
Canada (Else),Wyoming (US),Seed,1,523077
Florida (US),Wyoming (US),Seed,3,827872
Missouri (US),Missouri (US),Seed,2,1380000
Canada (Else),United States (US),Seed,2,508868
Germany (EU),Washington (US),Series A,1,13000000
Canada (Else),Canada (Else),Series A,15,84383609
Canada (Else),Massachusetts (US),Series A,3,14600000
Canada (Else),New York (US),Series A,8,61142350
Canada (Else),New Jersey (US),Series A,1,7400000
Canada (Else),North Carolina (US),Series A,1,13000000
California (US),Canada (Else),Series A,11,58695625
Canada (Else),The Netherlands (EU),Series A,1,7407039
Canada (Else),Minnesota (US),Series A,1,10400000
Canada (Else),United Kingdom (EU),Series A,3,22089921
Canada (Else),Massachusetts (US),Series B,4,45326190
California (US),Canada (Else),Series B,16,168440238
California (US),Massachusetts (US),Series B,66,840291596
California (US),New York (US),Series B,71,1306527518
Canada (Else),New York (US),Series B,13,119233658
Massachusetts (US),New York (US),Series B,25,283147932
Canada (Else),Canada (Else),Series B,8,60789286
California (US),California (US),Series B,181,2486410417
Canada (Else),District of Columbia (US),Series B,1,12187500
Canada (Else),The Netherlands (EU),Series B,2,18854167
Canada (Else),United Kingdom (EU),Series B,6,41290833
District of Columbia (US),New York (US),Series B,3,10375000
District of Columbia (US),The Netherlands (EU),Series B,1,4875000
District of Columbia (US),United Kingdom (EU),Series B,1,4875000
New York (US),The Netherlands (EU),Series B,2,23642309
New York (US),United Kingdom (EU),Series B,13,97041667
The Netherlands (EU),United Kingdom (EU),Series B,8,95141567
Canada (Else),Texas (US),Series B,3,15908333
Florida (US),Massachusetts (US),Series B,3,9850000
Florida (US),Spain (EU),Series B,1,12375000
Massachusetts (US),Spain (EU),Series B,1,12375000
Spain (EU),Spain (EU),Series B,1,8250000
Canada (Else),Hong Kong (Else),Series B,1,933333
Hong Kong (Else),Massachusetts (US),Series B,2,10933333
New York (US),New York (US),Series B,31,219726375
California (US),Massachusetts (US),Series C,44,1031167208
Canada (Else),Israel (Else),Series C,1,6480000
Canada (Else),Singapore (Else),Series C,2,12080000
Israel (Else),Singapore (Else),Series C,2,3480000
Canada (Else),Canada (Else),Series C,5,28456667
Canada (Else),South Carolina (US),Series C,1,1800000
Canada (Else),Hong Kong (Else),Series C,2,33485271
Canada (Else),Massachusetts (US),Series C,4,56715479
Canada (Else),New York (US),Series C,3,42793747
Hong Kong (Else),Massachusetts (US),Series C,4,99818604
Hong Kong (Else),New York (US),Series C,4,49005271
Massachusetts (US),New York (US),Series C,19,540174665
California (US),Canada (Else),Series C,6,78826333
California (US),District of Columbia (US),Series C,1,11500000
California (US),Hong Kong (Else),Series C,5,122000000
California (US),New York (US),Series C,57,1354255314
Canada (Else),District of Columbia (US),Series C,2,12166667
District of Columbia (US),Hong Kong (Else),Series C,1,7666667
District of Columbia (US),New York (US),Series C,4,24666664
Canada (Else),Canada (Else),Series Unknown,12,144361743
Canada (Else),Illinois (US),Series Unknown,1,8800000
Canada (Else),Minnesota (US),Series Unknown,1,8800000
Canada (Else),New York (US),Series Unknown,7,57619495
Illinois (US),Minnesota (US),Series Unknown,1,8800000
Illinois (US),New York (US),Series Unknown,9,66425000
