from,to,round,deals,value
Argentina (Else),Chile (Else),Angel,1,150000
Argentina (Else),Chile (Else),Pre Seed,1,100000
Argentina (Else),Spain (EU),Pre Seed,1,100000
Chile (Else),Spain (EU),Pre Seed,1,100000
Argentina (Else),California (US),Seed,12,5015024
California (US),Peru (Else),Seed,2,543000
Argentina (Else),Mexico (Else),Seed,2,939286
Argentina (Else),Argentina (Else),Seed,7,2977286
Argentina (Else),District of Columbia (US),Seed,1,35000
Mexico (Else),Mexico (Else),Seed,8,3839634
Argentina (Else),New York (US),Seed,10,3566861
Argentina (Else),Singapore (Else),Seed,3,125000
New York (US),Singapore (Else),Seed,19,9401704
New York (US),New York (US),Seed,277,202799168
Argentina (Else),Spain (EU),Seed,4,1647273
Argentina (Else),Bulgaria (EU),Series A,1,1333333
Argentina (Else),New York (US),Series A,2,7733333
Bulgaria (EU),New York (US),Series A,1,1333333
Brazil (Else),California (US),Series B,2,9833333
Brazil (Else),New York (US),Series B,2,9833333
California (US),New York (US),Series B,159,3263956246
New York (US),South Africa (Else),Series B,2,55000000
Argentina (Else),Colombia (Else),Series Unknown,1,433333
Argentina (Else),Spain (EU),Series Unknown,1,433333
Colombia (Else),Spain (EU),Series Unknown,1,433333
Argentina (Else),Chile (Else),Series Unknown,1,348000
Argentina (Else),Switzerland (EU),Series Unknown,1,261000
Chile (Else),Switzerland (EU),Series Unknown,3,1181000
Argentina (Else),Argentina (Else),Series Unknown,1,174000
Chile (Else),Chile (Else),Series Unknown,2,564000
Australia (Else),Australia (Else),Angel,2,894932
Colorado (US),Texas (US),Post IPO Equity,1,183000000
Australia (Else),Australia (Else),Pre Seed,2,462298
California (US),Maryland (US),Secondary Market,3,210000000
California (US),California (US),Secondary Market,4,127500000
Australia (Else),The Netherlands (EU),Seed,1,400000
Australia (Else),Australia (Else),Seed,33,20196905
Massachusetts (US),New York (US),Seed,83,78089081
Massachusetts (US),Vermont (US),Seed,2,3950000
New York (US),Vermont (US),Seed,1,1600000
Massachusetts (US),Massachusetts (US),Seed,47,43567217
Australia (Else),California (US),Seed,19,22420787
Australia (Else),Massachusetts (US),Seed,2,2295484
California (US),Massachusetts (US),Seed,90,121304724
California (US),California (US),Seed,632,727275978
Australia (Else),Georgia (US),Seed,1,48373
Australia (Else),Canada (Else),Seed,5,1868244
Australia (Else),India (Else),Seed,1,38224
Philippines (Else),Philippines (Else),Seed,2,841667
Australia (Else),California (US),Series A,10,50854909
Australia (Else),Australia (Else),Series A,6,24391109
Australia (Else),Canada (Else),Series A,2,18515392
Australia (Else),Switzerland (EU),Series A,2,6982058
Canada (Else),Switzerland (EU),Series A,1,3454706
Australia (Else),Germany (EU),Series A,4,13290771
California (US),Germany (EU),Series A,27,197299674
Germany (EU),Germany (EU),Series A,30,122695223
California (US),Florida (US),Series B,12,118955029
California (US),Massachusetts (US),Series B,83,1174550877
Florida (US),Massachusetts (US),Series B,8,60833333
California (US),California (US),Series B,284,4384402568
Australia (Else),Australia (Else),Series B,4,27624768
Australia (Else),California (US),Series B,4,46071429
Australia (Else),California (US),Series C,2,48388889
Australia (Else),Denmark (EU),Series C,1,37500000
California (US),Denmark (EU),Series C,3,58571429
Australia (Else),Australia (Else),Series C,1,30000000
Australia (Else),Switzerland (EU),Series C,1,3706017
Australia (Else),United Kingdom (EU),Series C,1,3706017
Switzerland (EU),United Kingdom (EU),Series C,4,40103186
Australia (Else),Australia (Else),Series Unknown,1,6000000
Germany (EU),Germany (EU),Series Unknown,17,150288418
Austria (EU),Germany (EU),Angel,1,500000
Austria (EU),Austria (EU),Angel,2,2833333
Austria (EU),Germany (EU),Seed,3,4170498
Austria (EU),Singapore (Else),Seed,1,1411396
Germany (EU),Singapore (Else),Seed,4,2621539
Germany (EU),Germany (EU),Seed,34,31411949
Austria (EU),New York (US),Seed,2,2200000
Austria (EU),Austria (EU),Seed,3,2760345
Austria (EU),Bermuda (Else),Seed,1,1377695
Austria (EU),Germany (EU),Series A,2,9029998
Austria (EU),Austria (EU),Series A,2,4825570
France (EU),Germany (EU),Series A,8,23686954
France (EU),France (EU),Series A,20,82556454
Belgium (EU),New York (US),Post IPO Equity,1,38066339
Belgium (EU),The Netherlands (EU),Post IPO Equity,1,38066339
New York (US),The Netherlands (EU),Post IPO Equity,1,38066339
California (US),Italy (EU),Seed,3,3227632
Italy (EU),Italy (EU),Seed,30,17833547
Belgium (EU),Germany (EU),Seed,2,1284538
Belgium (EU),New York (US),Seed,10,5957416
Germany (EU),New York (US),Seed,21,13373906
Belgium (EU),Belgium (EU),Seed,5,2128130
France (EU),France (EU),Seed,61,70769305
Portugal (EU),United Kingdom (EU),Seed,3,3638733
United Kingdom (EU),United Kingdom (EU),Seed,133,113844918
Belgium (EU),California (US),Series A,4,21260668
Belgium (EU),Belgium (EU),Series A,2,1105315
Belgium (EU),United Kingdom (EU),Series B,1,8500000
Belgium (EU),Belgium (EU),Series B,2,5631453
Belgium (EU),France (EU),Series B,2,16416481
France (EU),France (EU),Series B,24,194522989
Belgium (EU),Germany (EU),Series C,3,35039702
Belgium (EU),Ireland (EU),Series C,1,21039702
Germany (EU),Ireland (EU),Series C,1,21039702
Belgium (EU),California (US),Series D,1,5500000
Belgium (EU),Switzerland (EU),Series D,1,8250000
California (US),Switzerland (EU),Series D,6,87726923
Switzerland (EU),Switzerland (EU),Series D,1,5500000
Canada (Else),Ireland (EU),Series Unknown,1,1000000
