from,to,round,deals,value
Finland (EU),Finland (EU),Series B,2,17230000
California (US),Illinois (US),Series A,4,25166667
California (US),California (US),Series A,149,1028328683
Australia (Else),Indiana (US),Series A,1,9000000
Australia (Else),Australia (Else),Series A,2,7870000
Australia (Else),Kenya (Else),Series C,1,1850000
Germany (EU),Germany (EU),Series Unknown,7,46738362
Belgium (EU),The Netherlands (EU),Series A,1,10600000
Belgium (EU),Belgium (EU),Series A,1,5300000
The Netherlands (EU),The Netherlands (EU),Series A,1,5300000
New Jersey (US),The Netherlands (EU),Series A,1,7800000
Belgium (EU),Luxembourg (EU),Series B,1,12582858
Belgium (EU),United Kingdom (EU),Series B,2,14437144
Luxembourg (EU),United Kingdom (EU),Series B,1,9437144
Belgium (EU),Belgium (EU),Series B,1,6291429
Luxembourg (EU),Luxembourg (EU),Series B,1,6291429
Belgium (EU),France (EU),Series C,1,25000000
Belgium (EU),Massachusetts (US),Series C,1,25000000
Belgium (EU),Mississippi (US),Series C,2,30900000
Belgium (EU),The Netherlands (EU),Series C,2,31464000
Belgium (EU),United Kingdom (EU),Series C,2,30440519
France (EU),Massachusetts (US),Series C,2,20422233
France (EU),Mississippi (US),Series C,1,12500000
France (EU),The Netherlands (EU),Series C,1,12500000
France (EU),United Kingdom (EU),Series C,3,43000000
Massachusetts (US),Mississippi (US),Series C,3,43738636
Massachusetts (US),The Netherlands (EU),Series C,2,16460000
Massachusetts (US),United Kingdom (EU),Series C,6,70523107
Mississippi (US),The Netherlands (EU),Series C,1,12500000
Mississippi (US),United Kingdom (EU),Series C,3,34337500
The Netherlands (EU),United Kingdom (EU),Series C,2,16460000
Belgium (EU),Belgium (EU),Series C,2,23598000
Belgium (EU),New York (US),Series C,3,20754519
New York (US),The Netherlands (EU),Series C,1,3232000
Belgium (EU),California (US),Series D,1,12358017
Belgium (EU),France (EU),Series D,1,14829620
Belgium (EU),India (Else),Series D,1,12358017
California (US),France (EU),Series D,2,20842801
California (US),India (Else),Series D,2,11657202
France (EU),India (Else),Series D,2,20842801
Belgium (EU),Belgium (EU),Series D,1,9886414
France (EU),France (EU),Series D,6,34443088
Belgium (EU),France (EU),Series Unknown,1,12675572
Belgium (EU),The Netherlands (EU),Series Unknown,1,21125954
France (EU),The Netherlands (EU),Series Unknown,1,16900763
Belgium (EU),Belgium (EU),Series Unknown,3,18548715
The Netherlands (EU),The Netherlands (EU),Series Unknown,1,12675572
Norway (EU),Norway (EU),Seed,1,600000
Canada (Else),New York (US),Series A,2,10489000
Canada (Else),Canada (Else),Series A,8,76933333
California (US),Canada (Else),Series A,3,69362500
Canada (Else),South Carolina (US),Series A,1,2220000
Canada (Else),United Kingdom (EU),Series A,2,18000000
Canada (Else),Massachusetts (US),Series A,3,17355000
California (US),Canada (Else),Series B,12,171825000
California (US),California (US),Series B,197,2355160784
Canada (Else),Canada (Else),Series B,14,118386667
Canada (Else),Massachusetts (US),Series B,3,36800000
Canada (Else),Texas (US),Series B,2,11950000
Massachusetts (US),Texas (US),Series B,7,53783333
Canada (Else),Maryland (US),Series B,1,10000000
California (US),Canada (Else),Series C,6,60196494
California (US),New York (US),Series C,31,521896934
Canada (Else),New York (US),Series C,4,31389394
Canada (Else),Canada (Else),Series C,9,60551125
New York (US),New York (US),Series C,12,107161111
Canada (Else),Massachusetts (US),Series C,7,73081212
Canada (Else),Texas (US),Series C,1,8000000
California (US),Massachusetts (US),Series C,38,531279350
Massachusetts (US),New York (US),Series C,12,152449351
Australia (Else),Canada (Else),Series C,1,12220265
France (EU),France (EU),Series C,10,75704553
Canada (Else),Massachusetts (US),Series D,3,47904762
Canada (Else),Texas (US),Series D,1,20833333
Massachusetts (US),Texas (US),Series D,2,16190333
Canada (Else),Canada (Else),Series D,3,32366667
California (US),Canada (Else),Series D,4,51458571
California (US),South Korea (Else),Series D,1,8025000
California (US),Washington (US),Series D,4,67375000
Canada (Else),South Korea (Else),Series D,1,13375000
Canada (Else),Washington (US),Series D,2,23375000
