from,to,round,deals,value
California (US),Illinois (US),Seed,85,164284433
California (US),Ireland (EU),Seed,11,22648405
California (US),New York (US),Seed,495,1280572621
California (US),United Kingdom (EU),Seed,165,376505170
California (US),Washington (US),Seed,72,147710030
Illinois (US),Ireland (EU),Seed,2,5592281
Illinois (US),New York (US),Seed,55,92261539
Illinois (US),United Kingdom (EU),Seed,14,19741087
Illinois (US),Washington (US),Seed,4,9441558
Ireland (EU),New York (US),Seed,6,11670723
Ireland (EU),United Kingdom (EU),Seed,11,21008391
Ireland (EU),Washington (US),Seed,1,3714286
New York (US),United Kingdom (EU),Seed,96,198497098
New York (US),Washington (US),Seed,34,45660024
United Kingdom (EU),Washington (US),Seed,25,42720725
California (US),California (US),Seed,778,1772836690
El Salvador (Else),Mexico (Else),Convertible Note,1,500000
Chile (Else),Pennsylvania (US),Non Equity Assistance,1,25000
California (US),California (US),Post IPO Equity,12,2084552366
Argentina (Else),Argentina (Else),Pre Seed,1,100000
Argentina (Else),Chile (Else),Pre Seed,2,675000
Argentina (Else),Bolivia (Else),Seed,1,657143
Argentina (Else),Florida (US),Seed,2,1457143
Argentina (Else),New York (US),Seed,2,3932143
Argentina (Else),United Kingdom (EU),Seed,1,657143
Bolivia (Else),Florida (US),Seed,1,328571
Bolivia (Else),New York (US),Seed,1,328571
Bolivia (Else),United Kingdom (EU),Seed,1,328571
Florida (US),New York (US),Seed,48,74140671
Florida (US),United Kingdom (EU),Seed,8,8133640
Argentina (Else),Argentina (Else),Seed,4,2739524
Argentina (Else),Chile (Else),Seed,2,1050000
Argentina (Else),California (US),Seed,5,3840767
California (US),Florida (US),Seed,68,139830745
California (US),Mexico (Else),Seed,16,39096666
California (US),Spain (EU),Seed,20,30499796
Mexico (Else),New York (US),Seed,8,9917197
Mexico (Else),Spain (EU),Seed,5,5578112
New York (US),Spain (EU),Seed,12,27773721
Mexico (Else),Mexico (Else),Seed,13,14916552
Argentina (Else),Hong Kong (Else),Seed,1,333333
California (US),Hong Kong (Else),Seed,26,41448652
Brazil (Else),California (US),Series B,17,278950875
Brazil (Else),New York (US),Series B,15,263936291
Brazil (Else),South Carolina (US),Series B,1,13142857
California (US),New York (US),Series B,253,6744235047
California (US),South Carolina (US),Series B,2,39857143
New York (US),South Carolina (US),Series B,2,36571429
Brazil (Else),Brazil (Else),Series B,12,135399471
California (US),California (US),Series B,388,7344647507
Brazil (Else),California (US),Series C,9,339863716
Brazil (Else),China (Else),Series C,2,83333333
Brazil (Else),Japan (Else),Series C,5,173028571
Brazil (Else),New York (US),Series C,13,396977381
California (US),China (Else),Series C,32,1295289210
California (US),Japan (Else),Series C,29,903579423
California (US),New York (US),Series C,165,6998780348
China (Else),Japan (Else),Series C,10,675472626
China (Else),New York (US),Series C,16,1036128192
Japan (Else),New York (US),Series C,16,668523558
Brazil (Else),Brazil (Else),Series C,6,138675702
New York (US),New York (US),Series C,77,1707692848
District of Columbia (US),Massachusetts (US),Series C,2,15666667
District of Columbia (US),Washington (US),Series C,2,13761905
Massachusetts (US),Washington (US),Series C,6,96344444
Australia (Else),Australia (Else),Angel,2,8766172
Australia (Else),Virginia (US),Convertible Note,1,2109220
Australia (Else),Australia (Else),Convertible Note,1,1406147
Australia (Else),France (EU),Debt Financing,1,144563104
Australia (Else),Japan (Else),Debt Financing,1,96375402
Australia (Else),New York (US),Debt Financing,1,96375402
France (EU),Japan (Else),Debt Financing,1,144563104
France (EU),New York (US),Debt Financing,2,365896437
Japan (Else),New York (US),Debt Financing,2,156375402
France (EU),France (EU),Debt Financing,3,145036926
Australia (Else),Illinois (US),Debt Financing,1,225000000
Australia (Else),Australia (Else),Debt Financing,2,240956095
France (EU),Germany (EU),Debt Financing,2,278833333
Germany (EU),New York (US),Debt Financing,1,221333333
Australia (Else),South Korea (Else),Equity Crowdfunding,1,5303890
Australia (Else),Australia (Else),Grant,1,250000
Australia (Else),California (US),Grant,2,4715000
Cayman Islands (Else),Cayman Islands (Else),Grant,16,900000
Australia (Else),France (EU),Post IPO Debt,1,100000000
Australia (Else),South Africa (Else),Post IPO Debt,1,100000000
France (EU),South Africa (Else),Post IPO Debt,1,100000000
California (US),Maryland (US),Post IPO Debt,1,50000000
Australia (Else),New York (US),Post IPO Equity,2,12639451
Australia (Else),Australia (Else),Post IPO Equity,1,4616777
Australia (Else),Israel (Else),Post IPO Equity,1,5600000
Australia (Else),Hong Kong (Else),Pre Seed,27,5321667
Australia (Else),Australia (Else),Pre Seed,11,4541007
Australia (Else),United Kingdom (EU),Pre Seed,4,1771392
Australia (Else),California (US),Pre Seed,6,2512499
California (US),California (US),Pre Seed,147,100605071
Minnesota (US),Wisconsin (US),Pre Seed,1,100000
Australia (Else),Singapore (Else),Pre Seed,5,1344076
Australia (Else),Australia (Else),Private Equity,2,19000000
United Kingdom (EU),United Kingdom (EU),Private Equity,6,354055189
Australia (Else),Australia (Else),Seed,38,53605725
Australia (Else),Bermuda (Else),Seed,1,854590
Australia (Else),California (US),Seed,23,47614477
Australia (Else),New York (US),Seed,15,24144863
Australia (Else),United Kingdom (EU),Seed,8,14001665
Australia (Else),Germany (EU),Seed,2,6166667
Australia (Else),Indonesia (Else),Seed,1,535000
Australia (Else),South Africa (Else),Seed,1,2880000
California (US),South Africa (Else),Seed,2,2273333
Australia (Else),Denmark (EU),Seed,1,855244
Australia (Else),Greece (EU),Seed,1,985004
Greece (EU),United Kingdom (EU),Seed,2,922781
Australia (Else),Colorado (US),Seed,3,6621763
California (US),Colorado (US),Seed,60,120319026
Colorado (US),New York (US),Seed,39,59716723
California (US),Switzerland (EU),Seed,26,47993497
Australia (Else),Singapore (Else),Seed,11,6992547
Israel (Else),Lithuania (EU),Seed,2,9316667
Israel (Else),South Korea (Else),Seed,2,9316667
Lithuania (EU),South Korea (Else),Seed,2,6766667
Brazil (Else),California (US),Seed,41,122344647
Australia (Else),Cayman Islands (Else),Seed,3,7957143
Australia (Else),Brazil (Else),Seed,1,3500000
China (Else),Singapore (Else),Seed,18,67463649
China (Else),United Arab Emirates (Else),Seed,2,900000
Singapore (Else),United Arab Emirates (Else),Seed,8,12815112
Connecticut (US),New York (US),Seed,30,66784453
New York (US),New York (US),Seed,306,515849849
Illinois (US),Illinois (US),Seed,31,49787228
Australia (Else),Australia (Else),Series A,33,254380245
Australia (Else),Bermuda (Else),Series A,2,16999401
Australia (Else),Cayman Islands (Else),Series A,2,10666667
Australia (Else),South Africa (Else),Series A,2,16000000
Cayman Islands (Else),South Africa (Else),Series A,1,10000000
Australia (Else),Singapore (Else),Series A,4,16871429
Australia (Else),Pennsylvania (US),Series A,1,16481458
Australia (Else),Hong Kong (Else),Series A,12,117840948
Australia (Else),Colorado (US),Series A,2,8275000
Singapore (Else),Singapore (Else),Series A,35,244997467
Australia (Else),India (Else),Series A,3,16622612
Australia (Else),California (US),Series A,18,312645590
Australia (Else),Florida (US),Series A,2,9171429
Australia (Else),Virginia (US),Series A,3,16171429
California (US),Florida (US),Series A,45,543020010
California (US),Virginia (US),Series A,23,264215685
Florida (US),Virginia (US),Series A,5,13497489
New York (US),United Kingdom (EU),Series A,86,626162851
Colorado (US),New Zealand (Else),Series A,1,2900000
Colorado (US),Colorado (US),Series A,8,56804659
New Zealand (Else),New Zealand (Else),Series A,5,14333798
Australia (Else),Switzerland (EU),Series A,5,13983333
Hong Kong (Else),Switzerland (EU),Series A,3,16233333
Australia (Else),United Kingdom (EU),Series A,11,55652284
Hong Kong (Else),Hong Kong (Else),Series A,14,150717054
California (US),Hong Kong (Else),Series A,37,763078562
California (US),California (US),Series A,583,5735988820
Canada (Else),New York (US),Series A,30,227195771
Australia (Else),Canada (Else),Series B,2,85402669
Australia (Else),France (EU),Series B,3,99836002
Australia (Else),Illinois (US),Series B,2,85407431
Australia (Else),Massachusetts (US),Series B,5,211657431
Australia (Else),New York (US),Series B,12,301890288
Australia (Else),United Arab Emirates (Else),Series B,2,112169336
Canada (Else),France (EU),Series B,6,139236417
Canada (Else),Illinois (US),Series B,7,150400200
Canada (Else),Massachusetts (US),Series B,15,288101054
Canada (Else),New York (US),Series B,31,713770991
Canada (Else),United Arab Emirates (Else),Series B,1,78836002
France (EU),Illinois (US),Series B,3,110169336
France (EU),Massachusetts (US),Series B,10,215123239
France (EU),New York (US),Series B,22,328502031
France (EU),United Arab Emirates (Else),Series B,3,93419336
