from,to,round,deals,value
Australia (Else),Australia (Else),Seed,1,250000
California (US),Israel (Else),Series F,1,1666667
California (US),Singapore (Else),Series F,1,1666667
Israel (Else),Singapore (Else),Series F,1,1666667
Germany (EU),Massachusetts (US),Series C,4,51475561
Germany (EU),The Netherlands (EU),Series C,1,21428571
Germany (EU),United Kingdom (EU),Series C,3,54488823
Massachusetts (US),The Netherlands (EU),Series C,1,21428571
Massachusetts (US),United Kingdom (EU),Series C,8,95134336
The Netherlands (EU),United Kingdom (EU),Series C,1,21428571
Germany (EU),Germany (EU),Series C,2,19546294
Massachusetts (US),Massachusetts (US),Series C,17,150109392
United Kingdom (EU),United Kingdom (EU),Series C,5,50479984
Belgium (EU),California (US),Series B,4,41351816
Belgium (EU),United Kingdom (EU),Series B,2,19629887
California (US),United Kingdom (EU),Series B,15,186870363
California (US),California (US),Series C,80,1045477095
Belgium (EU),France (EU),Series Unknown,1,9361061
Belgium (EU),Spain (EU),Series Unknown,1,9361061
France (EU),Spain (EU),Series Unknown,1,9361061
Canada (Else),Canada (Else),Seed,1,2016717
California (US),Canada (Else),Series A,2,28511153
Canada (Else),Canada (Else),Series A,6,35160765
Canada (Else),Pennsylvania (US),Series A,1,800000
Canada (Else),Massachusetts (US),Series B,10,112563885
Canada (Else),United Kingdom (EU),Series B,1,32100000
Massachusetts (US),United Kingdom (EU),Series B,8,89313974
Canada (Else),Canada (Else),Series B,13,119770717
Canada (Else),New York (US),Series B,6,65925408
Canada (Else),France (EU),Series B,3,16502292
Arizona (US),Canada (Else),Series B,1,3000000
California (US),Canada (Else),Series C,3,36428571
California (US),Colorado (US),Series C,3,19471429
California (US),Nevada (US),Series C,1,3714286
Canada (Else),Colorado (US),Series C,2,12160714
Canada (Else),Nevada (US),Series C,1,7428571
Colorado (US),Nevada (US),Series C,1,5571429
Canada (Else),Canada (Else),Series C,4,35000000
Colorado (US),Colorado (US),Series C,3,10114286
Canada (Else),Massachusetts (US),Series C,4,54504762
