from,to,round,deals,value
Australia (Else),Australia (Else),Seed,1,150000
Australia (Else),Australia (Else),Series A,2,7330000
California (US),Illinois (US),Series B,22,239866666
California (US),Massachusetts (US),Series B,83,1000406576
Illinois (US),Massachusetts (US),Series B,10,108780952
California (US),California (US),Series B,233,2576990439
Australia (Else),California (US),Series Unknown,1,10000000
California (US),California (US),Series Unknown,62,527465458
Austria (EU),Austria (EU),Series A,1,7453060
Austria (EU),Germany (EU),Series Unknown,1,5910000
Austria (EU),Austria (EU),Series Unknown,1,3546000
Germany (EU),Germany (EU),Series Unknown,5,17789000
Belgium (EU),Belgium (EU),Seed,1,71171
Belgium (EU),Belgium (EU),Series A,3,33178286
California (US),United Kingdom (EU),Series A,19,197962324
United Kingdom (EU),United Kingdom (EU),Series A,10,58812219
Belgium (EU),California (US),Series A,1,36450929
Belgium (EU),France (EU),Series A,2,45287974
Belgium (EU),Luxembourg (EU),Series A,1,36450929
Belgium (EU),The Netherlands (EU),Series A,2,37950929
California (US),France (EU),Series A,4,43036029
California (US),Luxembourg (EU),Series A,6,46752131
California (US),The Netherlands (EU),Series A,3,36786725
France (EU),Luxembourg (EU),Series A,1,18225465
France (EU),The Netherlands (EU),Series A,2,35381317
Luxembourg (EU),The Netherlands (EU),Series A,1,18225465
Belgium (EU),District of Columbia (US),Series B,1,10000000
Belgium (EU),Belgium (EU),Series B,3,9420000
Belgium (EU),France (EU),Series B,3,27818182
Belgium (EU),Germany (EU),Series B,2,10002396
France (EU),Germany (EU),Series B,3,17950000
Belgium (EU),Luxembourg (EU),Series Unknown,1,2494607
Belgium (EU),Belgium (EU),Series Unknown,5,6366275
Belgium (EU),India (Else),Series Unknown,1,1509980
Belgium (EU),The Netherlands (EU),Series Unknown,2,16660312
India (Else),The Netherlands (EU),Series Unknown,1,1006654
Brazil (Else),Brazil (Else),Seed,1,300000
California (US),District of Columbia (US),Series Unknown,5,152666667
California (US),United Kingdom (EU),Series Unknown,20,360047454
District of Columbia (US),United Kingdom (EU),Series Unknown,2,136666667
Canada (Else),Canada (Else),Seed,3,4981911
Canada (Else),Canada (Else),Series A,14,81169486
Canada (Else),New Jersey (US),Series A,1,10875000
Canada (Else),New York (US),Series A,8,60905000
New Jersey (US),New York (US),Series A,1,7250000
Canada (Else),South Korea (Else),Series A,1,6000000
Canada (Else),Massachusetts (US),Series A,2,16304522
New York (US),New York (US),Series A,22,122685000
Canada (Else),China (Else),Series A,1,5500000
Canada (Else),India (Else),Series A,1,5500000
Canada (Else),Vietnam (Else),Series A,1,5500000
China (Else),India (Else),Series A,1,3666667
China (Else),New York (US),Series A,4,20666667
China (Else),Vietnam (Else),Series A,1,3666667
India (Else),New York (US),Series A,3,11166667
India (Else),Vietnam (Else),Series A,1,3666667
New York (US),Vietnam (Else),Series A,1,3666667
Australia (Else),Canada (Else),Series A,1,10910000
California (US),Massachusetts (US),Series A,45,391824033
California (US),Canada (Else),Series B,8,85014285
California (US),United Kingdom (EU),Series B,27,356524831
Canada (Else),United Kingdom (EU),Series B,3,65362793
Canada (Else),Canada (Else),Series B,13,127568023
Massachusetts (US),Massachusetts (US),Series B,33,275134762
California (US),Israel (Else),Series B,13,125064935
California (US),Singapore (Else),Series B,11,71785471
Canada (Else),Israel (Else),Series B,1,15000000
Canada (Else),Singapore (Else),Series B,1,15000000
Israel (Else),Singapore (Else),Series B,4,18174026
California (US),Florida (US),Series B,4,30950000
California (US),New York (US),Series B,60,888093991
California (US),Virginia (US),Series B,9,73367560
Canada (Else),Florida (US),Series B,2,22800000
Canada (Else),Massachusetts (US),Series B,5,49900000
Canada (Else),New York (US),Series B,5,72473977
Canada (Else),Virginia (US),Series B,2,26500000
Florida (US),Massachusetts (US),Series B,3,20444444
Florida (US),New York (US),Series B,5,39916667
Florida (US),Virginia (US),Series B,1,8000000
Massachusetts (US),New York (US),Series B,26,335440397
Massachusetts (US),Virginia (US),Series B,4,37250000
New York (US),Virginia (US),Series B,4,24825000
Australia (Else),Canada (Else),Series B,1,15400000
California (US),France (EU),Series B,10,119345563
Canada (Else),France (EU),Series B,1,7200000
Canada (Else),Illinois (US),Series B,1,7200000
France (EU),Illinois (US),Series B,2,6800000
Canada (Else),South Carolina (US),Series B,1,6183892
California (US),Colorado (US),Series B,12,154364285
California (US),Maryland (US),Series B,7,108094552
California (US),Switzerland (EU),Series B,8,109120902
Colorado (US),Maryland (US),Series B,1,50000000
Colorado (US),Switzerland (EU),Series B,2,37733333
Maryland (US),Switzerland (EU),Series B,1,50000000
Maryland (US),Maryland (US),Series B,4,41008333
New York (US),United Kingdom (EU),Series B,7,104722100
Canada (Else),India (Else),Series B,1,5333333
India (Else),New York (US),Series B,2,37133333
Massachusetts (US),Massachusetts (US),Series C,24,177187000
Massachusetts (US),United Kingdom (EU),Series C,9,102833333
California (US),Canada (Else),Series C,9,140128571
Canada (Else),Canada (Else),Series C,3,26992857
Canada (Else),France (EU),Series D,1,15000000
Canada (Else),Texas (US),Series D,1,15000000
France (EU),Texas (US),Series D,3,21550000
Canada (Else),Canada (Else),Series D,5,32933333
California (US),Canada (Else),Series D,7,101365606
California (US),Massachusetts (US),Series D,38,501654286
Canada (Else),Massachusetts (US),Series D,7,52193333
New York (US),The Netherlands (EU),Series D,3,43954922
California (US),Canada (Else),Series E,5,61068182
California (US),Washington (US),Series E,5,57962238
Canada (Else),Washington (US),Series E,1,12727273
California (US),California (US),Series E,31,299930376
Canada (Else),Canada (Else),Series E,2,52185455
Washington (US),Washington (US),Series E,3,29181818
Canada (Else),Massachusetts (US),Series E,1,53300000
California (US),Canada (Else),Series Unknown,7,24719913
California (US),Massachusetts (US),Series Unknown,18,167673111
California (US),South Korea (Else),Series Unknown,2,10714286
Canada (Else),Massachusetts (US),Series Unknown,5,40169481
Canada (Else),South Korea (Else),Series Unknown,1,8571429
Canada (Else),United Kingdom (EU),Series Unknown,2,20121429
Massachusetts (US),South Korea (Else),Series Unknown,1,8571429
Massachusetts (US),United Kingdom (EU),Series Unknown,5,36709762
South Korea (Else),United Kingdom (EU),Series Unknown,2,9047619
Canada (Else),Canada (Else),Series Unknown,14,70187184
Massachusetts (US),Massachusetts (US),Series Unknown,10,98142132
Colorado (US),Connecticut (US),Series Unknown,2,27000000
Sri Lanka (Else),Texas (US),Series Unknown,1,9600000
