from,to,round,deals,value
Brazil (Else),California (US),Series Unknown,1,1133333
Brazil (Else),United Kingdom (EU),Series Unknown,1,1133333
California (US),United Kingdom (EU),Series Unknown,19,245936067
Australia (Else),California (US),Angel,1,261990
Australia (Else),Australia (Else),Angel,1,209592
Australia (Else),Australia (Else),Series A,2,6400000
California (US),Singapore (Else),Series Unknown,4,21197500
Australia (Else),Australia (Else),Series Unknown,2,11599198
Austria (EU),Austria (EU),Series A,1,2977724
Germany (EU),Germany (EU),Series Unknown,7,23149536
Switzerland (EU),Texas (US),Series Unknown,1,13268935
Switzerland (EU),United Kingdom (EU),Series Unknown,4,33679412
Texas (US),United Kingdom (EU),Series Unknown,3,24221316
Switzerland (EU),Switzerland (EU),Series Unknown,2,63645956
United Kingdom (EU),United Kingdom (EU),Series Unknown,38,114773012
Belgium (EU),California (US),Angel,1,506938
Belgium (EU),Switzerland (EU),Angel,1,506938
California (US),Switzerland (EU),Angel,2,695948
Belgium (EU),Belgium (EU),Angel,1,380204
Belgium (EU),California (US),Seed,1,1673390
Belgium (EU),Belgium (EU),Series A,1,3998875
Belgium (EU),District of Columbia (US),Series B,1,3725938
Belgium (EU),Belgium (EU),Series B,3,14289673
Belgium (EU),New Jersey (US),Series B,1,5257143
Belgium (EU),The Netherlands (EU),Series B,1,6308571
New Jersey (US),The Netherlands (EU),Series B,1,3154286
The Netherlands (EU),The Netherlands (EU),Series B,1,2102857
Belgium (EU),Luxembourg (EU),Series B,1,6331969
Belgium (EU),Spain (EU),Series B,2,16617684
Luxembourg (EU),Spain (EU),Series B,1,6331969
Belgium (EU),Belgium (EU),Series C,1,4244200
France (EU),New York (US),Seed,3,1250790
Brazil (Else),Brazil (Else),Series A,4,4938532
New York (US),Sweden (EU),Series B,3,17350543
Brazil (Else),Brazil (Else),Series Unknown,1,1511000
California (US),Canada (Else),Seed,2,459822
Canada (Else),Canada (Else),Seed,3,4339405
Canada (Else),France (EU),Seed,1,656250
Canada (Else),New York (US),Seed,2,1256250
California (US),Canada (Else),Series A,2,25500000
California (US),California (US),Series A,120,710940303
Canada (Else),Canada (Else),Series A,7,51799133
California (US),Massachusetts (US),Series A,39,356968313
France (EU),The Netherlands (EU),Series A,2,22107500
France (EU),Virginia (US),Series A,1,5107500
The Netherlands (EU),Virginia (US),Series A,1,3405000
France (EU),France (EU),Series A,14,72820935
Canada (Else),United Kingdom (EU),Series A,1,13750000
Canada (Else),New York (US),Series B,3,29533332
Canada (Else),Canada (Else),Series B,4,20297853
Canada (Else),Israel (Else),Series B,2,13171429
Canada (Else),Singapore (Else),Series B,2,13171429
Israel (Else),Singapore (Else),Series B,3,13857143
California (US),Canada (Else),Series C,6,67585714
California (US),United Kingdom (EU),Series C,9,84588095
