from,to,round,deals,value
New York (US),Texas (US),Series A,15,265435000
New York (US),New York (US),Series A,41,442078175
Connecticut (US),New York (US),Series B,26,371034686
Connecticut (US),Spain (EU),Series B,1,15500000
Connecticut (US),Texas (US),Series B,10,128622619
New York (US),Spain (EU),Series B,2,80910000
New York (US),Texas (US),Series B,29,471218362
Spain (EU),Texas (US),Series B,1,15500000
New York (US),New York (US),Series B,82,1134257589
Massachusetts (US),New York (US),Series B,56,823225913
Massachusetts (US),Switzerland (EU),Series B,3,45600000
New York (US),Switzerland (EU),Series B,10,166006060
Connecticut (US),Connecticut (US),Series B,4,51333333
Bermuda (Else),Connecticut (US),Series B,1,10333333
Bermuda (Else),New York (US),Series B,2,70576667
Bermuda (Else),United Kingdom (EU),Series B,2,24593333
Connecticut (US),United Kingdom (EU),Series B,4,59166667
New York (US),United Kingdom (EU),Series B,21,314267358
New York (US),New York (US),Series Unknown,119,1937271594
California (US),Switzerland (EU),Series A,3,29139879
California (US),Texas (US),Series A,31,337913929
Switzerland (EU),Texas (US),Series A,2,11866667
California (US),Massachusetts (US),Series A,54,638081310
California (US),United Kingdom (EU),Series A,9,135619167
Massachusetts (US),United Kingdom (EU),Series A,6,44390094
California (US),California (US),Series A,126,1181281745
California (US),Maryland (US),Series B,13,183042857
California (US),New York (US),Series B,154,3251800792
California (US),Wyoming (US),Series B,1,2500000
Maryland (US),New York (US),Series B,5,71250000
Maryland (US),Wyoming (US),Series B,1,2500000
New York (US),Wyoming (US),Series B,1,2500000
Australia (Else),Hong Kong (Else),Series B,1,23341799
California (US),Florida (US),Series Unknown,15,225040260
California (US),Nevada (US),Series Unknown,3,45750000
California (US),New Jersey (US),Series Unknown,13,138016667
California (US),New York (US),Series Unknown,189,4236197799
California (US),Texas (US),Series Unknown,82,1369627475
Florida (US),Nevada (US),Series Unknown,1,16000000
Florida (US),New Jersey (US),Series Unknown,1,16000000
Florida (US),New York (US),Series Unknown,13,167188690
Florida (US),Texas (US),Series Unknown,6,77315152
Nevada (US),New Jersey (US),Series Unknown,1,16000000
Nevada (US),New York (US),Series Unknown,2,22175000
Nevada (US),Texas (US),Series Unknown,1,16000000
New Jersey (US),New York (US),Series Unknown,12,84866667
New Jersey (US),Texas (US),Series Unknown,4,32600000
New York (US),Texas (US),Series Unknown,63,970084834
California (US),California (US),Series Unknown,237,3778467556
Massachusetts (US),New York (US),Series Unknown,83,1307819387
Connecticut (US),New York (US),Series Unknown,54,900704260
Connecticut (US),Switzerland (EU),Series Unknown,9,75811111
New York (US),Switzerland (EU),Series Unknown,19,246884921
Australia (Else),California (US),Series Unknown,3,15508571
Australia (Else),Germany (EU),Series Unknown,1,6228571
Australia (Else),Illinois (US),Series Unknown,1,6228571
Australia (Else),Japan (Else),Series Unknown,1,6228571
Australia (Else),Massachusetts (US),Series Unknown,1,6228571
Australia (Else),Michigan (US),Series Unknown,2,8673016
California (US),Germany (EU),Series Unknown,17,301754762
California (US),Illinois (US),Series Unknown,51,879976227
California (US),Japan (Else),Series Unknown,33,638083571
California (US),Massachusetts (US),Series Unknown,118,1920785639
California (US),Michigan (US),Series Unknown,13,201578571
Germany (EU),Illinois (US),Series Unknown,5,45878571
Germany (EU),Japan (Else),Series Unknown,5,45395238
Germany (EU),Massachusetts (US),Series Unknown,9,89303571
Germany (EU),Michigan (US),Series Unknown,1,6228571
Illinois (US),Japan (Else),Series Unknown,8,123745238
Illinois (US),Massachusetts (US),Series Unknown,20,270756548
Illinois (US),Michigan (US),Series Unknown,4,29633333
Japan (Else),Massachusetts (US),Series Unknown,12,86158508
Japan (Else),Michigan (US),Series Unknown,1,6228571
Massachusetts (US),Michigan (US),Series Unknown,6,43301429
France (EU),United Kingdom (EU),Series A,4,29485112
Rhode Island (US),Virginia (US),Series A,1,23000000
Japan (Else),Texas (US),Series Unknown,10,81659524
Brazil (Else),New York (US),Series A,1,3000000
Brazil (Else),Brazil (Else),Series A,1,2000000
Bermuda (Else),France (EU),Series B,1,14260000
Bermuda (Else),Spain (EU),Series B,1,14260000
France (EU),New York (US),Series B,13,174902640
France (EU),Spain (EU),Series B,1,14260000
France (EU),United Kingdom (EU),Series B,7,85663340
Spain (EU),United Kingdom (EU),Series B,1,14260000
New York (US),Oklahoma (US),Series A,1,16000000
California (US),Washington (US),Angel,1,850000
Washington (US),Washington (US),Angel,1,566667
California (US),India (Else),Series A,4,28733333
California (US),Indiana (US),Series A,2,17666667
California (US),New York (US),Series A,72,970366111
India (Else),Indiana (US),Series A,1,2666667
India (Else),New York (US),Series A,2,16833333
Indiana (US),New York (US),Series A,2,15333333
California (US),Florida (US),Series A,16,132311905
Florida (US),Massachusetts (US),Series A,4,35857143
Florida (US),New York (US),Series A,8,48460714
Massachusetts (US),New York (US),Series A,23,435247619
Massachusetts (US),Massachusetts (US),Series A,24,184205714
California (US),Canada (Else),Series A,7,139666667
Canada (Else),Massachusetts (US),Series A,3,23840089
Canada (Else),Switzerland (EU),Series A,1,7317000
Canada (Else),Canada (Else),Series A,5,18366846
Switzerland (EU),Switzerland (EU),Series A,2,17658500
District of Columbia (US),New York (US),Series A,8,66471429
California (US),Florida (US),Series B,18,217565952
Florida (US),New York (US),Series B,10,123400000
Canada (Else),Massachusetts (US),Series B,5,71639286
Canada (Else),Canada (Else),Series B,6,66389319
Massachusetts (US),Massachusetts (US),Series B,36,481282381
California (US),Canada (Else),Series B,17,357226736
California (US),Massachusetts (US),Series B,86,1559847777
Canada (Else),New York (US),Series B,8,153008007
Canada (Else),Taiwan (Else),Series B,2,18260334
New York (US),Taiwan (Else),Series B,3,14748376
Hong Kong (Else),Washington (US),Series B,1,10000000
Hong Kong (Else),Hong Kong (Else),Series B,2,19166667
Canada (Else),Texas (US),Series B,7,121373755
Texas (US),Texas (US),Series B,26,267790043
Canada (Else),Tennessee (US),Series B,2,18014286
Canada (Else),United Kingdom (EU),Series B,4,53143428
Massachusetts (US),Tennessee (US),Series B,2,18014286
Massachusetts (US),United Kingdom (EU),Series B,15,189633333
Tennessee (US),United Kingdom (EU),Series B,1,12500000
California (US),Connecticut (US),Series B,42,774172348
California (US),Kentucky (US),Series B,1,16542857
California (US),Pennsylvania (US),Series B,17,290199928
California (US),Tennessee (US),Series B,2,40542857
California (US),Texas (US),Series B,58,1007188127
Canada (Else),Connecticut (US),Series B,4,105530952
Canada (Else),Kentucky (US),Series B,1,5514286
Canada (Else),Pennsylvania (US),Series B,1,5514286
Connecticut (US),Kentucky (US),Series B,1,5514286
Connecticut (US),Massachusetts (US),Series B,13,251389286
Connecticut (US),Pennsylvania (US),Series B,5,41320346
Connecticut (US),Tennessee (US),Series B,2,10514286
Kentucky (US),Massachusetts (US),Series B,1,5514286
Kentucky (US),New York (US),Series B,1,8271429
Kentucky (US),Pennsylvania (US),Series B,1,5514286
Kentucky (US),Tennessee (US),Series B,1,5514286
Kentucky (US),Texas (US),Series B,1,5514286
Massachusetts (US),Pennsylvania (US),Series B,6,41625397
Massachusetts (US),Texas (US),Series B,19,173018095
New York (US),Pennsylvania (US),Series B,14,127475757
New York (US),Tennessee (US),Series B,3,35871429
Pennsylvania (US),Tennessee (US),Series B,1,5514286
Pennsylvania (US),Texas (US),Series B,9,111904762
Tennessee (US),Texas (US),Series B,3,31094286
California (US),California (US),Series B,250,3822627158
California (US),Canada (Else),Series C,13,155080357
California (US),Germany (EU),Series C,10,219932695
California (US),Israel (Else),Series C,6,90737500
California (US),Maryland (US),Series C,16,354357846
California (US),Massachusetts (US),Series C,51,1099253028
California (US),New York (US),Series C,80,2133333552
California (US),Pennsylvania (US),Series C,17,402057440
California (US),Singapore (Else),Series C,5,173643056
California (US),United Kingdom (EU),Series C,14,234842767
California (US),Virginia (US),Series C,11,210266667
Canada (Else),Germany (EU),Series C,1,8125000
Canada (Else),Israel (Else),Series C,2,12625000
Canada (Else),Maryland (US),Series C,3,21025000
Canada (Else),Massachusetts (US),Series C,5,96979167
Canada (Else),New York (US),Series C,6,117770833
