from,to,round,deals,value
Argentina (Else),New Jersey (US),Angel,1,203333
Argentina (Else),New York (US),Angel,1,203333
New Jersey (US),New York (US),Angel,2,378333
Australia (Else),Australia (Else),Grant,1,80602
Argentina (Else),Italy (EU),Pre Seed,1,76667
Argentina (Else),Puerto Rico (Else),Pre Seed,1,76667
Italy (EU),Puerto Rico (Else),Pre Seed,1,76667
California (US),California (US),Seed,678,1139998002
Argentina (Else),Spain (EU),Seed,3,1445000
Argentina (Else),Argentina (Else),Seed,3,3476667
Argentina (Else),Tennessee (US),Seed,1,165000
Tennessee (US),Tennessee (US),Seed,8,2500833
California (US),Canada (Else),Seed,62,103951520
California (US),China (Else),Seed,43,88072060
California (US),Singapore (Else),Seed,45,59982029
California (US),The Netherlands (EU),Seed,9,9274244
California (US),United Arab Emirates (Else),Seed,15,22094995
Canada (Else),China (Else),Seed,3,3823636
Canada (Else),Singapore (Else),Seed,2,1333333
Canada (Else),The Netherlands (EU),Seed,3,2760495
Canada (Else),United Arab Emirates (Else),Seed,2,2214286
China (Else),Singapore (Else),Seed,6,5934730
China (Else),The Netherlands (EU),Seed,1,1000000
China (Else),United Arab Emirates (Else),Seed,3,2540000
Singapore (Else),The Netherlands (EU),Seed,3,2840000
Singapore (Else),United Arab Emirates (Else),Seed,3,3240000
The Netherlands (EU),United Arab Emirates (Else),Seed,2,2740000
United Arab Emirates (Else),United Arab Emirates (Else),Seed,17,16694571
District of Columbia (US),District of Columbia (US),Seed,8,14854090
Chile (Else),Norway (EU),Seed,1,150000
Argentina (Else),Brazil (Else),Series B,3,17937096
Argentina (Else),California (US),Series B,2,13900921
Argentina (Else),New York (US),Series B,3,13843779
Brazil (Else),California (US),Series B,10,104490776
Brazil (Else),New York (US),Series B,12,92099218
California (US),New York (US),Series B,189,4861520614
Argentina (Else),Argentina (Else),Series B,1,5714286
Brazil (Else),Brazil (Else),Series B,6,41519969
California (US),California (US),Series B,318,5414878542
District of Columbia (US),Massachusetts (US),Series B,6,28878095
District of Columbia (US),United Kingdom (EU),Series B,7,110101190
District of Columbia (US),Washington (US),Series B,7,80198338
Massachusetts (US),United Kingdom (EU),Series B,26,432973197
Massachusetts (US),Washington (US),Series B,7,74788889
United Kingdom (EU),Washington (US),Series B,5,73041667
District of Columbia (US),Germany (EU),Debt Financing,1,130000000
District of Columbia (US),The Netherlands (EU),Debt Financing,1,130000000
Germany (EU),The Netherlands (EU),Debt Financing,1,130000000
Cyprus (EU),New York (US),Series Unknown,1,2000000
Cyprus (EU),Texas (US),Series Unknown,1,2000000
New York (US),Texas (US),Series Unknown,7,48953862
Oregon (US),Oregon (US),Convertible Note,3,2067500
Bulgaria (EU),California (US),Initial Coin Offering,10,282375356
Bulgaria (EU),France (EU),Initial Coin Offering,1,9002461
Bulgaria (EU),Singapore (Else),Initial Coin Offering,6,81385794
Bulgaria (EU),Texas (US),Initial Coin Offering,3,24469128
California (US),France (EU),Initial Coin Offering,4,234037025
California (US),Singapore (Else),Initial Coin Offering,9,253037025
California (US),Texas (US),Initial Coin Offering,5,69537025
France (EU),Singapore (Else),Initial Coin Offering,3,65532461
France (EU),Texas (US),Initial Coin Offering,1,9002461
Singapore (Else),Texas (US),Initial Coin Offering,3,24469128
California (US),California (US),Initial Coin Offering,19,598719874
Australia (Else),Australia (Else),Post IPO Debt,1,260000000
Canada (Else),New York (US),Post IPO Equity,8,1119156230
Canada (Else),Canada (Else),Post IPO Equity,22,969863544
Canada (Else),Minnesota (US),Post IPO Equity,1,73823496
Canada (Else),United Kingdom (EU),Post IPO Equity,1,110735243
Minnesota (US),New York (US),Post IPO Equity,1,73823496
Minnesota (US),United Kingdom (EU),Post IPO Equity,1,110735243
New York (US),United Kingdom (EU),Post IPO Equity,5,787435243
United Kingdom (EU),United Kingdom (EU),Post IPO Equity,6,116283912
Australia (Else),Australia (Else),Pre Seed,7,438404
Australia (Else),Singapore (Else),Pre Seed,2,1088064
California (US),New York (US),Private Equity,9,983492806
Australia (Else),Australia (Else),Seed,40,127582504
Australia (Else),China (Else),Seed,4,4114444
Australia (Else),New York (US),Seed,12,12348632
Australia (Else),Colorado (US),Seed,3,673162
Australia (Else),Virginia (US),Seed,1,255932
Colorado (US),Virginia (US),Seed,2,486892
Virginia (US),Virginia (US),Seed,6,4976133
Australia (Else),California (US),Seed,23,33049242
Australia (Else),New Jersey (US),Seed,1,974556
Australia (Else),Singapore (Else),Seed,4,1974110
Australia (Else),United Kingdom (EU),Seed,6,4517544
Australia (Else),Washington (US),Seed,4,2080654
California (US),New Jersey (US),Seed,28,41733495
California (US),United Kingdom (EU),Seed,112,198028290
California (US),Washington (US),Seed,66,122654166
New Jersey (US),Singapore (Else),Seed,7,4401170
New Jersey (US),United Kingdom (EU),Seed,7,4959913
New Jersey (US),Washington (US),Seed,1,974556
Singapore (Else),United Kingdom (EU),Seed,2,4631699
Singapore (Else),Washington (US),Seed,4,2854973
United Kingdom (EU),Washington (US),Seed,17,16863946
Australia (Else),Hong Kong (Else),Seed,2,643179
Colorado (US),Hong Kong (Else),Seed,3,4786589
Colorado (US),United Kingdom (EU),Seed,5,3713524
Hong Kong (Else),United Kingdom (EU),Seed,5,6103256
Australia (Else),Florida (US),Seed,3,854253
California (US),Florida (US),Seed,59,107239004
Australia (Else),Germany (EU),Seed,6,5203458
Australia (Else),California (US),Series A,15,111771741
Australia (Else),Australia (Else),Series A,19,84294868
California (US),Germany (EU),Series A,52,377120602
California (US),United Kingdom (EU),Series A,95,771438054
Germany (EU),United Kingdom (EU),Series A,33,197552382
Australia (Else),China (Else),Series A,1,15229984
New York (US),Singapore (Else),Series A,22,124510282
Singapore (Else),Singapore (Else),Series A,21,99483445
Australia (Else),Singapore (Else),Series A,2,6425000
Australia (Else),Switzerland (EU),Series A,1,3250000
Singapore (Else),Switzerland (EU),Series A,4,14282171
Australia (Else),India (Else),Series A,1,1000000
Australia (Else),Luxembourg (EU),Series A,2,6632742
France (EU),United Kingdom (EU),Series A,18,144686700
Australia (Else),California (US),Series B,8,95917081
Australia (Else),Australia (Else),Series B,10,87641515
Australia (Else),Israel (Else),Series B,2,31548954
Arkansas (US),Australia (Else),Series B,1,3000000
Australia (Else),California (US),Series C,8,188090949
Australia (Else),Canada (Else),Series C,1,15228577
Australia (Else),India (Else),Series C,1,15228577
California (US),Canada (Else),Series C,15,866427287
California (US),India (Else),Series C,14,180013498
Canada (Else),India (Else),Series C,2,9009526
Australia (Else),Australia (Else),Series C,6,48147122
Australia (Else),China (Else),Series C,1,1557296
Australia (Else),Texas (US),Series C,2,23272727
California (US),Texas (US),Series C,24,543176335
California (US),California (US),Series C,185,4279896150
California (US),New York (US),Series F,8,843193651
California (US),California (US),Series F,14,760087302
Australia (Else),Australia (Else),Series Unknown,9,52620238
California (US),California (US),Series Unknown,117,1282918343
Australia (Else),California (US),Series Unknown,6,279147857
Australia (Else),South Africa (Else),Series Unknown,1,1100000
California (US),South Africa (Else),Series Unknown,1,6666667
California (US),United Arab Emirates (Else),Series Unknown,4,9300927
South Africa (Else),United Arab Emirates (Else),Series Unknown,1,6666667
Australia (Else),Cayman Islands (Else),Undisclosed,1,2500000
Austria (EU),Germany (EU),Angel,2,1862320
Austria (EU),Austria (EU),Angel,1,545430
Germany (EU),Germany (EU),Angel,6,1792027
Austria (EU),California (US),Angel,1,355857
Austria (EU),Germany (EU),Debt Financing,1,1293973
Austria (EU),Poland (EU),Debt Financing,1,1293973
Austria (EU),United Kingdom (EU),Debt Financing,1,1293973
Germany (EU),Poland (EU),Debt Financing,1,1293973
Germany (EU),United Kingdom (EU),Debt Financing,2,47960640
Poland (EU),United Kingdom (EU),Debt Financing,2,1901789393
Austria (EU),United Kingdom (EU),Grant,1,107691
New Jersey (US),United Kingdom (EU),Pre Seed,6,606397
Austria (EU),Germany (EU),Pre Seed,1,370442
Austria (EU),Austria (EU),Pre Seed,1,246961
Austria (EU),New York (US),Seed,2,1345238
Austria (EU),Philippines (Else),Seed,1,464286
Austria (EU),United Kingdom (EU),Seed,7,8314496
New York (US),Philippines (Else),Seed,1,371429
New York (US),United Kingdom (EU),Seed,70,115651552
Philippines (Else),United Kingdom (EU),Seed,1,371429
Austria (EU),Austria (EU),Seed,9,6514466
Philippines (Else),Philippines (Else),Seed,3,1795238
Austria (EU),Germany (EU),Seed,6,10182696
Austria (EU),Ireland (EU),Seed,1,1076220
Austria (EU),Portugal (EU),Seed,1,1076220
Austria (EU),United Arab Emirates (Else),Seed,1,1076220
Germany (EU),Ireland (EU),Seed,2,1432911
Germany (EU),Portugal (EU),Seed,2,2755488
Germany (EU),United Arab Emirates (Else),Seed,5,2890557
Ireland (EU),Portugal (EU),Seed,1,717480
Ireland (EU),United Arab Emirates (Else),Seed,1,717480
Portugal (EU),United Arab Emirates (Else),Seed,1,717480
Germany (EU),Germany (EU),Seed,55,105602038
Germany (EU),Luxembourg (EU),Seed,2,2747935
Austria (EU),Bulgaria (EU),Seed,2,2266667
Austria (EU),Switzerland (EU),Seed,2,3226667
