from,to,round,deals,value
Chile (Else),Spain (EU),Grant,5,351441
California (US),Spain (EU),Seed,12,6993407
Argentina (Else),Colombia (Else),Seed,1,100000
Argentina (Else),Canada (Else),Seed,1,25000
Argentina (Else),Florida (US),Seed,1,825000
Argentina (Else),United Kingdom (EU),Seed,3,1223214
Argentina (Else),Uruguay (Else),Seed,1,687500
Florida (US),United Kingdom (EU),Seed,4,1901076
Florida (US),Uruguay (Else),Seed,1,412500
United Kingdom (EU),Uruguay (Else),Seed,1,275000
Argentina (Else),Argentina (Else),Seed,2,816667
Florida (US),Florida (US),Seed,7,4302619
New York (US),Washington (US),Seed,25,9733106
Chile (Else),Spain (EU),Seed,4,595852
California (US),New York (US),Series A,125,630849284
California (US),California (US),Series A,264,1497622954
Argentina (Else),Brazil (Else),Series A,1,1280000
Argentina (Else),California (US),Series A,1,1920000
Argentina (Else),United Kingdom (EU),Series A,1,1280000
Brazil (Else),California (US),Series A,6,24212857
Brazil (Else),United Kingdom (EU),Series A,2,2072857
California (US),United Kingdom (EU),Series A,26,160365518
Chile (Else),Chile (Else),Series A,1,1000000
California (US),New York (US),Series B,82,981746866
Australia (Else),Australia (Else),Angel,6,2119805
Canada (Else),New York (US),Angel,1,2095000
Canada (Else),Canada (Else),Angel,4,3127159
Australia (Else),California (US),Angel,1,110000
Canada (Else),Canada (Else),Post IPO Equity,15,321612137
Australia (Else),India (Else),Pre Seed,1,443582
Australia (Else),Australia (Else),Pre Seed,2,321195
Australia (Else),California (US),Seed,5,4126667
Australia (Else),Australia (Else),Seed,13,3740141
Australia (Else),Singapore (Else),Seed,3,1219268
California (US),Washington (US),Seed,37,34305170
California (US),California (US),Seed,392,388263789
Australia (Else),France (EU),Seed,1,51618
California (US),Canada (Else),Seed,37,35074467
The Netherlands (EU),United Kingdom (EU),Seed,10,1476501
Australia (Else),California (US),Series A,6,25377500
Australia (Else),Mauritius (Else),Series A,1,2150000
Australia (Else),New York (US),Series A,3,5600000
California (US),Mauritius (Else),Series A,1,2150000
Mauritius (Else),New York (US),Series A,1,860000
Australia (Else),Australia (Else),Series A,6,14064266
Australia (Else),Israel (Else),Series A,1,1725000
Australia (Else),United Kingdom (EU),Series A,1,1725000
Israel (Else),United Kingdom (EU),Series A,1,1150000
Australia (Else),New Jersey (US),Series A,1,5227627
Australia (Else),California (US),Series B,4,25607143
Australia (Else),Florida (US),Series B,1,1250000
Australia (Else),Japan (Else),Series B,1,1250000
Australia (Else),Massachusetts (US),Series B,2,7821429
California (US),Florida (US),Series B,8,71708009
California (US),Japan (Else),Series B,10,84566667
California (US),Massachusetts (US),Series B,52,700054549
Florida (US),Japan (Else),Series B,1,833333
Florida (US),Massachusetts (US),Series B,2,3876190
Japan (Else),Massachusetts (US),Series B,2,3833333
Australia (Else),Australia (Else),Series B,2,8166667
Australia (Else),Singapore (Else),Series B,1,11000000
Australia (Else),Switzerland (EU),Series B,1,4142828
Australia (Else),Brazil (Else),Series C,1,12450000
Australia (Else),Australia (Else),Series C,1,8300000
Australia (Else),Australia (Else),Series Unknown,2,14428540
Austria (EU),Austria (EU),Angel,1,100000
Austria (EU),Austria (EU),Series A,1,1308928
Austria (EU),Wisconsin (US),Series Unknown,1,10976745
Belgium (EU),Luxembourg (EU),Private Equity,1,13002363
Belgium (EU),Belgium (EU),Seed,5,4580624
Belgium (EU),California (US),Seed,4,3808333
Belgium (EU),The Netherlands (EU),Seed,2,1693337
California (US),The Netherlands (EU),Seed,5,3548485
Belgium (EU),California (US),Series A,4,6716410
Belgium (EU),The Netherlands (EU),Series A,1,875162
California (US),The Netherlands (EU),Series A,3,13175162
France (EU),France (EU),Series A,17,62406005
Belgium (EU),Belgium (EU),Series A,4,13006442
California (US),Germany (EU),Series B,8,77808789
California (US),Ireland (EU),Series B,2,37621450
Germany (EU),Ireland (EU),Series B,1,20954783
Belgium (EU),California (US),Series C,1,4000000
Belgium (EU),Switzerland (EU),Series C,3,29031708
California (US),Switzerland (EU),Series C,3,25537478
Switzerland (EU),Switzerland (EU),Series C,3,17899828
Belgium (EU),Massachusetts (US),Series C,2,16374290
Belgium (EU),New Jersey (US),Series C,1,3417582
Belgium (EU),The Netherlands (EU),Series C,1,3417582
Massachusetts (US),New Jersey (US),Series C,5,37000366
Massachusetts (US),The Netherlands (EU),Series C,2,13811477
New Jersey (US),The Netherlands (EU),Series C,1,1367033
Belgium (EU),Belgium (EU),Series C,1,2734066
Belgium (EU),District of Columbia (US),Series Unknown,1,2940382
Belgium (EU),Luxembourg (EU),Series Unknown,2,6127882
Belgium (EU),The Netherlands (EU),Series Unknown,3,26479905
District of Columbia (US),Luxembourg (EU),Series Unknown,1,1960254
District of Columbia (US),The Netherlands (EU),Series Unknown,2,10293588
Luxembourg (EU),The Netherlands (EU),Series Unknown,1,1960254
Belgium (EU),Belgium (EU),Series Unknown,3,15058145
Belgium (EU),California (US),Series Unknown,7,43178295
Belgium (EU),Switzerland (EU),Series Unknown,3,25611111
California (US),Switzerland (EU),Series Unknown,8,118880082
Switzerland (EU),Switzerland (EU),Series Unknown,5,13242142
Belgium (EU),Germany (EU),Series Unknown,2,20587157
Brazil (Else),Croatia (EU),Angel,1,887637
Brazil (Else),Brazil (Else),Angel,1,591758
Brazil (Else),Mexico (Else),Angel,1,100000
Argentina (Else),Argentina (Else),Pre Seed,1,157293
Brazil (Else),California (US),Seed,2,1327778
Brazil (Else),New York (US),Seed,3,1317778
California (US),New York (US),Seed,225,243515364
Brazil (Else),Brazil (Else),Seed,1,488889
Chile (Else),Chile (Else),Seed,4,2026667
Brazil (Else),France (EU),Seed,1,40000
France (EU),New York (US),Seed,14,5011389
Brazil (Else),The Netherlands (EU),Seed,1,666667
New York (US),The Netherlands (EU),Seed,4,1993939
Brazil (Else),Malaysia (Else),Series A,1,792857
Brazil (Else),Monaco (Else),Series A,1,792857
Brazil (Else),New York (US),Series A,6,17722857
California (US),Malaysia (Else),Series A,1,2378571
California (US),Monaco (Else),Series A,1,2378571
Malaysia (Else),Monaco (Else),Series A,1,528571
Malaysia (Else),New York (US),Series A,1,528571
Malaysia (Else),United Kingdom (EU),Series A,1,528571
Monaco (Else),New York (US),Series A,1,528571
Monaco (Else),United Kingdom (EU),Series A,1,528571
New York (US),United Kingdom (EU),Series A,10,34009951
Brazil (Else),Brazil (Else),Series A,3,3776905
New York (US),New York (US),Series A,68,152787147
Brazil (Else),Florida (US),Series A,1,300000
Brazil (Else),Spain (EU),Series A,1,300000
California (US),Florida (US),Series A,11,54168869
California (US),Spain (EU),Series A,3,5018047
Florida (US),New York (US),Series A,9,25131342
Florida (US),Spain (EU),Series A,1,300000
New York (US),Spain (EU),Series A,3,2900000
California (US),California (US),Series B,166,1797600294
Brazil (Else),California (US),Series B,2,18333333
Brazil (Else),New York (US),Series B,1,3333333
Germany (EU),New York (US),Series B,4,60566667
