from,to,round,deals,value
Argentina (Else),Argentina (Else),Seed,4,2513333
Argentina (Else),Georgia (US),Seed,1,720000
Argentina (Else),Missouri (US),Seed,1,960000
Georgia (US),Missouri (US),Seed,2,850000
Missouri (US),Missouri (US),Seed,17,8258333
Argentina (Else),Florida (US),Seed,3,2641250
Argentina (Else),Uruguay (Else),Seed,1,1600000
Florida (US),Uruguay (Else),Seed,1,800000
Mexico (Else),Spain (EU),Seed,5,7209927
Mexico (Else),Uruguay (Else),Seed,1,263041
Spain (EU),Uruguay (Else),Seed,1,263041
Mexico (Else),Mexico (Else),Series A,5,11753956
New York (US),South Africa (Else),Series C,1,30000000
New York (US),New York (US),Series C,56,1132481828
Brazil (Else),Canada (Else),Series Unknown,1,31428571
Brazil (Else),France (EU),Series Unknown,1,47142857
Brazil (Else),The Netherlands (EU),Series Unknown,1,62857143
Canada (Else),France (EU),Series Unknown,2,55542857
Canada (Else),The Netherlands (EU),Series Unknown,3,79924485
France (EU),The Netherlands (EU),Series Unknown,1,78571429
France (EU),France (EU),Series Unknown,58,314897349
The Netherlands (EU),The Netherlands (EU),Series Unknown,3,56194296
District of Columbia (US),District of Columbia (US),Series Unknown,7,133435463
Australia (Else),Australia (Else),Angel,12,4183982
Australia (Else),California (US),Angel,4,938781
Australia (Else),United Kingdom (EU),Angel,2,399217
California (US),United Kingdom (EU),Angel,11,5353641
Australia (Else),Greece (EU),Angel,1,496549
California (US),California (US),Angel,40,20704288
Australia (Else),California (US),Corporate Round,1,205417
Australia (Else),Australia (Else),Grant,1,16117940
Australia (Else),District of Columbia (US),Post IPO Debt,1,162500000
Australia (Else),Australia (Else),Post IPO Equity,2,14162892
Australia (Else),Australia (Else),Pre Seed,2,95253
Australia (Else),California (US),Pre Seed,2,396000
California (US),California (US),Seed,679,924175092
Australia (Else),Canada (Else),Seed,4,1771246
Australia (Else),Australia (Else),Seed,47,18472889
Australia (Else),California (US),Seed,20,26628113
Australia (Else),South Africa (Else),Seed,1,324368
California (US),South Africa (Else),Seed,4,3412868
Australia (Else),Michigan (US),Seed,2,1844444
Australia (Else),Missouri (US),Seed,1,2000000
Nevada (US),Thailand (Else),Seed,1,503162
United Kingdom (EU),United Kingdom (EU),Seed,186,148121213
Australia (Else),California (US),Series A,15,63818789
Australia (Else),Washington (US),Series A,2,4500000
California (US),Washington (US),Series A,55,387593659
Australia (Else),Australia (Else),Series A,14,36604409
Australia (Else),Singapore (Else),Series A,3,7941973
Australia (Else),Germany (EU),Series A,5,35921828
Australia (Else),Massachusetts (US),Series A,6,43385714
California (US),Germany (EU),Series A,33,193581993
California (US),Massachusetts (US),Series A,103,855372356
Germany (EU),Massachusetts (US),Series A,1,2400000
California (US),South Africa (Else),Series A,2,9180000
Australia (Else),China (Else),Series A,1,5155809
Germany (EU),Germany (EU),Series A,38,155927646
Australia (Else),Connecticut (US),Series A,3,6053442
Australia (Else),New York (US),Series A,10,39348197
Australia (Else),Texas (US),Series A,3,7767727
California (US),Connecticut (US),Series A,26,305486091
California (US),New York (US),Series A,278,2385848760
California (US),Texas (US),Series A,45,299109738
Connecticut (US),Massachusetts (US),Series A,7,32284867
Connecticut (US),New York (US),Series A,20,179928083
Connecticut (US),Texas (US),Series A,4,10951061
Massachusetts (US),New York (US),Series A,70,435795354
Massachusetts (US),Texas (US),Series A,11,29615251
New York (US),Texas (US),Series A,26,95748816
California (US),California (US),Series A,470,3408444000
Australia (Else),Malaysia (Else),Series A,1,1427132
Australia (Else),District of Columbia (US),Series B,1,21051730
Australia (Else),Illinois (US),Series B,1,21051730
Australia (Else),Israel (Else),Series B,4,43627921
District of Columbia (US),Illinois (US),Series B,1,21051730
District of Columbia (US),Israel (Else),Series B,2,36051730
Illinois (US),Israel (Else),Series B,3,38640192
Australia (Else),Australia (Else),Series B,4,15903641
Australia (Else),New York (US),Series B,5,21348927
California (US),California (US),Series B,349,6265773246
Australia (Else),California (US),Series B,9,103573261
Australia (Else),Texas (US),Series B,3,5834783
California (US),Texas (US),Series B,32,478057484
Massachusetts (US),Wisconsin (US),Series B,1,10000000
Australia (Else),Massachusetts (US),Series B,2,28571429
Australia (Else),California (US),Series C,6,187381368
Australia (Else),Indiana (US),Series C,1,10000000
Australia (Else),Massachusetts (US),Series C,1,20000000
Australia (Else),Russian Federation (Else),Series C,1,10000000
California (US),Indiana (US),Series C,3,31475000
California (US),Massachusetts (US),Series C,79,2044710283
California (US),Russian Federation (Else),Series C,4,73965857
Indiana (US),Massachusetts (US),Series C,2,27200000
Indiana (US),Russian Federation (Else),Series C,1,10000000
Massachusetts (US),Russian Federation (Else),Series C,3,76415385
California (US),California (US),Series C,197,4383162912
Massachusetts (US),Massachusetts (US),Series C,32,388078399
Australia (Else),Australia (Else),Series C,2,5491613
Australia (Else),United Kingdom (EU),Series Unknown,2,16441704
Australia (Else),Singapore (Else),Series Unknown,1,948246
Australia (Else),Australia (Else),Series Unknown,6,73346159
California (US),California (US),Series Unknown,101,1045890050
California (US),Hong Kong (Else),Series Unknown,4,44781728
Australia (Else),Kenya (Else),Series Unknown,1,6000000
Australia (Else),Colorado (US),Series Unknown,1,1478491
Australia (Else),New York (US),Series Unknown,2,73385725
Cayman Islands (Else),United Kingdom (EU),Angel,1,604348
Austria (EU),Austria (EU),Grant,1,54141
Austria (EU),Germany (EU),Seed,2,1515769
Austria (EU),Austria (EU),Seed,5,2061271
Austria (EU),New York (US),Seed,2,1871429
Germany (EU),New York (US),Seed,31,20778702
Germany (EU),Germany (EU),Seed,52,49675864
Austria (EU),Germany (EU),Series A,1,4033496
Austria (EU),Cyprus (EU),Series A,1,4000000
Austria (EU),Austria (EU),Series A,1,2666667
California (US),Switzerland (EU),Series A,20,141681664
Germany (EU),Switzerland (EU),Series A,15,65680814
California (US),Florida (US),Series B,24,368614031
California (US),New York (US),Series B,191,4501077894
California (US),Switzerland (EU),Series B,19,372705092
California (US),United Kingdom (EU),Series B,47,680122911
Florida (US),New York (US),Series B,19,138698831
Florida (US),Switzerland (EU),Series B,1,40000000
Florida (US),Texas (US),Series B,5,40766834
Florida (US),United Kingdom (EU),Series B,3,44390338
New York (US),Switzerland (EU),Series B,13,218408108
New York (US),Texas (US),Series B,17,193362865
New York (US),United Kingdom (EU),Series B,29,376559591
