from,to,round,deals,value
Argentina (Else),California (US),Seed,2,696667
Argentina (Else),Peru (Else),Seed,1,230000
California (US),Peru (Else),Seed,3,868439
Argentina (Else),Florida (US),Seed,3,3634167
Argentina (Else),Uruguay (Else),Seed,1,150000
Argentina (Else),Chile (Else),Seed,3,608333
Argentina (Else),Texas (US),Seed,2,730000
Argentina (Else),Georgia (US),Seed,2,506667
Argentina (Else),Spain (EU),Seed,5,1211667
Georgia (US),Spain (EU),Seed,1,186667
Argentina (Else),United Kingdom (EU),Seed,2,850000
Argentina (Else),Argentina (Else),Seed,7,4051667
Argentina (Else),New York (US),Seed,3,870000
Brazil (Else),Chile (Else),Seed,8,1033333
Argentina (Else),New York (US),Series A,2,5750000
Argentina (Else),Argentina (Else),Series A,1,2000000
Brazil (Else),California (US),Series B,5,23703922
Brazil (Else),New York (US),Series B,7,37441883
Brazil (Else),United Kingdom (EU),Series B,3,12437256
California (US),New York (US),Series B,106,1234962884
California (US),United Kingdom (EU),Series B,34,477027316
New York (US),United Kingdom (EU),Series B,15,140680227
California (US),California (US),Series B,220,2666311537
New York (US),New York (US),Series B,42,212313937
Brazil (Else),Chile (Else),Series B,1,2100000
Brazil (Else),Washington (US),Series B,1,2100000
California (US),Chile (Else),Series B,1,2100000
California (US),Washington (US),Series B,12,115535714
Chile (Else),Washington (US),Series B,1,2100000
Argentina (Else),Chile (Else),Series Unknown,1,500000
Argentina (Else),Argentina (Else),Series Unknown,1,250000
Chile (Else),Chile (Else),Series Unknown,1,250000
Australia (Else),Australia (Else),Angel,3,4544147
Australia (Else),Israel (Else),Angel,1,1100000
Israel (Else),Israel (Else),Angel,2,933333
Australia (Else),Singapore (Else),Angel,1,1341221
Australia (Else),Malaysia (Else),Angel,1,1297947
California (US),New York (US),Post IPO Equity,8,462791653
Australia (Else),California (US),Post IPO Equity,1,1000000
Australia (Else),California (US),Pre Seed,1,20000
Australia (Else),Australia (Else),Pre Seed,3,229704
Australia (Else),California (US),Seed,19,39278808
Australia (Else),Greece (EU),Seed,2,2446857
Australia (Else),Massachusetts (US),Seed,4,7054563
Australia (Else),New York (US),Seed,4,6250000
California (US),Greece (EU),Seed,6,9018276
California (US),Massachusetts (US),Seed,97,117365683
California (US),New York (US),Seed,320,348575603
Greece (EU),Massachusetts (US),Seed,3,1440038
Greece (EU),New York (US),Seed,4,3431869
Massachusetts (US),New York (US),Seed,76,64520015
Australia (Else),Australia (Else),Seed,27,23183188
California (US),California (US),Seed,509,584994569
New York (US),New York (US),Seed,208,149017759
Australia (Else),Latvia (EU),Seed,1,265267
Latvia (EU),Latvia (EU),Seed,1,176845
Australia (Else),Switzerland (EU),Seed,3,1696895
Switzerland (EU),Switzerland (EU),Seed,9,7755924
Australia (Else),Singapore (Else),Seed,3,1290000
California (US),California (US),Series A,333,1934841482
Australia (Else),Australia (Else),Series A,4,9191003
Australia (Else),California (US),Series A,7,35156205
California (US),Israel (Else),Series A,21,128850350
Australia (Else),France (EU),Series B,1,7400000
Australia (Else),United Kingdom (EU),Series B,1,7400000
France (EU),United Kingdom (EU),Series B,4,34149585
Australia (Else),Australia (Else),Series B,2,15414771
Australia (Else),Indiana (US),Series B,1,7000000
Australia (Else),New Jersey (US),Series B,1,7000000
Australia (Else),Russian Federation (Else),Series B,1,7000000
Indiana (US),New Jersey (US),Series B,1,7000000
Indiana (US),Russian Federation (Else),Series B,1,7000000
New Jersey (US),Russian Federation (Else),Series B,1,7000000
California (US),California (US),Series D,82,1678088770
Australia (Else),Germany (EU),Series Unknown,2,5240020
Australia (Else),United Kingdom (EU),Series Unknown,3,11269306
Germany (EU),United Kingdom (EU),Series Unknown,7,20862596
Australia (Else),Australia (Else),Series Unknown,5,24447228
Australia (Else),New Zealand (Else),Series Unknown,1,3845189
New Zealand (Else),New Zealand (Else),Series Unknown,2,21076151
Belgium (EU),Massachusetts (US),Series Unknown,2,19359583
Belgium (EU),Sweden (EU),Series Unknown,1,17333333
Massachusetts (US),Sweden (EU),Series Unknown,1,17333333
