from,to,round,deals,value
Argentina (Else),California (US),Pre Seed,2,600000
Argentina (Else),Washington (US),Pre Seed,1,300000
California (US),Washington (US),Pre Seed,11,23565288
Argentina (Else),Argentina (Else),Pre Seed,1,200000
California (US),California (US),Pre Seed,78,145796092
Argentina (Else),California (US),Seed,4,4450275
Argentina (Else),Chile (Else),Seed,1,1125000
Argentina (Else),Colorado (US),Seed,1,900000
Argentina (Else),Delaware (US),Seed,1,900000
Argentina (Else),Mexico (Else),Seed,2,2267857
Argentina (Else),Switzerland (EU),Seed,2,12900000
California (US),Chile (Else),Seed,3,3150000
California (US),Colorado (US),Seed,13,47736984
California (US),Delaware (US),Seed,10,71969643
California (US),Mexico (Else),Seed,7,20215771
California (US),Switzerland (EU),Seed,18,138348006
Chile (Else),Colorado (US),Seed,1,675000
Chile (Else),Delaware (US),Seed,1,675000
Chile (Else),Mexico (Else),Seed,7,15725000
Chile (Else),Switzerland (EU),Seed,1,675000
Colorado (US),Delaware (US),Seed,1,450000
Colorado (US),Mexico (Else),Seed,1,675000
Colorado (US),Switzerland (EU),Seed,2,1307143
Delaware (US),Mexico (Else),Seed,1,675000
Delaware (US),Switzerland (EU),Seed,1,450000
Mexico (Else),Switzerland (EU),Seed,2,3875000
Argentina (Else),Argentina (Else),Seed,1,675000
California (US),California (US),Seed,393,4169499373
Chile (Else),Chile (Else),Seed,1,450000
Mexico (Else),Mexico (Else),Seed,6,9790476
Argentina (Else),Singapore (Else),Seed,1,857143
California (US),Singapore (Else),Seed,41,376281965
Mexico (Else),Singapore (Else),Seed,3,3928571
Singapore (Else),Singapore (Else),Seed,19,101902300
California (US),Connecticut (US),Seed,7,84753120
California (US),Florida (US),Seed,42,223757784
California (US),Illinois (US),Seed,37,275856538
California (US),Nevada (US),Seed,4,41783161
California (US),New York (US),Seed,248,2147671588
Connecticut (US),Florida (US),Seed,3,20665152
Connecticut (US),Illinois (US),Seed,2,4333333
Connecticut (US),Nevada (US),Seed,1,1333333
Connecticut (US),New York (US),Seed,7,63266260
Florida (US),Illinois (US),Seed,5,6515751
Florida (US),Nevada (US),Seed,1,1333333
Florida (US),New York (US),Seed,30,135747873
Illinois (US),Nevada (US),Seed,1,1333333
Illinois (US),New York (US),Seed,23,67747589
Nevada (US),New York (US),Seed,3,14789236
Argentina (Else),California (US),Series A,3,58341386
Argentina (Else),Chile (Else),Series A,1,2285714
Argentina (Else),Colombia (Else),Series A,2,5538255
Argentina (Else),New York (US),Series A,3,31368392
Argentina (Else),North Carolina (US),Series A,1,2285714
California (US),Chile (Else),Series A,2,7553571
California (US),Colombia (Else),Series A,3,25014445
California (US),New York (US),Series A,200,6951499298
California (US),North Carolina (US),Series A,11,187310683
Chile (Else),Colombia (Else),Series A,1,2285714
Chile (Else),New York (US),Series A,2,6410714
Chile (Else),North Carolina (US),Series A,1,2285714
Colombia (Else),New York (US),Series A,2,5538255
Colombia (Else),North Carolina (US),Series A,1,2285714
New York (US),North Carolina (US),Series A,7,80236560
California (US),California (US),Series A,302,8507238614
Brazil (Else),New York (US),Series B,4,63036369
Brazil (Else),Brazil (Else),Series B,2,63500000
New York (US),New York (US),Series B,62,7345644628
Brazil (Else),California (US),Series C,1,27500000
Brazil (Else),Illinois (US),Series C,1,20625000
Brazil (Else),New York (US),Series C,2,207946429
California (US),Illinois (US),Series C,15,2041642953
California (US),New York (US),Series C,65,5966930316
Illinois (US),New York (US),Series C,11,621512763
Brazil (Else),Brazil (Else),Series C,1,13750000
California (US),California (US),Series C,87,6154358883
New York (US),New York (US),Series C,35,2221239250
China (Else),Germany (EU),Series Unknown,3,205666667
China (Else),New York (US),Series Unknown,5,366742799
Germany (EU),New York (US),Series Unknown,6,218962454
New York (US),New York (US),Series Unknown,21,38249510771
Australia (Else),Australia (Else),Pre Seed,6,9013905
Australia (Else),Italy (EU),Pre Seed,2,910283
Australia (Else),Singapore (Else),Pre Seed,7,7393088
Italy (EU),Singapore (Else),Pre Seed,3,2032375
Singapore (Else),Singapore (Else),Pre Seed,4,6150742
Arkansas (US),Australia (Else),Pre Seed,1,712802
Arkansas (US),New York (US),Pre Seed,1,237600
Arkansas (US),New Zealand (Else),Pre Seed,1,475201
Arkansas (US),Singapore (Else),Pre Seed,1,237600
Arkansas (US),United States (US),Pre Seed,1,237600
Australia (Else),New York (US),Pre Seed,2,1141373
Australia (Else),New Zealand (Else),Pre Seed,1,950402
Australia (Else),United States (US),Pre Seed,1,712802
New York (US),New Zealand (Else),Pre Seed,2,1325201
New York (US),Singapore (Else),Pre Seed,4,3182839
New York (US),United States (US),Pre Seed,2,2037600
New Zealand (Else),Singapore (Else),Pre Seed,1,475201
New Zealand (Else),United States (US),Pre Seed,1,475201
Singapore (Else),United States (US),Pre Seed,1,237600
New Zealand (Else),New Zealand (Else),Pre Seed,3,1711382
Australia (Else),The Netherlands (EU),Pre Seed,1,1438760
Singapore (Else),The Netherlands (EU),Pre Seed,3,2989228
Australia (Else),California (US),Pre Seed,5,3156405
California (US),Singapore (Else),Pre Seed,11,22069245
Australia (Else),United Kingdom (EU),Pre Seed,4,5853786
United Arab Emirates (Else),United Arab Emirates (Else),Pre Seed,10,11537500
California (US),Germany (EU),Seed,51,414274542
California (US),Poland (EU),Seed,6,241198868
Germany (EU),Poland (EU),Seed,4,63768796
Australia (Else),California (US),Seed,16,113651830
Australia (Else),Cayman Islands (Else),Seed,2,4890909
California (US),Cayman Islands (Else),Seed,8,528032641
Australia (Else),Australia (Else),Seed,15,50873660
Australia (Else),France (EU),Seed,5,22786364
Australia (Else),District of Columbia (US),Seed,1,3057472
Australia (Else),Washington (US),Seed,4,6084493
District of Columbia (US),Washington (US),Seed,4,64713991
Australia (Else),Singapore (Else),Seed,2,5025000
Australia (Else),New York (US),Seed,8,19958414
