from,to,round,deals,value
California (US),China (Else),Series B,49,1730155842
California (US),Massachusetts (US),Series B,152,5034556308
California (US),New Hampshire (US),Series B,36,847366985
California (US),Texas (US),Series B,86,2343882314
California (US),United Kingdom (EU),Series B,159,5686271521
China (Else),Massachusetts (US),Series B,14,452351233
China (Else),New Hampshire (US),Series B,5,335205001
China (Else),Texas (US),Series B,3,103639344
China (Else),United Kingdom (EU),Series B,18,764970890
Massachusetts (US),New Hampshire (US),Series B,15,189628801
Massachusetts (US),Texas (US),Series B,15,278240586
Massachusetts (US),United Kingdom (EU),Series B,47,1045624732
New Hampshire (US),Texas (US),Series B,12,119149780
New Hampshire (US),United Kingdom (EU),Series B,10,125066259
Texas (US),United Kingdom (EU),Series B,19,343841851
California (US),California (US),Series B,535,14068708246
Argentina (Else),District of Columbia (US),Pre Seed,1,400000
Argentina (Else),Dominican Republic (Else),Pre Seed,2,1209333
Argentina (Else),Florida (US),Pre Seed,5,2426786
District of Columbia (US),Dominican Republic (Else),Pre Seed,1,400000
District of Columbia (US),Florida (US),Pre Seed,3,1137500
Dominican Republic (Else),Florida (US),Pre Seed,1,400000
Argentina (Else),Argentina (Else),Pre Seed,4,845833
Dominican Republic (Else),Dominican Republic (Else),Pre Seed,1,300000
Brazil (Else),California (US),Pre Seed,31,28975809
Brazil (Else),Germany (EU),Pre Seed,6,8449892
Brazil (Else),New York (US),Pre Seed,14,11566043
Brazil (Else),Washington (US),Pre Seed,4,1069779
California (US),Germany (EU),Pre Seed,77,102440442
California (US),New York (US),Pre Seed,318,327355675
California (US),Washington (US),Pre Seed,66,51286239
Germany (EU),New York (US),Pre Seed,50,44960953
Germany (EU),Washington (US),Pre Seed,9,6548879
New York (US),Washington (US),Pre Seed,34,17335265
California (US),California (US),Pre Seed,435,378118203
Germany (EU),Germany (EU),Pre Seed,99,107203844
New York (US),New York (US),Pre Seed,145,98026888
Argentina (Else),Ecuador (Else),Pre Seed,3,687222
New York (US),United Kingdom (EU),Pre Seed,86,75119163
California (US),New Jersey (US),Pre Seed,13,7708333
Argentina (Else),Brazil (Else),Seed,17,31988307
Argentina (Else),Mexico (Else),Seed,14,18835322
Argentina (Else),New York (US),Seed,32,56535313
Brazil (Else),Mexico (Else),Seed,17,34493189
Brazil (Else),New York (US),Seed,68,241154804
Mexico (Else),New York (US),Seed,41,60130974
Argentina (Else),Argentina (Else),Seed,13,20850102
New York (US),New York (US),Seed,830,1974342387
Argentina (Else),California (US),Seed,45,97470830
Argentina (Else),Chile (Else),Seed,6,7395238
Argentina (Else),Malaysia (Else),Seed,2,2507519
Argentina (Else),Missouri (US),Seed,3,3770575
Argentina (Else),Puerto Rico (Else),Seed,4,14472268
Argentina (Else),Singapore (Else),Seed,5,6751841
Argentina (Else),Texas (US),Seed,8,8880602
Argentina (Else),Ukraine (Else),Seed,1,1928571
Argentina (Else),United Kingdom (EU),Seed,11,16815786
Argentina (Else),Washington (US),Seed,8,8831271
Brazil (Else),California (US),Seed,93,368616991
Brazil (Else),Chile (Else),Seed,10,22706520
Brazil (Else),Malaysia (Else),Seed,1,428571
Brazil (Else),Missouri (US),Seed,3,2090582
Brazil (Else),Puerto Rico (Else),Seed,5,3536563
Brazil (Else),Singapore (Else),Seed,14,21003862
Brazil (Else),Texas (US),Seed,6,32212579
Brazil (Else),Ukraine (Else),Seed,1,428571
Brazil (Else),United Kingdom (EU),Seed,33,146443474
Brazil (Else),Washington (US),Seed,8,6265693
California (US),Chile (Else),Seed,21,38786282
California (US),Malaysia (Else),Seed,17,24688698
California (US),Missouri (US),Seed,34,79399198
California (US),New York (US),Seed,1392,5643420326
California (US),Puerto Rico (Else),Seed,64,136197387
California (US),Singapore (Else),Seed,397,1031766359
California (US),Texas (US),Seed,314,1352048146
California (US),Ukraine (Else),Seed,19,30229538
California (US),United Kingdom (EU),Seed,564,2055478455
California (US),Washington (US),Seed,189,571521815
Chile (Else),Malaysia (Else),Seed,1,428571
Chile (Else),Missouri (US),Seed,1,428571
Chile (Else),New York (US),Seed,15,22797454
Chile (Else),Puerto Rico (Else),Seed,2,1928571
Chile (Else),Singapore (Else),Seed,3,4136905
Chile (Else),Texas (US),Seed,4,2658571
Chile (Else),Ukraine (Else),Seed,1,428571
Chile (Else),United Kingdom (EU),Seed,3,3028571
Chile (Else),Washington (US),Seed,2,1008571
Malaysia (Else),Missouri (US),Seed,1,428571
Malaysia (Else),New York (US),Seed,16,21880987
Malaysia (Else),Puerto Rico (Else),Seed,2,984127
Malaysia (Else),Singapore (Else),Seed,21,40466757
Malaysia (Else),Texas (US),Seed,2,984127
Malaysia (Else),Ukraine (Else),Seed,1,428571
Malaysia (Else),United Kingdom (EU),Seed,12,15892371
Malaysia (Else),Washington (US),Seed,1,428571
Missouri (US),New York (US),Seed,25,47470641
Missouri (US),Puerto Rico (Else),Seed,1,428571
Missouri (US),Singapore (Else),Seed,3,4504752
Missouri (US),Texas (US),Seed,8,7513858
Missouri (US),Ukraine (Else),Seed,1,428571
Missouri (US),United Kingdom (EU),Seed,12,16825863
Missouri (US),Washington (US),Seed,4,3831990
New York (US),Puerto Rico (Else),Seed,52,106226000
New York (US),Singapore (Else),Seed,272,529556615
New York (US),Texas (US),Seed,215,719866333
New York (US),Ukraine (Else),Seed,14,20940316
New York (US),United Kingdom (EU),Seed,421,1216513549
New York (US),Washington (US),Seed,120,246793977
Puerto Rico (Else),Singapore (Else),Seed,34,42741664
Puerto Rico (Else),Texas (US),Seed,13,10167716
Puerto Rico (Else),Ukraine (Else),Seed,3,2208117
Puerto Rico (Else),United Kingdom (EU),Seed,29,46471767
Puerto Rico (Else),Washington (US),Seed,5,3220649
Singapore (Else),Texas (US),Seed,45,83376360
Singapore (Else),Ukraine (Else),Seed,15,15756999
Singapore (Else),United Kingdom (EU),Seed,185,301913276
Singapore (Else),Washington (US),Seed,29,33744625
Texas (US),Ukraine (Else),Seed,4,4092965
Texas (US),United Kingdom (EU),Seed,76,218657760
Texas (US),Washington (US),Seed,30,43124105
Ukraine (Else),United Kingdom (EU),Seed,14,21077382
Ukraine (Else),Washington (US),Seed,3,1783117
United Kingdom (EU),Washington (US),Seed,53,84269997
California (US),California (US),Seed,1720,5586574734
Argentina (Else),New Jersey (US),Seed,2,9405556
Brazil (Else),New Jersey (US),Seed,3,2602083
California (US),New Jersey (US),Seed,80,162215038
Brazil (Else),Uruguay (Else),Seed,6,15041472
California (US),Uruguay (Else),Seed,3,6301017
New York (US),Uruguay (Else),Seed,5,7946061
Brazil (Else),Brazil (Else),Seed,100,199387003
Argentina (Else),Florida (US),Seed,11,13818697
Brazil (Else),Florida (US),Seed,19,32277658
California (US),Florida (US),Seed,291,1108026793
Argentina (Else),Canada (Else),Seed,3,2153030
California (US),Canada (Else),Seed,262,840907121
Canada (Else),New York (US),Seed,191,462989885
Argentina (Else),Georgia (US),Seed,4,7482323
Argentina (Else),Spain (EU),Seed,6,9792857
California (US),Georgia (US),Seed,104,499076860
California (US),Spain (EU),Seed,57,124344494
Georgia (US),Spain (EU),Seed,7,13588091
Georgia (US),United Kingdom (EU),Seed,25,69324962
Spain (EU),United Kingdom (EU),Seed,44,81781523
Argentina (Else),Tennessee (US),Seed,1,1500000
California (US),Tennessee (US),Seed,43,114586537
Missouri (US),Tennessee (US),Seed,1,1000000
New York (US),Tennessee (US),Seed,32,52851465
Argentina (Else),Belgium (EU),Seed,1,2958152
Belgium (EU),New York (US),Seed,11,21181390
Argentina (Else),Illinois (US),Seed,4,4540404
Argentina (Else),Ohio (US),Seed,1,1000000
California (US),Illinois (US),Seed,236,683906279
California (US),Mexico (Else),Seed,56,120346839
California (US),Ohio (US),Seed,33,107455197
Illinois (US),Mexico (Else),Seed,8,8034615
Illinois (US),New York (US),Seed,174,329515532
Illinois (US),Ohio (US),Seed,9,34067774
Mexico (Else),Ohio (US),Seed,2,4000000
New York (US),Ohio (US),Seed,22,32470700
Argentina (Else),Vermont (US),Seed,2,1111111
California (US),Vermont (US),Seed,83,285192994
Florida (US),New York (US),Seed,241,688534685
Florida (US),Spain (EU),Seed,9,33949239
Florida (US),Vermont (US),Seed,15,26378526
New York (US),Spain (EU),Seed,33,65329735
New York (US),Vermont (US),Seed,64,172428935
Spain (EU),Vermont (US),Seed,4,2480606
Florida (US),Florida (US),Seed,64,98980288
Spain (EU),Spain (EU),Seed,67,102210267
Argentina (Else),Brazil (Else),Series A,8,79499168
Argentina (Else),California (US),Series A,17,143139184
Argentina (Else),Chile (Else),Series A,3,9427941
Argentina (Else),District of Columbia (US),Series A,2,2532692
Argentina (Else),Florida (US),Series A,3,7875000
Argentina (Else),Mexico (Else),Series A,3,12580214
Argentina (Else),New York (US),Series A,12,66373260
Argentina (Else),Spain (EU),Series A,6,16420249
Argentina (Else),United States (US),Series A,2,2532692
Argentina (Else),Uruguay (Else),Series A,1,2500000
Brazil (Else),California (US),Series A,64,657366104
Brazil (Else),Chile (Else),Series A,6,41966036
Brazil (Else),District of Columbia (US),Series A,6,14955241
Brazil (Else),Florida (US),Series A,8,45902172
Brazil (Else),Mexico (Else),Series A,5,24989480
Brazil (Else),New York (US),Series A,49,390084071
Brazil (Else),Spain (EU),Series A,11,53010991
Brazil (Else),United States (US),Series A,4,5228081
Brazil (Else),Uruguay (Else),Series A,1,1875000
California (US),Chile (Else),Series A,11,82366083
California (US),District of Columbia (US),Series A,55,589017152
California (US),Florida (US),Series A,163,1779422063
California (US),Mexico (Else),Series A,24,320322053
California (US),New York (US),Series A,829,12603484145
California (US),Spain (EU),Series A,30,236089498
California (US),United States (US),Series A,40,434749187
California (US),Uruguay (Else),Series A,1,2500000
Chile (Else),District of Columbia (US),Series A,1,1875000
Chile (Else),Florida (US),Series A,2,18446429
Chile (Else),Mexico (Else),Series A,3,14852941
Chile (Else),New York (US),Series A,7,32140686
Chile (Else),Spain (EU),Series A,2,4227941
Chile (Else),United States (US),Series A,1,1875000
Chile (Else),Uruguay (Else),Series A,1,2500000
District of Columbia (US),Florida (US),Series A,5,24527778
District of Columbia (US),Mexico (Else),Series A,2,4625000
District of Columbia (US),New York (US),Series A,48,316312209
District of Columbia (US),Spain (EU),Series A,3,60541799
District of Columbia (US),United States (US),Series A,5,11330228
District of Columbia (US),Uruguay (Else),Series A,1,1875000
Florida (US),Mexico (Else),Series A,2,24097222
Florida (US),New York (US),Series A,135,1206897506
Florida (US),Spain (EU),Series A,10,84763962
Florida (US),United States (US),Series A,11,35281546
Florida (US),Uruguay (Else),Series A,1,1875000
Mexico (Else),New York (US),Series A,20,186129137
Mexico (Else),Spain (EU),Series A,3,8046123
Mexico (Else),United States (US),Series A,2,3875000
Mexico (Else),Uruguay (Else),Series A,1,2500000
New York (US),Spain (EU),Series A,31,267408093
New York (US),United States (US),Series A,30,184347682
New York (US),Uruguay (Else),Series A,1,1875000
Spain (EU),United States (US),Series A,4,9604899
Spain (EU),Uruguay (Else),Series A,1,1875000
United States (US),Uruguay (Else),Series A,1,1875000
Argentina (Else),Argentina (Else),Series A,5,18686519
California (US),California (US),Series A,1044,11819868938
Chile (Else),Chile (Else),Series A,7,23414286
Mexico (Else),Mexico (Else),Series A,7,48325758
Uruguay (Else),Uruguay (Else),Series A,1,1250000
Argentina (Else),Cayman Islands (Else),Series A,1,9266667
Argentina (Else),Illinois (US),Series A,2,12600000
California (US),Cayman Islands (Else),Series A,19,146792952
California (US),Illinois (US),Series A,187,2111629537
Cayman Islands (Else),Illinois (US),Series A,5,18263355
Cayman Islands (Else),New York (US),Series A,17,142743964
Illinois (US),New York (US),Series A,149,1427149671
Argentina (Else),Canada (Else),Series A,4,11729350
Argentina (Else),Paraguay (Else),Series A,1,3846154
Argentina (Else),United Kingdom (EU),Series A,2,17179487
Brazil (Else),Canada (Else),Series A,4,14006883
Brazil (Else),Paraguay (Else),Series A,1,1538462
Brazil (Else),United Kingdom (EU),Series A,13,82904964
California (US),Canada (Else),Series A,125,1208524334
California (US),Paraguay (Else),Series A,3,14621795
California (US),United Kingdom (EU),Series A,307,3489137474
Canada (Else),New York (US),Series A,93,768588147
Canada (Else),Paraguay (Else),Series A,2,6538462
Canada (Else),Spain (EU),Series A,8,22123948
Canada (Else),United Kingdom (EU),Series A,46,300046380
New York (US),Paraguay (Else),Series A,3,12891026
New York (US),United Kingdom (EU),Series A,217,2447709329
Paraguay (Else),Spain (EU),Series A,1,2307692
Paraguay (Else),United Kingdom (EU),Series A,1,1538462
Spain (EU),United Kingdom (EU),Series A,26,144851493
