from,to,round,deals,value
Argentina (Else),California (US),Series A,1,2150000
Argentina (Else),New York (US),Series A,1,2150000
Argentina (Else),Spain (EU),Series A,1,2150000
California (US),New York (US),Series A,52,242041643
California (US),Spain (EU),Series A,2,5650000
New York (US),Spain (EU),Series A,2,3650000
Australia (Else),Australia (Else),Series A,8,63739343
Australia (Else),Missouri (US),Series A,2,7560000
California (US),California (US),Series B,186,2154894488
Germany (EU),Portugal (EU),Angel,1,483333
Germany (EU),The Netherlands (EU),Angel,1,483333
Portugal (EU),The Netherlands (EU),Angel,1,483333
Belgium (EU),The Netherlands (EU),Series A,2,11785912
Belgium (EU),Belgium (EU),Series A,2,10020836
Germany (EU),Ireland (EU),Series A,1,9283241
Belgium (EU),France (EU),Series B,3,38319543
Belgium (EU),Belgium (EU),Series B,1,1033333
Belgium (EU),Belgium (EU),Series C,1,2441883
Belgium (EU),United Kingdom (EU),Series Unknown,1,5472521
Belgium (EU),Belgium (EU),Series Unknown,4,19195000
District of Columbia (US),Luxembourg (EU),Series Unknown,1,3140000
District of Columbia (US),The Netherlands (EU),Series Unknown,1,3140000
Luxembourg (EU),The Netherlands (EU),Series Unknown,1,3140000
Belgium (EU),The Netherlands (EU),Series Unknown,2,21380000
Belgium (EU),France (EU),Series Unknown,3,19134658
France (EU),France (EU),Series Unknown,19,93010719
Brazil (Else),Brazil (Else),Seed,1,50000
Brazil (Else),Brazil (Else),Series A,3,3887233
Brazil (Else),Brazil (Else),Series Unknown,1,1111000
Canada (Else),Canada (Else),Angel,1,1900000
California (US),Wyoming (US),Seed,2,2300000
California (US),California (US),Seed,27,20558284
Canada (Else),Canada (Else),Seed,5,5905636
Massachusetts (US),New York (US),Series A,13,109866667
Massachusetts (US),Massachusetts (US),Series A,23,190039714
Canada (Else),Israel (Else),Series A,2,9250000
Canada (Else),Singapore (Else),Series A,2,9250000
Israel (Else),Singapore (Else),Series A,7,22447857
Canada (Else),Canada (Else),Series A,7,23161672
Canada (Else),New York (US),Series A,3,6233333
Canada (Else),Florida (US),Series A,1,1517570
Canada (Else),Massachusetts (US),Series A,2,17000000
Illinois (US),Virginia (US),Series A,1,5000000
Canada (Else),Japan (Else),Series A,2,9500000
Israel (Else),Japan (Else),Series A,1,2000000
Japan (Else),Singapore (Else),Series A,1,2000000
California (US),Canada (Else),Series B,8,103733333
California (US),Massachusetts (US),Series B,60,712302762
California (US),Switzerland (EU),Series B,3,38166667
Canada (Else),Massachusetts (US),Series B,4,45833333
Canada (Else),Switzerland (EU),Series B,2,25100000
Massachusetts (US),Switzerland (EU),Series B,3,46500000
Canada (Else),Canada (Else),Series B,11,216246318
Canada (Else),New York (US),Series B,4,44757635
Arizona (US),Canada (Else),Series B,1,11250000
