from,to,round,deals,value
Germany (EU),United Kingdom (EU),Private Equity,3,136862538
Missouri (US),Switzerland (EU),Convertible Note,1,1200000
Missouri (US),Missouri (US),Convertible Note,1,1000000
Argentina (Else),Chile (Else),Pre Seed,1,200000
Argentina (Else),Lao People's Democratic Republic (Else),Pre Seed,1,300000
Argentina (Else),District of Columbia (US),Private Equity,1,50000000
Argentina (Else),Texas (US),Private Equity,1,50000000
Argentina (Else),The Netherlands (EU),Private Equity,1,50000000
District of Columbia (US),Texas (US),Private Equity,1,50000000
District of Columbia (US),The Netherlands (EU),Private Equity,1,50000000
Texas (US),The Netherlands (EU),Private Equity,1,50000000
China (Else),Connecticut (US),Seed,5,2173333
China (Else),United Kingdom (EU),Seed,6,9610899
Connecticut (US),United Kingdom (EU),Seed,4,2574561
Chile (Else),Spain (EU),Seed,3,1765000
Spain (EU),Spain (EU),Seed,42,25129601
Argentina (Else),Australia (Else),Seed,1,1333333
Argentina (Else),Bulgaria (EU),Seed,1,1333333
Australia (Else),Bulgaria (EU),Seed,1,1333333
California (US),Illinois (US),Series B,44,709346350
California (US),Mexico (Else),Series B,4,53722820
California (US),New York (US),Series B,159,2758887812
California (US),Singapore (Else),Series B,27,345101244
Illinois (US),Mexico (Else),Series B,1,6400000
Illinois (US),New York (US),Series B,27,258538528
Illinois (US),Singapore (Else),Series B,2,11400000
Mexico (Else),New York (US),Series B,3,22498910
Mexico (Else),Singapore (Else),Series B,1,6400000
New York (US),Singapore (Else),Series B,9,77793939
District of Columbia (US),Washington (US),Series B,2,13000000
Argentina (Else),Australia (Else),Series B,1,1666667
Argentina (Else),Bulgaria (EU),Series B,1,1666667
Australia (Else),Bulgaria (EU),Series B,1,1666667
Australia (Else),United Kingdom (EU),Angel,2,2161948
Australia (Else),Australia (Else),Angel,5,801440
Australia (Else),California (US),Debt Financing,1,3000000
New Zealand (Else),United Arab Emirates (Else),Post IPO Debt,1,283333333
New Zealand (Else),United Kingdom (EU),Post IPO Debt,1,283333333
United Arab Emirates (Else),United Kingdom (EU),Post IPO Debt,1,283333333
Australia (Else),Canada (Else),Post IPO Equity,2,21906667
Australia (Else),Nevada (US),Pre Seed,1,791685
Australia (Else),Australia (Else),Pre Seed,4,573578
Australia (Else),New Zealand (Else),Pre Seed,1,372834
New Zealand (Else),New Zealand (Else),Pre Seed,2,576338
California (US),India (Else),Seed,48,53299076
Australia (Else),Australia (Else),Seed,52,32524668
Australia (Else),Germany (EU),Seed,1,80000
Australia (Else),New York (US),Seed,12,13081328
Germany (EU),New York (US),Seed,30,33297903
Australia (Else),United Arab Emirates (Else),Seed,1,2703793
Australia (Else),California (US),Seed,28,39580965
Australia (Else),Switzerland (EU),Seed,2,1446817
California (US),Switzerland (EU),Seed,18,24304580
Switzerland (EU),Switzerland (EU),Seed,20,27580626
Australia (Else),Maryland (US),Seed,1,1654732
Australia (Else),Singapore (Else),Seed,5,4505562
Australia (Else),Spain (EU),Seed,1,1654732
California (US),Maryland (US),Seed,18,22465300
California (US),Singapore (Else),Seed,46,56820457
California (US),Spain (EU),Seed,14,12995887
Maryland (US),Singapore (Else),Seed,1,661893
Maryland (US),Spain (EU),Seed,1,661893
Singapore (Else),Spain (EU),Seed,2,725028
California (US),California (US),Seed,660,1050809876
California (US),United Kingdom (EU),Seed,96,141456300
Australia (Else),Luxembourg (EU),Seed,2,2300000
Australia (Else),Thailand (Else),Seed,2,2373333
Luxembourg (EU),Thailand (Else),Seed,1,2250000
Thailand (Else),Thailand (Else),Seed,3,4315000
California (US),New Jersey (US),Seed,32,41998359
Australia (Else),Jersey (Else),Seed,1,589937
Australia (Else),South Carolina (US),Seed,1,300000
Australia (Else),United Kingdom (EU),Seed,6,7751287
Australia (Else),North Carolina (US),Seed,2,2240917
