from,to,round,deals,value
California (US),New York (US),Series B,65,1224401176
California (US),Pennsylvania (US),Series B,12,155447619
New York (US),Pennsylvania (US),Series B,8,68616667
Florida (US),Switzerland (EU),Series Unknown,1,5000000
Australia (Else),Australia (Else),Seed,1,11500000
Australia (Else),New York (US),Series C,2,12450000
California (US),Connecticut (US),Series B,14,326991667
California (US),California (US),Series B,111,1654000552
France (EU),The Netherlands (EU),Series B,1,10800000
Belgium (EU),Belgium (EU),Series B,1,1794321
Canada (Else),Massachusetts (US),Series B,8,198705357
Canada (Else),New York (US),Series B,10,277442857
Canada (Else),North Carolina (US),Series B,3,63892857
Massachusetts (US),New York (US),Series B,25,447964589
Massachusetts (US),North Carolina (US),Series B,4,86392857
New York (US),North Carolina (US),Series B,5,89172857
California (US),Canada (Else),Series A,4,34416667
Canada (Else),Canada (Else),Series A,7,42366667
California (US),Massachusetts (US),Series B,55,842221878
California (US),Texas (US),Series B,20,329768038
Massachusetts (US),Texas (US),Series B,6,56229900
Canada (Else),Canada (Else),Series B,8,59316667
California (US),Canada (Else),Series B,14,249284524
California (US),Japan (Else),Series B,13,253196429
Canada (Else),Japan (Else),Series B,1,11333333
California (US),Israel (Else),Series B,14,162595238
California (US),Singapore (Else),Series B,8,93802028
California (US),United Kingdom (EU),Series B,21,278714665
Canada (Else),Israel (Else),Series B,2,9166667
Canada (Else),Singapore (Else),Series B,1,7500000
Canada (Else),United Kingdom (EU),Series B,3,21016667
Israel (Else),Singapore (Else),Series B,3,37380952
Israel (Else),United Kingdom (EU),Series B,4,23283333
Singapore (Else),United Kingdom (EU),Series B,4,62709469
Massachusetts (US),Massachusetts (US),Series B,28,341497173
California (US),Mississippi (US),Series B,5,112107143
California (US),Virginia (US),Series B,11,262604762
Mississippi (US),Virginia (US),Series B,2,35842857
Canada (Else),Virginia (US),Series B,1,20000000
Massachusetts (US),Virginia (US),Series B,4,51000000
New York (US),Virginia (US),Series B,2,27500000
California (US),Canada (Else),Series C,10,205378788
California (US),Poland (EU),Series C,1,10000000
Canada (Else),Poland (EU),Series C,1,13333333
California (US),California (US),Series C,69,1155365511
Canada (Else),Canada (Else),Series C,3,34674242
New York (US),New York (US),Series C,14,203970482
California (US),France (EU),Series C,8,119003247
California (US),New York (US),Series C,41,962306989
Canada (Else),France (EU),Series C,1,21818182
Canada (Else),New York (US),Series C,5,82193182
France (EU),New York (US),Series C,2,19204545
Canada (Else),Texas (US),Series C,2,26000000
Texas (US),Texas (US),Series C,4,28783333
Canada (Else),Connecticut (US),Series Unknown,4,33700000
Canada (Else),Canada (Else),Series Unknown,8,84978193
California (US),Ohio (US),Series Unknown,2,22800000
California (US),Washington (US),Series Unknown,9,74950000
Ohio (US),Washington (US),Series Unknown,1,1000000
California (US),California (US),Series Unknown,59,899298730
Canada (Else),Switzerland (EU),Series Unknown,1,11000000
Canada (Else),The Netherlands (EU),Series Unknown,1,11000000
Switzerland (EU),The Netherlands (EU),Series Unknown,2,22000000
Sweden (EU),Switzerland (EU),Series Unknown,1,11000000
Sweden (EU),The Netherlands (EU),Series Unknown,1,11000000
California (US),Canada (Else),Series Unknown,12,150165657
California (US),Connecticut (US),Series Unknown,11,178900000
California (US),Florida (US),Series Unknown,4,36404545
California (US),Massachusetts (US),Series Unknown,27,401703468
California (US),Texas (US),Series Unknown,11,116329697
Canada (Else),Florida (US),Series Unknown,3,37454545
Canada (Else),Massachusetts (US),Series Unknown,10,118042436
Canada (Else),Texas (US),Series Unknown,1,12500000
Connecticut (US),Florida (US),Series Unknown,1,6250000
Connecticut (US),Massachusetts (US),Series Unknown,2,13250000
Connecticut (US),Texas (US),Series Unknown,6,60000000
Florida (US),Massachusetts (US),Series Unknown,2,13704545
Florida (US),Texas (US),Series Unknown,1,6250000
Massachusetts (US),Texas (US),Series Unknown,4,31350000
California (US),Denmark (EU),Series Unknown,1,18000000
California (US),New York (US),Series Unknown,36,511848456
Canada (Else),Denmark (EU),Series Unknown,1,27000000
Canada (Else),New York (US),Series Unknown,11,132959596
Denmark (EU),New York (US),Series Unknown,1,18000000
Canada (Else),China (Else),Series Unknown,1,48703832
