from,to,round,deals,value
Australia (Else),California (US),Series A,2,4900000
Australia (Else),Mississippi (US),Series A,1,4500000
California (US),Mississippi (US),Series A,2,15200000
Australia (Else),Australia (Else),Series A,3,8764057
Australia (Else),Australia (Else),Series Unknown,1,2200000
Australia (Else),Kenya (Else),Series Unknown,2,4981827
Austria (EU),Germany (EU),Series A,1,8000000
Austria (EU),Austria (EU),Series A,1,5333333
Massachusetts (US),United Kingdom (EU),Series C,13,104289840
Colorado (US),Massachusetts (US),Series Unknown,5,48727381
Colorado (US),New York (US),Series Unknown,3,21392424
Massachusetts (US),New York (US),Series Unknown,20,177691667
Canada (Else),Canada (Else),Angel,1,1500000
California (US),Switzerland (EU),Series A,4,37090054
California (US),Canada (Else),Series A,4,27333333
Canada (Else),Canada (Else),Series A,14,79578649
Canada (Else),Massachusetts (US),Series A,2,11666667
California (US),Massachusetts (US),Series A,31,290814667
Canada (Else),United Kingdom (EU),Series A,2,13006681
Australia (Else),Canada (Else),Series A,1,15550000
Canada (Else),Washington (US),Series A,2,12333333
Massachusetts (US),New York (US),Series B,18,164263613
Massachusetts (US),Massachusetts (US),Series B,32,258561037
Canada (Else),New York (US),Series B,8,83586374
Canada (Else),France (EU),Series B,3,26311565
Canada (Else),New Jersey (US),Series B,3,25866667
Canada (Else),United Kingdom (EU),Series B,4,42883333
France (EU),New Jersey (US),Series B,1,1833333
France (EU),United Kingdom (EU),Series B,4,28738665
New Jersey (US),United Kingdom (EU),Series B,2,8583333
Canada (Else),Canada (Else),Series B,13,88042314
Canada (Else),Massachusetts (US),Series B,7,85623866
Canada (Else),Norway (EU),Series B,1,7431429
Canada (Else),Texas (US),Series B,4,23681429
Norway (EU),Texas (US),Series B,1,2477143
Arizona (US),Canada (Else),Series B,1,2609016
California (US),Canada (Else),Series B,8,71643846
Massachusetts (US),United Kingdom (EU),Series B,12,144393058
California (US),Canada (Else),Series C,11,279039286
California (US),Florida (US),Series C,4,57291667
California (US),New York (US),Series C,27,308034019
California (US),South Korea (Else),Series C,2,11866667
Canada (Else),Florida (US),Series C,1,10000000
Canada (Else),New York (US),Series C,4,33985714
Canada (Else),South Korea (Else),Series C,1,10000000
Florida (US),New York (US),Series C,2,21666667
Florida (US),South Korea (Else),Series C,1,6666667
New York (US),South Korea (Else),Series C,2,9266667
Canada (Else),Canada (Else),Series C,7,99273810
Canada (Else),North Carolina (US),Series C,2,34900000
California (US),United Kingdom (EU),Series C,14,142282221
Canada (Else),United Kingdom (EU),Series C,1,36000000
California (US),California (US),Series C,118,1326769826
