from,to,round,deals,value
Algeria (Else),United Arab Emirates (Else),Series A,1,5000000
Austria (EU),France (EU),Seed,9,25075691
Austria (EU),Japan (Else),Seed,1,1727774
Austria (EU),New York (US),Seed,13,26091556
France (EU),Japan (Else),Seed,3,3338885
France (EU),New York (US),Seed,50,209133135
Japan (Else),New York (US),Seed,14,22406382
Argentina (Else),Brazil (Else),Angel,1,100000
Argentina (Else),Argentina (Else),Angel,1,66667
Argentina (Else),Israel (Else),Pre Seed,1,840000
Argentina (Else),New York (US),Pre Seed,3,2086364
Argentina (Else),Singapore (Else),Pre Seed,2,1140000
Israel (Else),New York (US),Pre Seed,6,7413810
Israel (Else),Singapore (Else),Pre Seed,2,1060000
New York (US),Singapore (Else),Pre Seed,20,23104166
Argentina (Else),Argentina (Else),Pre Seed,4,2193333
Argentina (Else),Delaware (US),Pre Seed,1,750000
Argentina (Else),Paraguay (Else),Pre Seed,1,750000
Delaware (US),Paraguay (Else),Pre Seed,1,500000
Argentina (Else),Brazil (Else),Seed,6,17313428
Argentina (Else),Qatar (Else),Seed,1,916667
Argentina (Else),Spain (EU),Seed,2,1583333
Brazil (Else),Qatar (Else),Seed,1,1833333
Brazil (Else),Spain (EU),Seed,3,7287875
Qatar (Else),Spain (EU),Seed,1,916667
Brazil (Else),Brazil (Else),Seed,34,77015412
Argentina (Else),Australia (Else),Seed,1,294480
Argentina (Else),Belgium (EU),Seed,1,294480
Argentina (Else),Florida (US),Seed,4,5502210
Australia (Else),Belgium (EU),Seed,1,147240
Australia (Else),Florida (US),Seed,6,6639973
Belgium (EU),Florida (US),Seed,3,37710876
Argentina (Else),Argentina (Else),Seed,6,5307527
Argentina (Else),California (US),Seed,9,17121932
Argentina (Else),Romania (EU),Seed,1,1420000
California (US),Florida (US),Seed,119,918778131
California (US),Romania (EU),Seed,3,3553333
Florida (US),Romania (EU),Seed,1,946667
California (US),California (US),Seed,1034,7557905587
California (US),New York (US),Seed,658,6405300622
California (US),United Kingdom (EU),Seed,286,1310077680
Florida (US),New York (US),Seed,81,493306947
Florida (US),United Kingdom (EU),Seed,40,160274260
New York (US),United Kingdom (EU),Seed,186,691786017
New York (US),New York (US),Seed,332,1492938941
United Kingdom (EU),United Kingdom (EU),Seed,218,657281749
Argentina (Else),New York (US),Seed,6,7559357
Argentina (Else),Brazil (Else),Series A,4,25214453
Argentina (Else),California (US),Series A,4,49205129
Argentina (Else),Mexico (Else),Series A,1,7614453
Argentina (Else),New Jersey (US),Series A,1,7614453
Argentina (Else),Washington (US),Series A,1,7614453
Brazil (Else),California (US),Series A,24,376720323
Brazil (Else),Mexico (Else),Series A,1,5076302
Brazil (Else),New Jersey (US),Series A,1,5076302
Brazil (Else),Washington (US),Series A,5,20523921
California (US),Mexico (Else),Series A,7,32673995
California (US),New Jersey (US),Series A,26,574880959
California (US),Washington (US),Series A,75,989157526
Mexico (Else),New Jersey (US),Series A,2,12176302
Mexico (Else),Washington (US),Series A,1,5076302
New Jersey (US),Washington (US),Series A,3,23201302
Argentina (Else),Argentina (Else),Series A,2,6255302
California (US),California (US),Series A,725,12322192242
Argentina (Else),Connecticut (US),Series B,1,4444444
Argentina (Else),Florida (US),Series B,1,4444444
Argentina (Else),Illinois (US),Series B,1,4444444
Argentina (Else),Massachusetts (US),Series B,1,4444444
Argentina (Else),New Hampshire (US),Series B,1,4444444
Argentina (Else),New York (US),Series B,2,14238095
Argentina (Else),United Kingdom (EU),Series B,3,17015873
Connecticut (US),Florida (US),Series B,3,19444444
Connecticut (US),Illinois (US),Series B,6,305341834
Connecticut (US),Massachusetts (US),Series B,10,407750104
Connecticut (US),New Hampshire (US),Series B,2,12777778
Connecticut (US),New York (US),Series B,15,731839968
Connecticut (US),United Kingdom (EU),Series B,1,4444444
Florida (US),Illinois (US),Series B,5,62267888
Florida (US),Massachusetts (US),Series B,16,247698810
Florida (US),New Hampshire (US),Series B,6,73497475
Florida (US),New York (US),Series B,24,913350075
Florida (US),United Kingdom (EU),Series B,10,231687302
Illinois (US),Massachusetts (US),Series B,17,783671551
Illinois (US),New Hampshire (US),Series B,5,165928889
Illinois (US),New York (US),Series B,39,1587416525
Illinois (US),United Kingdom (EU),Series B,7,243902943
Massachusetts (US),New Hampshire (US),Series B,12,159627212
Massachusetts (US),New York (US),Series B,71,2299452628
Massachusetts (US),United Kingdom (EU),Series B,28,927653314
New Hampshire (US),New York (US),Series B,22,539281863
New Hampshire (US),United Kingdom (EU),Series B,8,113225654
New York (US),United Kingdom (EU),Series B,73,2149295920
New York (US),New York (US),Series B,125,3786911415
Argentina (Else),Mexico (Else),Series Unknown,4,5958889
Brazil (Else),California (US),Series Unknown,15,9801820934
Brazil (Else),Chile (Else),Series Unknown,1,6666667
Brazil (Else),Delaware (US),Series Unknown,2,9688889
Brazil (Else),Massachusetts (US),Series Unknown,4,2132952047
Brazil (Else),Peru (Else),Series Unknown,1,6666667
California (US),Chile (Else),Series Unknown,2,7900000
California (US),Delaware (US),Series Unknown,6,26231746
California (US),Massachusetts (US),Series Unknown,46,11960221504
California (US),Peru (Else),Series Unknown,1,6666667
Chile (Else),Delaware (US),Series Unknown,1,6666667
Chile (Else),Massachusetts (US),Series Unknown,2,8627226
Chile (Else),Peru (Else),Series Unknown,1,6666667
Delaware (US),Massachusetts (US),Series Unknown,4,22998413
Delaware (US),Peru (Else),Series Unknown,1,6666667
Massachusetts (US),Peru (Else),Series Unknown,1,6666667
California (US),Georgia (US),Series Unknown,8,142809437
California (US),Texas (US),Series Unknown,31,9859902581
California (US),United Kingdom (EU),Series Unknown,57,16134222434
Georgia (US),Texas (US),Series Unknown,5,97736667
Georgia (US),United Kingdom (EU),Series Unknown,6,127574435
Texas (US),United Kingdom (EU),Series Unknown,10,1461726425
Australia (Else),Australia (Else),Angel,1,1485914
Australia (Else),Singapore (Else),Pre Seed,9,7968939
Australia (Else),Australia (Else),Pre Seed,23,18114158
Singapore (Else),Singapore (Else),Pre Seed,19,26350271
Australia (Else),Iceland (EU),Pre Seed,1,1500000
Australia (Else),United Kingdom (EU),Pre Seed,10,11334366
Iceland (EU),United Kingdom (EU),Pre Seed,1,1000000
Australia (Else),California (US),Pre Seed,12,11351877
Australia (Else),Nevada (US),Pre Seed,1,750000
California (US),Nevada (US),Pre Seed,3,2415385
Australia (Else),Texas (US),Pre Seed,2,1099605
Australia (Else),Germany (EU),Pre Seed,1,1900000
Australia (Else),Massachusetts (US),Pre Seed,1,1900000
Germany (EU),Massachusetts (US),Pre Seed,5,7919800
Germany (EU),Singapore (Else),Pre Seed,11,8922833
Massachusetts (US),Singapore (Else),Pre Seed,7,12030946
California (US),United Kingdom (EU),Pre Seed,93,172126600
California (US),California (US),Pre Seed,276,343135741
Australia (Else),Hong Kong (Else),Pre Seed,1,1097788
Hong Kong (Else),Singapore (Else),Pre Seed,3,2964455
Hong Kong (Else),United Kingdom (EU),Pre Seed,7,6710639
Singapore (Else),United Kingdom (EU),Pre Seed,17,20974201
Hong Kong (Else),Hong Kong (Else),Pre Seed,2,4509637
Australia (Else),United Arab Emirates (Else),Pre Seed,1,216374
Singapore (Else),United Arab Emirates (Else),Pre Seed,7,3412954
California (US),Colorado (US),Seed,50,190149003
California (US),Texas (US),Seed,147,755655183
California (US),Vermont (US),Seed,27,82334137
California (US),Washington (US),Seed,109,1230746435
Colorado (US),Texas (US),Seed,10,15759286
Colorado (US),Vermont (US),Seed,2,2008010
Colorado (US),Washington (US),Seed,8,14741801
Texas (US),Vermont (US),Seed,6,9983492
Texas (US),Washington (US),Seed,16,84341459
Vermont (US),Washington (US),Seed,3,3216667
Australia (Else),Singapore (Else),Seed,14,30422150
Australia (Else),Australia (Else),Seed,45,108888370
Australia (Else),South Korea (Else),Seed,4,4192222
Australia (Else),California (US),Seed,36,148170805
Australia (Else),New Zealand (Else),Seed,11,41464010
Australia (Else),Virginia (US),Seed,3,12057121
New Zealand (Else),Virginia (US),Seed,1,2266667
Australia (Else),United Kingdom (EU),Seed,19,63789786
Australia (Else),Washington (US),Seed,2,2057491
Hong Kong (Else),Singapore (Else),Seed,33,83918522
Hong Kong (Else),United Kingdom (EU),Seed,28,59760480
Singapore (Else),United Kingdom (EU),Seed,72,204376594
California (US),Hong Kong (Else),Seed,40,258197611
California (US),New Zealand (Else),Seed,5,11596528
California (US),Switzerland (EU),Seed,53,136174539
Hong Kong (Else),New York (US),Seed,25,92998109
Hong Kong (Else),New Zealand (Else),Seed,2,1512500
Hong Kong (Else),Switzerland (EU),Seed,6,8895226
New York (US),New Zealand (Else),Seed,4,6370833
New York (US),Switzerland (EU),Seed,35,72868544
New Zealand (Else),Switzerland (EU),Seed,2,1607508
Cayman Islands (Else),France (EU),Seed,3,29059524
Cayman Islands (Else),Israel (Else),Seed,2,1912088
Cayman Islands (Else),Singapore (Else),Seed,21,69101794
Cayman Islands (Else),South Korea (Else),Seed,4,4602540
Cayman Islands (Else),United Arab Emirates (Else),Seed,12,13977326
France (EU),Israel (Else),Seed,4,15340000
France (EU),Singapore (Else),Seed,10,24299454
France (EU),South Korea (Else),Seed,3,7920635
France (EU),United Arab Emirates (Else),Seed,8,17439872
Israel (Else),Singapore (Else),Seed,4,18637363
Israel (Else),South Korea (Else),Seed,1,1142857
Israel (Else),United Arab Emirates (Else),Seed,5,8569231
Singapore (Else),South Korea (Else),Seed,11,18490616
Singapore (Else),United Arab Emirates (Else),Seed,29,46392321
South Korea (Else),United Arab Emirates (Else),Seed,8,11302540
Singapore (Else),Singapore (Else),Seed,60,113393282
Australia (Else),Texas (US),Seed,11,21885450
Australia (Else),Indonesia (Else),Seed,1,628571
Indonesia (Else),Singapore (Else),Seed,7,13720189
Indonesia (Else),United Kingdom (EU),Seed,3,3514286
California (US),Singapore (Else),Seed,122,525885771
Australia (Else),United Arab Emirates (Else),Seed,3,2643333
Australia (Else),Canada (Else),Seed,5,11660569
Australia (Else),India (Else),Seed,4,8015133
Australia (Else),Wisconsin (US),Seed,1,1019981
India (Else),New Zealand (Else),Seed,1,509990
India (Else),Wisconsin (US),Seed,1,509990
New Zealand (Else),Wisconsin (US),Seed,1,509990
Australia (Else),United States (US),Seed,3,4002946
United States (US),Washington (US),Seed,5,30864908
Australia (Else),The Netherlands (EU),Seed,2,7068115
India (Else),The Netherlands (EU),Seed,3,8080000
Singapore (Else),Virginia (US),Seed,4,15255212
New Zealand (Else),United Kingdom (EU),Seed,4,3297930
Australia (Else),Chile (Else),Seed,2,2702739
Australia (Else),Philippines (Else),Seed,1,1858841
Chile (Else),Philippines (Else),Seed,1,929420
Australia (Else),Pennsylvania (US),Seed,3,3980806
California (US),Canada (Else),Seed,165,868818758
California (US),Cayman Islands (Else),Seed,25,363743607
California (US),United States (US),Seed,44,366750753
Canada (Else),Cayman Islands (Else),Seed,6,30498918
Canada (Else),New York (US),Seed,95,284919142
Canada (Else),United Kingdom (EU),Seed,42,108468541
Canada (Else),United States (US),Seed,10,37121298
Cayman Islands (Else),New York (US),Seed,20,142990070
Cayman Islands (Else),United Kingdom (EU),Seed,21,114554225
Cayman Islands (Else),United States (US),Seed,5,29160573
New York (US),United States (US),Seed,33,109837435
United Kingdom (EU),United States (US),Seed,18,25863279
California (US),Germany (EU),Seed,153,605046792
California (US),Nevada (US),Seed,16,52294337
Canada (Else),Germany (EU),Seed,19,31974012
Canada (Else),Nevada (US),Seed,4,3401399
Cayman Islands (Else),Germany (EU),Seed,8,8695957
Cayman Islands (Else),Nevada (US),Seed,1,581818
Germany (EU),Nevada (US),Seed,4,6053011
Germany (EU),United Kingdom (EU),Seed,111,374006846
Germany (EU),United States (US),Seed,10,18454308
Nevada (US),United Kingdom (EU),Seed,5,7717907
Nevada (US),United States (US),Seed,2,2218182
Canada (Else),Canada (Else),Seed,64,149546105
Chile (Else),New Zealand (Else),Seed,1,562598
Australia (Else),Massachusetts (US),Seed,4,12300500
India (Else),Massachusetts (US),Seed,11,25272170
New Zealand (Else),New Zealand (Else),Seed,7,9319196
California (US),Japan (Else),Seed,43,185658540
California (US),Virginia (US),Seed,48,250916715
Japan (Else),Virginia (US),Seed,1,5800000
New York (US),Virginia (US),Seed,25,143363013
Australia (Else),United Kingdom (EU),Series A,11,102269544
Australia (Else),Australia (Else),Series A,24,199942394
Australia (Else),Singapore (Else),Series A,7,88665507
Australia (Else),Texas (US),Series A,6,69583651
Singapore (Else),Texas (US),Series A,13,139981459
Australia (Else),California (US),Series A,33,636367465
Australia (Else),Germany (EU),Series A,9,51103802
California (US),Germany (EU),Series A,94,1347638768
California (US),United Kingdom (EU),Series A,183,3134000290
Germany (EU),United Kingdom (EU),Series A,74,1039066844
United Kingdom (EU),United Kingdom (EU),Series A,95,1077000012
Australia (Else),New York (US),Series A,17,305462220
Australia (Else),Virginia (US),Series A,6,81835607
California (US),New York (US),Series A,517,10842635974
California (US),Virginia (US),Series A,48,704258041
New York (US),Virginia (US),Series A,34,354051372
Australia (Else),New Zealand (Else),Series A,7,46623347
New York (US),New Zealand (Else),Series A,4,26871805
Australia (Else),Canada (Else),Series A,1,6600000
Australia (Else),Luxembourg (EU),Series A,1,6600000
Canada (Else),Luxembourg (EU),Series A,4,21807407
Canada (Else),Singapore (Else),Series A,11,40513554
Luxembourg (EU),Singapore (Else),Series A,7,54818519
Australia (Else),Massachusetts (US),Series A,9,210229354
California (US),Massachusetts (US),Series A,186,3989115674
Massachusetts (US),New York (US),Series A,113,2031267530
Australia (Else),Illinois (US),Series A,5,28327473
Australia (Else),Norway (EU),Series A,1,10181818
California (US),Norway (EU),Series A,9,77408348
Australia (Else),Ireland (EU),Series A,1,6000000
California (US),New Zealand (Else),Series A,6,53371429
Germany (EU),New Zealand (Else),Series A,2,8056445
Australia (Else),Belgium (EU),Series A,1,18000000
Australia (Else),Ohio (US),Series A,1,12419398
Ohio (US),Texas (US),Series A,3,16296163
Ohio (US),Virginia (US),Series A,1,3104849
Texas (US),Virginia (US),Series A,10,108433638
Texas (US),Texas (US),Series A,17,172175534
Australia (Else),Hong Kong (Else),Series A,2,13450875
Germany (EU),Hong Kong (Else),Series A,5,28833617
Germany (EU),Massachusetts (US),Series A,21,284382351
Hong Kong (Else),Massachusetts (US),Series A,4,69173002
Hong Kong (Else),New Zealand (Else),Series A,1,3006445
Massachusetts (US),New Zealand (Else),Series A,1,3006445
Australia (Else),Florida (US),Series A,2,9126132
Florida (US),United Kingdom (EU),Series A,19,90755766
Poland (EU),Sweden (EU),Series A,1,30666667
Poland (EU),United Kingdom (EU),Series A,3,45751666
Sweden (EU),United Kingdom (EU),Series A,18,324896123
Australia (Else),France (EU),Series A,6,52216978
Australia (Else),North Carolina (US),Series A,3,11899961
France (EU),North Carolina (US),Series A,2,7395793
France (EU),Singapore (Else),Series A,10,105942966
France (EU),Virginia (US),Series A,1,4285714
North Carolina (US),Singapore (Else),Series A,2,6063492
