from,to,round,deals,value
California (US),California (US),Series B,138,1443807515
California (US),New York (US),Series C,36,632426190
California (US),California (US),Series C,147,2077066144
Australia (Else),California (US),Series A,2,6800000
Australia (Else),Australia (Else),Series A,5,11308537
Australia (Else),Australia (Else),Series B,1,5000000
Australia (Else),Australia (Else),Series Unknown,4,29800000
France (EU),Germany (EU),Series A,1,5500000
Austria (EU),Austria (EU),Series B,1,2700000
Austria (EU),Germany (EU),Series Unknown,1,1600000
Belgium (EU),Texas (US),Series A,1,3053913
Belgium (EU),Luxembourg (EU),Series A,2,11675000
Luxembourg (EU),Luxembourg (EU),Series A,1,4133333
Belgium (EU),Belgium (EU),Series A,2,6706635
Belgium (EU),The Netherlands (EU),Series A,2,9332143
Luxembourg (EU),The Netherlands (EU),Series A,1,3650000
Belgium (EU),Belgium (EU),Series B,1,7000000
Belgium (EU),Switzerland (EU),Series B,3,29575390
Switzerland (EU),Switzerland (EU),Series B,2,12200000
Belgium (EU),France (EU),Series B,2,15561340
Massachusetts (US),The Netherlands (EU),Series B,2,22852552
The Netherlands (EU),The Netherlands (EU),Series B,3,22835482
Belgium (EU),The Netherlands (EU),Series Unknown,1,2694005
Belgium (EU),Belgium (EU),Series Unknown,3,28842154
Canada (Else),New York (US),Private Equity,4,984706667
Canada (Else),Singapore (Else),Private Equity,1,720000000
Canada (Else),Texas (US),Private Equity,2,752280000
Canada (Else),United Arab Emirates (Else),Private Equity,1,720000000
New York (US),Singapore (Else),Private Equity,3,944000000
New York (US),Texas (US),Private Equity,2,752280000
New York (US),United Arab Emirates (Else),Private Equity,2,744000000
Singapore (Else),Texas (US),Private Equity,1,720000000
Singapore (Else),United Arab Emirates (Else),Private Equity,2,744000000
Texas (US),United Arab Emirates (Else),Private Equity,1,720000000
California (US),Monaco (Else),Seed,1,428000
California (US),United Kingdom (EU),Seed,9,8781663
Monaco (Else),United Kingdom (EU),Seed,1,214000
California (US),California (US),Seed,90,83028206
Brazil (Else),California (US),Series A,1,4000000
Brazil (Else),Brazil (Else),Series A,2,4928499
Ethiopia (Else),United States (US),Series A,1,1000000
Canada (Else),Canada (Else),Angel,2,1250000
California (US),Canada (Else),Debt Financing,3,50111111
California (US),Florida (US),Debt Financing,2,311111111
California (US),Massachusetts (US),Debt Financing,5,322111111
California (US),New York (US),Debt Financing,5,43499444
California (US),Virginia (US),Debt Financing,3,48111111
Canada (Else),Florida (US),Debt Financing,1,7777778
Canada (Else),Massachusetts (US),Debt Financing,1,7777778
Canada (Else),New York (US),Debt Financing,3,441111111
Canada (Else),Virginia (US),Debt Financing,1,7777778
Florida (US),Massachusetts (US),Debt Financing,2,311111111
Florida (US),New York (US),Debt Financing,1,3111111
Florida (US),Virginia (US),Debt Financing,1,3111111
Massachusetts (US),New York (US),Debt Financing,4,18111111
Massachusetts (US),Virginia (US),Debt Financing,2,9111111
New York (US),Virginia (US),Debt Financing,2,9111111
Canada (Else),Canada (Else),Debt Financing,1,6222222
Canada (Else),Canada (Else),Post IPO Debt,1,53895414
California (US),Canada (Else),Post IPO Equity,4,39836319
California (US),New York (US),Post IPO Equity,4,191625238
California (US),Texas (US),Post IPO Equity,3,29406276
Canada (Else),New York (US),Post IPO Equity,2,7025595
Canada (Else),Texas (US),Post IPO Equity,3,33002986
New York (US),Texas (US),Post IPO Equity,1,893571
Canada (Else),Canada (Else),Post IPO Equity,9,97841240
Canada (Else),United Kingdom (EU),Post IPO Equity,2,61615076
Canada (Else),Georgia (US),Post IPO Equity,2,48171104
Canada (Else),Canada (Else),Private Equity,1,21520000
New York (US),New York (US),Private Equity,5,530020000
California (US),Canada (Else),Seed,4,4971429
California (US),Massachusetts (US),Seed,30,23623656
Canada (Else),Massachusetts (US),Seed,1,750000
Massachusetts (US),Massachusetts (US),Seed,14,10453081
Canada (Else),Canada (Else),Seed,8,9086579
Canada (Else),France (EU),Series A,1,4875000
Canada (Else),New York (US),Series A,7,20211667
France (EU),New York (US),Series A,2,7250000
Canada (Else),Canada (Else),Series A,12,43805250
Canada (Else),India (Else),Series A,1,9200000
California (US),Canada (Else),Series A,7,23416666
California (US),New York (US),Series A,74,251538950
California (US),California (US),Series A,143,739501038
Canada (Else),Massachusetts (US),Series A,1,12000000
California (US),Washington (US),Series A,11,88048590
New York (US),Washington (US),Series A,6,12619224
Canada (Else),Colorado (US),Series A,1,387846
Canada (Else),Washington (US),Series A,1,290885
Colorado (US),Washington (US),Series A,2,657551
Colorado (US),Colorado (US),Series A,3,1560590
California (US),Massachusetts (US),Series A,52,425310665
Connecticut (US),Massachusetts (US),Series A,7,17005622
Connecticut (US),Spain (EU),Series A,1,5466667
Massachusetts (US),Spain (EU),Series A,2,7466667
Canada (Else),New Jersey (US),Series B,2,23666667
Canada (Else),New York (US),Series B,5,44643786
New Jersey (US),New York (US),Series B,3,33666667
Canada (Else),Canada (Else),Series B,10,60555259
New York (US),New York (US),Series B,24,325656999
Arizona (US),Canada (Else),Series B,1,7500000
Canada (Else),Virginia (US),Series B,1,6499999
Canada (Else),Israel (Else),Series B,1,4000000
Canada (Else),Singapore (Else),Series B,1,4000000
Israel (Else),Singapore (Else),Series B,4,25733333
California (US),Maryland (US),Series C,6,70933333
Canada (Else),Massachusetts (US),Series C,2,17444444
Canada (Else),New York (US),Series C,4,24771429
Massachusetts (US),New York (US),Series C,20,177945707
California (US),New York (US),Series D,23,492509402
Israel (Else),Singapore (Else),Series D,2,14833333
California (US),New York (US),Series E,4,113619048
California (US),Canada (Else),Series Unknown,7,28697175
Canada (Else),Canada (Else),Series Unknown,15,94088370
Canada (Else),Germany (EU),Series Unknown,1,5615270
California (US),France (EU),Series Unknown,5,50381224
California (US),Illinois (US),Series Unknown,9,39930292
California (US),Massachusetts (US),Series Unknown,39,315240541
Canada (Else),France (EU),Series Unknown,1,4353864
Canada (Else),Illinois (US),Series Unknown,3,6818425
Canada (Else),Massachusetts (US),Series Unknown,1,4353864
France (EU),Illinois (US),Series Unknown,1,2902576
France (EU),Massachusetts (US),Series Unknown,1,2902576
Illinois (US),Massachusetts (US),Series Unknown,5,19514516
Canada (Else),Pennsylvania (US),Series Unknown,2,10400000
California (US),United Kingdom (EU),Series Unknown,22,93707055
New York (US),New York (US),Series Unknown,14,120045890
Canada (Else),New York (US),Series Unknown,8,49392873
Canada (Else),Switzerland (EU),Series Unknown,2,13350000
New York (US),Switzerland (EU),Series Unknown,3,15566667
Chile (Else),Chile (Else),Seed,2,150000
China (Else),China (Else),Angel,43,46789196
China (Else),Hong Kong (Else),Angel,1,450214
California (US),China (Else),Angel,1,1136548
China (Else),Portugal (EU),Angel,1,441709
China (Else),Taiwan (Else),Angel,1,439346
China (Else),China (Else),Post IPO Equity,1,4663880
China (Else),New York (US),Private Equity,1,380742680
China (Else),China (Else),Private Equity,1,285557010
China (Else),Hong Kong (Else),Seed,1,878637
China (Else),China (Else),Seed,1,400000
China (Else),China (Else),Series A,33,312457364
China (Else),Hong Kong (Else),Series A,9,190340718
China (Else),Rhode Island (US),Series A,1,50000000
China (Else),Illinois (US),Series A,1,13184005
Hong Kong (Else),Illinois (US),Series A,1,8789336
California (US),China (Else),Series A,7,81853383
Ireland (EU),New York (US),Series A,1,4250000
China (Else),Singapore (Else),Series A,1,25610000
China (Else),New York (US),Series A,1,900000
China (Else),Texas (US),Series A,1,900000
Hong Kong (Else),New York (US),Series A,2,1600000
Hong Kong (Else),Texas (US),Series A,1,600000
New York (US),Texas (US),Series A,12,16254111
China (Else),Hong Kong (Else),Series B,5,47049398
Hong Kong (Else),Hong Kong (Else),Series B,2,20105097
California (US),Hong Kong (Else),Series B,5,59352381
China (Else),China (Else),Series B,9,103050034
California (US),China (Else),Series B,11,152901986
China (Else),Massachusetts (US),Series B,2,16000000
China (Else),New York (US),Series B,2,14933333
Massachusetts (US),New York (US),Series B,22,257670890
California (US),Malaysia (Else),Series B,2,19416667
China (Else),Malaysia (Else),Series B,1,11925000
California (US),Germany (EU),Series B,4,81101706
California (US),Massachusetts (US),Series B,49,525257505
China (Else),Hong Kong (Else),Series C,3,70472800
California (US),China (Else),Series C,3,56000000
California (US),Hong Kong (Else),Series C,3,55500000
California (US),Singapore (Else),Series C,5,57884307
China (Else),New York (US),Series C,2,38000000
China (Else),Singapore (Else),Series C,1,28000000
Hong Kong (Else),New York (US),Series C,3,40500000
Hong Kong (Else),Singapore (Else),Series C,1,28000000
New York (US),Singapore (Else),Series C,2,30250000
China (Else),China (Else),Series C,3,40736446
California (US),District of Columbia (US),Series C,8,131666667
Japan (Else),Singapore (Else),Series C,1,5333333
Japan (Else),Taiwan (Else),Series C,2,22000000
Singapore (Else),Taiwan (Else),Series C,2,13208333
China (Else),China (Else),Series D,3,18578614
California (US),China (Else),Series D,6,105636111
China (Else),New York (US),Series D,1,15333333
California (US),California (US),Series D,64,1040217807
California (US),Singapore (Else),Series D,6,110384167
China (Else),Singapore (Else),Series D,2,30400000
Singapore (Else),Singapore (Else),Series D,2,26405000
California (US),Malaysia (Else),Series D,2,21422222
Malaysia (Else),Singapore (Else),Series D,1,3333333
China (Else),Hong Kong (Else),Series D,1,15609277
China (Else),Hong Kong (Else),Series E,1,80000000
China (Else),New York (US),Series E,2,75600000
Hong Kong (Else),New York (US),Series E,2,140000000
China (Else),China (Else),Series E,1,40000000
Hong Kong (Else),Hong Kong (Else),Series E,1,40000000
China (Else),China (Else),Series Unknown,9,159494417
California (US),California (US),Series Unknown,82,563126567
California (US),China (Else),Series Unknown,5,45800000
California (US),Hong Kong (Else),Series Unknown,2,32500000
China (Else),Hong Kong (Else),Series Unknown,2,27504855
China (Else),Massachusetts (US),Series Unknown,1,17500000
Hong Kong (Else),Massachusetts (US),Series Unknown,1,17500000
California (US),Japan (Else),Series Unknown,5,46933333
China (Else),United Kingdom (EU),Series Unknown,1,2300000
California (US),Minnesota (US),Series Unknown,4,35328750
California (US),New York (US),Series Unknown,31,378922741
California (US),Tennessee (US),Series Unknown,3,13440812
Canada (Else),Minnesota (US),Series Unknown,2,3552500
