,Region,"AI Index (publications, patents, investments)","Compute Index (total compute, median energy efficiency)",aif_group_label,annotate_geo
152,Dél-Dunántúl (HU23),0.3108358750362412,0.0,No match,False
153,Észak-Magyarország (HU31),0.5013725928690687,0.0,No match,False
154,Észak-Alföld (HU32),0.6356249864442234,0.0,No match,False
155,Dél-Alföld (HU33),1.2545802771153902,0.0,No match,False
156,"Border, Midland and Western (IE01)",2.7101651010927217,0.0,No match,False
157,Southern and Eastern (IE02),14.371308879420573,0.0,No match,False
159,Höfuðborgarsvæði (IS001),0.7513763516511038,0.0,No match,False
160,Landsbyggð (IS002),0.05807855481905042,0.0,No match,False
161,Piemonte (ITC1),5.153227124933125,0.0,Country match,False
162,Valle d'Aosta/Vallée d'Aoste (ITC2),0.11220828638742954,0.0,Country match,False
163,Liguria (ITC3),2.997063225117346,11.309132866701907,Country match,False
164,Lombardia (ITC4),13.927134367704225,13.99456266729099,Country match,True
165,Abruzzo (ITF1),1.141372399919877,0.0,Country match,False
166,Molise (ITF2),0.39117722253026577,0.0,Country match,False
167,Campania (ITF3),4.193046226512496,0.0,Country match,False
168,Puglia (ITF4),2.158830524033879,0.0,Country match,False
169,Basilicata (ITF5),0.35341968093508136,0.0,Country match,False
170,Calabria (ITF6),1.464899315834714,0.0,Country match,False
171,Sicilia (ITG1),2.209852669894601,0.0,Country match,False
172,Sardegna (ITG2),0.895229083961366,0.0,Country match,False
173,Provincia Autonoma di Bolzano/Bozen (ITH1),0.8175688933648303,0.0,Country match,False
174,Provincia Autonoma di Trento (ITH2),2.3169679346789054,0.0,Country match,False
175,Veneto (ITH3),5.1311347001905245,0.0,Country match,False
176,Friuli-Venezia Giulia (ITH4),2.498069415739879,0.0,Country match,False
177,Emilia-Romagna (ITH5),6.011599256978486,12.963998406104068,NUTS-2 match,True
178,Toscana (ITI1),7.421688447265506,0.0,Country match,False
179,Umbria (ITI2),1.2708547342027536,0.0,Country match,False
180,Marche (ITI3),0.9663079024734493,0.0,Country match,False
181,Lazio (ITI4),11.409588818010876,0.0,Country match,False
182,Liechtenstein (LI00),0.10464381614278945,0.0,No match,False
183,Lietuva (LT00),1.682111360802186,0.0,No match,False
184,Luxembourg (LU00),2.4816513088367524,12.126687610808043,NUTS-2 match,False
185,Latvija (LV00),1.042041920092079,0.0,No match,False
186,Malta (MT00),1.3953681253805437,0.0,No match,False
187,Friesland (NL) (NL12),0.052650976675617335,0.0,No match,False
188,Limburg (NL) (NL42),2.0255509858986662,0.0,No match,False
189,Groningen (NL11),1.5719566147189201,0.0,No match,False
190,Drenthe (NL13),0.056599799926288635,0.0,No match,False
191,Overijssel (NL21),1.5747516440285725,0.0,No match,False
192,Gelderland (NL22),3.699664045863719,12.453953901071781,No match,False
193,Flevoland (NL23),0.09268206376027786,0.0,No match,False
194,Utrecht (NL31),3.9583840376430146,0.0,No match,False
195,Noord-Holland (NL32),11.078077625433288,22.56216249244449,No match,False
196,Zuid-Holland (NL33),9.799647602131463,0.0,No match,False
197,Zeeland (NL34),0.15054272495312346,0.0,No match,False
198,Noord-Brabant (NL41),33.34756157453714,0.0,No match,True
199,Oslo og Akershus (NO01),5.991518564741678,0.0,Partner country,False
200,Hedmark og Oppland (NO02),0.1129355268256469,0.0,Partner country,False
201,Sør-Østlandet (NO03),1.2255415913984142,0.0,Partner country,False
202,Agder og Rogaland (NO04),2.0882968099914985,0.0,Partner country,False
203,Vestlandet (NO05),1.4626785696957432,0.0,Partner country,False
204,Trøndelag (NO06),1.3869625520110958,0.0,Partner country,False
205,Nord-Norge (NO07),0.7422581532142147,0.0,Partner country,False
208,Łódzkie (PL11),1.134287155797891,0.0,Country match,False
209,Mazowieckie (PL12),7.522797028621369,0.0,Country match,False
210,Małopolskie (PL21),5.204917799386609,34.42204708971969,Country match,True
211,Śląskie (PL22),1.9515385545135542,0.0,Country match,False
212,Lubelskie (PL31),0.49217725422441955,0.0,Country match,False
213,Podkarpackie (PL32),0.36199833062221015,0.0,Country match,False
214,Świętokrzyskie (PL33),0.21767272021453557,0.0,Country match,False
215,Podlaskie (PL34),0.3314932242936984,0.0,Country match,False
216,Wielkopolskie (PL41),1.4558874668363126,40.507070577122406,NUTS-2 match,True
217,Zachodniopomorskie (PL42),0.47377786548323075,0.0,Country match,False
218,Lubuskie (PL43),0.20303122115286945,0.0,Country match,False
219,Dolnośląskie (PL51),1.9984581444202385,40.418719501702924,Country match,False
220,Opolskie (PL52),0.27674258849873373,0.0,Country match,False
221,Kujawsko-Pomorskie (PL61),0.5326122529156044,0.0,Country match,False
222,Warmińsko-Mazurskie (PL62),0.20848001149200324,0.0,Country match,False
223,Pomorskie (PL63),1.403812349224581,0.0,Country match,False
224,Centro (PT) (PT16),3.83283163529546,0.0,Partner country,False
225,Norte (PT11),4.743280972024337,0.0,Partner country,False
226,Algarve (PT15),0.16716685094508502,0.0,Partner country,False
227,Lisboa (PT17),4.96308170754734,0.0,Partner country,False
228,Alentejo (PT18),0.30011056705101874,0.0,Partner country,False
229,Região Autónoma dos Açores (PT20),0.10283188499332514,0.0,Partner country,False
230,Região Autónoma da Madeira (PT30),0.0908229347654399,0.0,Partner country,False
231,Nord-Vest (RO11),1.71226302706339,0.0,Partner country,False
232,Centru (RO12),0.7271249521149357,0.0,Partner country,False
233,Nord-Est (RO21),0.6652452258246577,0.0,Partner country,False
234,Sud-Est (RO22),0.2871103033579858,0.0,Partner country,False
235,Sud - Muntenia (RO31),0.20187742721185034,0.0,Partner country,False
236,Bucureşti - Ilfov (RO32),3.368609268124788,0.0,Partner country,False
237,Sud-Vest Oltenia (RO41),0.32264971261402753,0.0,Partner country,False
238,Vest (RO42),1.264064619388721,0.0,Partner country,False
239,Stockholm (SE11),30.850942335828226,0.0,Country match,True
240,Östra Mellansverige (SE12),9.484121136837679,21.52297219465377,NUTS-2 match,True
241,Småland med öarna (SE21),0.7703044517438596,0.0,Country match,False
242,Sydsverige (SE22),7.337769283118399,0.0,Country match,False
243,Västsverige (SE23),7.92558186743075,0.0,Country match,False
244,Norra Mellansverige (SE31),2.1309661278960137,39.86227978816172,Country match,False
245,Mellersta Norrland (SE32),0.0947717580161112,0.0,Country match,False
246,Övre Norrland (SE33),2.9587402556442246,0.0,Country match,False
247,Vzhodna Slovenija (SI01),0.8712029682006357,0.0,NUTS-2 match,False
248,Vzhodna Slovenija (SI02),2.3486588027083557,0.0,Country match,False
250,Bratislavský kraj (SK01),1.895685106709584,0.0,No match,False
251,Západné Slovensko (SK02),0.36239564308313216,0.0,No match,False
252,Stredné Slovensko (SK03),0.45597153881491564,0.0,No match,False
253,Východné Slovensko (SK04),0.5729498093602906,0.0,No match,False
254,Tees Valley and Durham (UKC1),1.4627404977065275,0.0,No match,False
255,Northumberland and Tyne and Wear (UKC2),2.2826579341144186,0.0,No match,False
256,Cumbria (UKD1),0.22704912160863996,43.920634854693205,No match,True
257,Greater Manchester (UKD3),5.986260206015632,0.0,No match,False
258,Lancashire (UKD4),1.7636649151391166,0.0,No match,False
259,Cheshire (UKD6),0.8495491820900223,7.318382209343956,No match,False
260,Merseyside (UKD7),2.2925924438512673,0.0,No match,False
261,East Yorkshire and Northern Lincolnshire (UKE1),0.5118518370845876,0.0,No match,False
262,North Yorkshire (UKE2),1.8114270355302409,0.0,No match,False
263,South Yorkshire (UKE3),2.7141507553925686,0.0,No match,False
264,West Yorkshire (UKE4),3.467309444160193,0.0,No match,False
265,Derbyshire and Nottinghamshire (UKF1),2.7741334326112415,0.0,No match,False
266,"Leicestershire, Rutland and Northamptonshire (UKF2)",2.7051236600248294,0.0,No match,False
267,Lincolnshire (UKF3),0.4605995909944666,0.0,No match,False
268,"Herefordshire, Worcestershire and Warwickshire (UKG1)",0.6848916876553729,0.0,No match,False
269,Shropshire and Staffordshire (UKG2),0.6071568696376152,0.0,No match,False
270,West Midlands (UKG3),5.819403590265008,0.0,No match,False
271,East Anglia (UKH1),16.241682622902747,13.842848513310104,No match,False
272,Bedfordshire and Hertfordshire (UKH2),3.6090563360988814,0.0,No match,False
273,Essex (UKH3),1.5412377255389613,12.028442574722723,No match,False
274,Inner London (UKI1),79.93278310506834,0.0,No match,True
275,Outer London (UKI2),4.723570323339067,0.0,No match,False
276,"Berkshire, Buckinghamshire and Oxfordshire (UKJ1)",18.957351859070517,0.0,No match,False
277,"Surrey, East and West Sussex (UKJ2)",8.09064118982979,0.0,No match,False
278,Hampshire and Isle of Wight (UKJ3),4.022995196013219,0.0,No match,False
279,Kent (UKJ4),0.5600948735701217,0.0,No match,False
280,"Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)",7.0487644567643954,51.83107289423611,No match,True
281,Dorset and Somerset (UKK2),0.6798594101051099,0.0,No match,False
282,Cornwall and Isles of Scilly (UKK3),0.08793747798978295,0.0,No match,False
283,Devon (UKK4),4.542842628334832,0.0,No match,False
284,West Wales and The Valleys (UKL1),1.7619325283033718,0.0,No match,False
285,East Wales (UKL2),2.033537560429077,0.0,No match,False
286,Eastern Scotland (UKM2),8.758107630963249,0.0,No match,False
287,South Western Scotland (UKM3),4.388560187171019,0.0,No match,False
288,North Eastern Scotland (UKM5),1.8939071135997034,0.0,No match,False
289,Highlands and Islands (UKM6),0.06597620132039302,0.0,No match,False
291,Northern Ireland (UKN0),2.240110967224137,0.0,No match,False
