status,raw_reference,existing_law,existing_kind,existing_anchor,new_law,new_kind,new_anchor,new_paragraphs
changed,"California SB53, 22757.15.(a)",ca-sb53,section,22757.15-a,ca-sb53,section,22757.15,a
new,"California SB942, 22757.1. (b)",,,,ca-sb942,section,22757.1,b
obsolete,"California SB942, 22757.1. (b); California AB2013, 3110. (b)",ca-sb942,section,22757.1-b,,,,
new,"California SB942, 22757.1. (c)",,,,ca-sb942,section,22757.1,c
obsolete,"California SB942, 22757.1. (c); California AB2013, 3110. (c)",ca-sb942,section,22757.1-c,,,,
changed,"California SB942, 22757.3. (a)",ca-sb942,section,22757.3-a,ca-sb942,section,22757.3,a
changed,"California SB942, 22757.4. (a)",ca-sb942,section,22757.4-a,ca-sb942,section,22757.4,a
changed,Code of Practice for GPAI - Copyright Chapter,,,,eu-gpai-cop-copyright,chapter,preamble,
changed,Code of Practice for GPAI - Safety and Security Chapter,,,,eu-gpai-cop-safety,chapter,preamble,
changed,Code of Practice for GPAI - Transparency Chapter,,,,eu-gpai-cop-transparency,chapter,preamble,
changed,"Colorado SB24-205, 6-1-1701. (3)",co-sb24205,section,6-1-1701-3,co-sb24205,section,6-1-1701,3
changed,"Colorado SB24-205, 6-1-1701. (6)",co-sb24205,section,6-1-1701-6,co-sb24205,section,6-1-1701,6
changed,"Colorado SB24-205, 6-1-1701. (9)",co-sb24205,section,6-1-1701-9,co-sb24205,section,6-1-1701,9
changed,"Colorado SB24-205, 6-1-1701. (9)(b)",co-sb24205,section,6-1-1701-9,co-sb24205,section,6-1-1701,9
new,"Colorado SB24-205, 6-1-1702",,,,co-sb24205,section,6-1-1702,
changed,"Colorado SB24-205, 6-1-1702 (2)",co-sb24205,section,6-1-1702-2,co-sb24205,section,6-1-1702,2
changed,"Colorado SB24-205, 6-1-1702 (3)",co-sb24205,section,6-1-1702-3,co-sb24205,section,6-1-1702,3
changed,"Colorado SB24-205, 6-1-1702 (4)",co-sb24205,section,6-1-1702-4,co-sb24205,section,6-1-1702,4
changed,"Colorado SB24-205, 6-1-1702 (5)",co-sb24205,section,6-1-1702-5,co-sb24205,section,6-1-1702,5
changed,"Colorado SB24-205, 6-1-1703. (7)",co-sb24205,section,6-1-1703-7,co-sb24205,section,6-1-1703,7
changed,"Colorado SB24-205, 6-1-1703. (9)",co-sb24205,section,6-1-1703-9,co-sb24205,section,6-1-1703,9
changed,"Colorado SB24-205, 6-1-1704. (1)",co-sb24205,section,6-1-1704-1,co-sb24205,section,6-1-1704,1
changed,"Colorado SB24-205, 6-1-1706 (3)",co-sb24205,section,6-1-1706-3,co-sb24205,section,6-1-1706,3
changed,"EU AI Act, Article 11 (1)",eu-ai-act,article,11-1,eu-ai-act,article,11,1
changed,"EU AI Act, Article 13 (1)",eu-ai-act,article,13-1,eu-ai-act,article,13,1
changed,"EU AI Act, Article 13 (2, 3)",eu-ai-act,article,13-2,eu-ai-act,article,13,"2,3"
changed,"EU AI Act, Article 16 (a)",eu-ai-act,article,16-a,eu-ai-act,article,16,
changed,"EU AI Act, Article 16 (b)",eu-ai-act,article,16-b,eu-ai-act,article,16,
changed,"EU AI Act, Article 16 (c)",eu-ai-act,article,16-c,eu-ai-act,article,16,
changed,"EU AI Act, Article 16 (e)",eu-ai-act,article,16-e,eu-ai-act,article,16,
changed,"EU AI Act, Article 16 (f)",eu-ai-act,article,16-f,eu-ai-act,article,16,
changed,"EU AI Act, Article 16 (g)",eu-ai-act,article,16-g,eu-ai-act,article,16,
changed,"EU AI Act, Article 16 (h)",eu-ai-act,article,16-h,eu-ai-act,article,16,
changed,"EU AI Act, Article 16 (i)",eu-ai-act,article,16-i,eu-ai-act,article,16,
changed,"EU AI Act, Article 17 (1)",eu-ai-act,article,17-1,eu-ai-act,article,17,1
changed,"EU AI Act, Article 18 (1)",eu-ai-act,article,18-1,eu-ai-act,article,18,1
changed,"EU AI Act, Article 19 (1)",eu-ai-act,article,19-1,eu-ai-act,article,19,1
changed,"EU AI Act, Article 20 (1, 2)",eu-ai-act,article,20-1,eu-ai-act,article,20,"1,2"
changed,"EU AI Act, Article 21 (1, 2)",eu-ai-act,article,21-1,eu-ai-act,article,21,"1,2"
changed,"EU AI Act, Article 22 (1 - 4)",eu-ai-act,article,22-1,eu-ai-act,article,22,"1,2,3,4"
changed,"EU AI Act, Article 25 (1)",eu-ai-act,article,25-1,eu-ai-act,article,25,1
changed,"EU AI Act, Article 25 (4)",eu-ai-act,article,25-4,eu-ai-act,article,25,4
changed,"EU AI Act, Article 26 (1, 4)",eu-ai-act,article,26-1,eu-ai-act,article,26,"1,4"
changed,"EU AI Act, Article 26 (10)",eu-ai-act,article,26-10,eu-ai-act,article,26,10
changed,"EU AI Act, Article 26 (11)",eu-ai-act,article,26-11,eu-ai-act,article,26,11
changed,"EU AI Act, Article 26 (12)",eu-ai-act,article,26-12,eu-ai-act,article,26,12
changed,"EU AI Act, Article 26 (2)",eu-ai-act,article,26-2,eu-ai-act,article,26,2
changed,"EU AI Act, Article 26 (5)",eu-ai-act,article,26-5,eu-ai-act,article,26,5
changed,"EU AI Act, Article 26 (6)",eu-ai-act,article,26-6,eu-ai-act,article,26,6
changed,"EU AI Act, Article 26 (7)",eu-ai-act,article,26-7,eu-ai-act,article,26,7
changed,"EU AI Act, Article 26 (8)",eu-ai-act,article,26-8,eu-ai-act,article,26,8
changed,"EU AI Act, Article 26 (9)",eu-ai-act,article,26-9,eu-ai-act,article,26,9
changed,"EU AI Act, Article 3 (3)",eu-ai-act,article,3-3,eu-ai-act,article,3,3
changed,"EU AI Act, Article 3 (4)",eu-ai-act,article,3-4,eu-ai-act,article,3,4
changed,"EU AI Act, Article 3 (63)",eu-ai-act,article,3-63,eu-ai-act,article,3,63
changed,"EU AI Act, Article 3 (66)",eu-ai-act,article,3-66,eu-ai-act,article,3,66
changed,"EU AI Act, Article 43 (1-4)",eu-ai-act,article,43-1,eu-ai-act,article,43,"1,2,3,4"
changed,"EU AI Act, Article 47 (1)",eu-ai-act,article,47-1,eu-ai-act,article,47,1
changed,"EU AI Act, Article 49 (1)",eu-ai-act,article,49-1,eu-ai-act,article,49,1
