geo,domain,count
Akron (1671),A47F,4
Z<fc>rich (Zurich) (1543),G01R,7
Sydney (50),A47G,5
Perth (48),B25B,2
Moskva (Moscow) (1427),A61N,5
Bruxelles-Brussel (75),H04L,9
Perth (48),A01H,1
Boston (1687),C07H,43
Boston (1687),A61K,603
Sydney (50),B08B,2
Sydney (50),B28C,5
Sydney (50),B01F,3
San Jose (1786),C12Q,124
Concord (1700),C12Q,69
San Francisco-Oakland (1785),C12Q,157
 (NA),F03C,10
 (NA),B60K,189
 (NA),Y02T,431
 (NA),F04B,149
Taipei (614),G01R,7
New Haven (1756),C12Q,34
New Haven (1756),A61K,84
New Haven (1756),C07K,42
Hartford (1722),C12Q,3
Hartford (1722),A61K,38
Hartford (1722),C07K,17
Bridgeport-Stamford (1688),C12Q,17
Bridgeport-Stamford (1688),A61K,118
Bridgeport-Stamford (1688),C07K,22
 (NA),H01G,67
Kitchener-Cambrigde-Waterloo (165),H02K,2
Kitchener-Cambrigde-Waterloo (165),Y02T,3
Sydney (50),A61M,40
Melbourne (46),A01K,9
Melbourne (46),C07K,33
 (NA),A01K,268
 (NA),C07K,1004
Busan (1374),F24F,42
Seoul (1390),F24F,25
Adelaide (41),C07H,1
Adelaide (41),C12N,10
Adelaide (41),G01N,9
Adelaide (41),C12Q,11
Adelaide (41),A23L,4
Adelaide (41),C12H,4
Fuxin (269),F24D,1
New York-Newark (1758),Y10S,94
New York-Newark (1758),B29B,8
New York-Newark (1758),E04C,5
New York-Newark (1758),Y10T,110
New York-Newark (1758),Y02W,6
New York-Newark (1758),B29L,8
New York-Newark (1758),B32B,16
Bridgeport-Stamford (1688),Y10S,31
Bridgeport-Stamford (1688),B29B,4
Bridgeport-Stamford (1688),E04C,2
Bridgeport-Stamford (1688),Y10T,65
Bridgeport-Stamford (1688),Y02W,4
Bridgeport-Stamford (1688),B29L,8
Bridgeport-Stamford (1688),B32B,10
S<e3>o Paulo (138),Y02A,1
S<e3>o Paulo (138),A61K,22
S<e3>o Paulo (138),C07K,5
Piracicaba (127),Y02A,1
Piracicaba (127),A61K,1
Piracicaba (127),C07K,1
New York-Newark (1758),Y02A,36
New York-Newark (1758),A61K,619
New York-Newark (1758),C07K,183
 (NA),Y02A,464
 (NA),A61K,3087
Campinas (98),Y02A,1
Campinas (98),A61K,10
Campinas (98),C07K,2
Salvador (135),Y02A,1
Salvador (135),A61K,1
Salvador (135),C07K,1
San Jose (1786),G01N,309
San Jose (1786),C07K,196
San Francisco-Oakland (1785),G01N,260
San Francisco-Oakland (1785),C07K,265
 (NA),G01N,1600
Chicago (1694),G01N,48
Chicago (1694),C07K,34
Concord (1700),G01N,89
Concord (1700),C07K,50
San Diego (1784),G01N,218
San Diego (1784),C07K,181
San Jose (1786),H04B,113
San Jose (1786),G01S,58
San Jose (1786),H03B,1
San Jose (1786),H03L,11
San Jose (1786),H03J,5
Karachi (1293),B28D,1
Karachi (1293),C03B,1
Perth (48),A61K,11
Perth (48),A61L,2
Perth (48),Y02A,9
Perth (48),A01N,4
Perth (48),C01B,1
Ahmadabad (764),A61P,10
Ahmadabad (764),A61K,8
San Francisco-Oakland (1785),A01K,21
San Francisco-Oakland (1785),A61K,463
San Jose (1786),A01K,17
San Jose (1786),A61K,410
 (NA),C12Q,537
Chicago (1694),C12Q,21
Chicago (1694),A01K,10
Chicago (1694),A61K,89
Sacramento (1781),C12Q,19
Sacramento (1781),A01K,5
Sacramento (1781),C07K,29
Sacramento (1781),A61K,31
Concord (1700),A01K,7
Concord (1700),A61K,133
 (NA),F01L,71
Gold Coast-Tweed Head (45),A47B,1
Gold Coast-Tweed Head (45),G06F,2
Gold Coast-Tweed Head (45),H05K,1
Gold Coast-Tweed Head (45),Artificial Intelligence,2
Gold Coast-Tweed Head (45),F16M,1
Gold Coast-Tweed Head (45),G11B,3
Minsk (71),B01D,1
Minsk (71),E02B,1
Minsk (71),Y02A,1
Minsk (71),C02F,1
 (NA),A01B,46
 (NA),B02C,38
San Jose (1786),A61P,402
San Francisco-Oakland (1785),A61P,501
New Haven (1756),A61P,123
San Diego (1784),A61P,434
 (NA),A61P,3180
Concord (1700),A61P,142
Taipei (614),Y10T,6
Taipei (614),H05K,5
 (NA),A47C,108
San Jose (1786),C12N,140
St. Louis (1797),C12N,54
St. Louis (1797),C07K,31
St. Louis (1797),G01N,36
San Francisco-Oakland (1785),C12N,169
Concord (1700),C12N,42
Chicago (1694),C12N,28
 (NA),C12N,977
Helsinki (702),G01P,5
Helsinki (702),G01F,3
Hong Kong (610),G04B,3
Hong Kong (610),A44C,2
 (NA),H03M,65
 (NA),B01J,753
 (NA),C01B,269
 (NA),B01F,167
 (NA),E02B,56
Jerusalem (1024),A46B,2
Jerusalem (1024),A61H,2
 (NA),B65D,677
Sydney (50),E04B,14
Sydney (50),E04C,11
 (NA),E04B,140
 (NA),E04C,93
Paris (715),F42B,8
Paris (715),F41A,4
Tel Aviv-Yafo (Tel Aviv-Jaffa) (1025),G02B,40
Tel Aviv-Yafo (Tel Aviv-Jaffa) (1025),H04N,33
Tel Aviv-Yafo (Tel Aviv-Jaffa) (1025),A61B,108
New York-Newark (1758),A01G,2
New York-Newark (1758),G06Q,213
Southampton/Portsmouth (South Hampshire) (1657),A46B,2
Southampton/Portsmouth (South Hampshire) (1657),B25G,1
Beijing (204),B63B,3
New Orleans (1757),F04B,1
Bridgeport-Stamford (1688),A01G,1
Bridgeport-Stamford (1688),G06Q,62
Donetsk (1617),H03F,1
 (NA),A61F,797
Adelaide (41),E01C,2
Adelaide (41),E04F,2
Adelaide (41),F16B,6
Perth (48),A01K,5
Perth (48),A22C,2
Singapore (1490),A61K,28
Singapore (1490),A61P,28
Singapore (1490),A61L,11
Buffalo (1689),A61N,4
Sydney (50),B62K,1
Bari (1026),F16J,1
 (NA),F16J,97
Barletta (1027),F16J,1
Leipzig (742),F16J,1
Stuttgart (747),F16J,18
Bologna (1029),F16J,1
Reading-Wokingham (1655),A41C,1
Reading-Wokingham (1655),D04B,1
Reading-Wokingham (1655),Y10T,23
 (NA),A41C,13
 (NA),D04B,88
 (NA),Y10T,2649
"Washington, D.C. (1810)",A61K,285
Virginia Beach (1808),B62B,2
Ciudad de M<e9>xico (Mexico City) (1147),C07K,3
Ciudad de M<e9>xico (Mexico City) (1147),Y02A,5
Ciudad de M<e9>xico (Mexico City) (1147),A61P,10
Ciudad de M<e9>xico (Mexico City) (1147),A61K,13
Ciudad de M<e9>xico (Mexico City) (1147),C12N,2
Puebla (1178),C07K,1
Puebla (1178),Y02A,1
Puebla (1178),A61P,1
Puebla (1178),A61K,1
Puebla (1178),C12N,1
Sydney (50),A63F,9
Nanjing (405),Artificial Intelligence,4
Nanjing (405),G06F,4
 (NA),A44B,32
 (NA),B29L,348
 (NA),B29C,782
Beijing (204),A47K,1
Ciudad de M<e9>xico (Mexico City) (1147),B65D,3
Paris (715),F41C,2
 (NA),H01H,213
 (NA),G01F,162
Melbourne (46),H01H,3
Melbourne (46),G01F,3
 (NA),F25B,109
Izmir (1601),F41B,1
Shijiazhuang (463),G06F,1
Shijiazhuang (463),Artificial Intelligence,1
Eindhoven (1222),G01N,35
Al-Qahirah (Cairo) (685),G01N,1
Los Angeles-Long Beach-Santa Ana (1742),C11D,5
Kurashiki (1072),B01J,8
Melbourne (46),A61P,87
Melbourne (46),A61K,80
Ath<ed>nai (Athens) (753),B21F,5
 (NA),G10L,130
Nottingham (1653),A61K,44
Sydney (50),A63H,4
Melbourne (46),B65G,3
Melbourne (46),B62B,3
Houston (1724),C10G,116
Houston (1724),F28F,9
Los Angeles-Long Beach-Santa Ana (1742),G06Q,62
 (NA),G06Q,554
Philadelphia (1766),G06Q,49
Sydney (50),G06F,45
Sydney (50),G16B,1
Portland (1770),G01N,14
Portland (1770),H01L,80
Portland (1770),G06V,5
Portland (1770),Artificial Intelligence,113
New York-Newark (1758),F02B,3
 (NA),A47K,56
 (NA),C12P,240
Tel Aviv-Yafo (Tel Aviv-Jaffa) (1025),Y10S,13
Lyon (710),B62J,2
Lyon (710),B62K,4
Lyon (710),A63C,1
Paris (715),A01M,1
Paris (715),A61L,20
Reading-Wokingham (1655),A01M,11
Reading-Wokingham (1655),A61L,26
Seoul (1390),B08B,6
Seoul (1390),B23C,2
Seoul (1390),B23Q,2
Allentown-Bethlehem (1674),B21K,1
Allentown-Bethlehem (1674),B21J,3
Akron (1671),D06N,1
Akron (1671),E04D,2
Taipei (614),H01R,2
Taipei (614),G06K,6
Bridgeport-Stamford (1688),H04W,61
Bridgeport-Stamford (1688),H04M,16
Bridgeport-Stamford (1688),H04L,71
New York-Newark (1758),H04W,89
New York-Newark (1758),H04M,26
New York-Newark (1758),H04L,131
Taipei (614),G02B,4
Taipei (614),H04N,3
Taipei (614),G06T,1
Sydney (50),E06C,2
 (NA),G01B,118
Southampton/Portsmouth (South Hampshire) (1657),A63F,2
El Paso (1711),A61K,2
El Paso (1711),C07F,1
Minsk (71),F01D,1
Portland (1770),G06F,141
Hong Kong (610),A63C,1
Perth (48),B07B,1
Amsterdam (1221),B65D,9
Hartford (1722),G01B,11
Qingdao (428),Artificial Intelligence,1
Qingdao (428),G06F,1
Toronto (173),Y04S,2
Toronto (173),Y02E,35
Toronto (173),H02J,7
Sydney (50),H02J,5
Sydney (50),H04B,11
Daegu (1378),C02F,1
Daegu (1378),B01D,3
Daegu (1378),B30B,1
Raleigh (1774),Y02W,2
Raleigh (1774),C02F,7
Seattle (1792),Y02W,4
Seattle (1792),C02F,4
 (NA),F02B,196
 (NA),F02M,260
Colorado Springs (1697),F16K,2
G<f6>teborg (1536),G06F,7
G<f6>teborg (1536),H04L,16
G<f6>teborg (1536),Artificial Intelligence,8
Sydney (50),A01N,10
 (NA),A61G,96
Chengdu (227),G03D,1
Chengdu (227),B42F,1
 (NA),G02B,667
 (NA),G02F,196
